	X54675	X54675.1	cyclophosphamide.coeff	cyclophosphamide.pvalue
224346_at_224346_at	224346_at	224346_at	0.22001081	0.280000905
224348_s_at_224348_s_at	224348_s_at	224348_s_at	0.173922988	0.551512859
224349_at_224349_at	224349_at	224349_at	-2.711074322	0.002646064
224350_at_224350_at	224350_at	224350_at	-0.84707309	0.49614827
224354_at_224354_at	224354_at	224354_at	-0.326423058	0.69978305
224363_at_224363_at	224363_at	224363_at	-0.739125556	0.550555146
224372_at_224372_at	224372_at	224372_at	1.833866252	0.081176138
224373_s_at_224373_s_at	224373_s_at	224373_s_at	1.298441676	0.133106834
224375_at_224375_at	224375_at	224375_at	-0.144295848	0.629228808
224398_at_224398_at	224398_at	224398_at	1.479661892	0.198265677
224417_at_224417_at	224417_at	224417_at	0.23734851	0.430386808
224424_x_at_224424_x_at	224424_x_at	224424_x_at	0.776726453	0.273946536
224426_s_at_224426_s_at	224426_s_at	224426_s_at	-0.064654183	0.950505469
224429_x_at_224429_x_at	224429_x_at	224429_x_at	0.459542316	0.466142678
224438_at_224438_at	224438_at	224438_at	-0.663898603	0.294688641
224475_at_224475_at	224475_at	224475_at	-0.22552043	0.704300113
224487_at_224487_at	224487_at	224487_at	-1.2359315	0.263594776
224515_at_224515_at	224515_at	224515_at	-0.392845012	0.635973461
224524_s_at_224524_s_at	224524_s_at	224524_s_at	0.541727301	0.114874875
224533_s_at_224533_s_at	224533_s_at	224533_s_at	0.563608834	0.675135149
224545_at_224545_at	224545_at	224545_at	-1.852884998	0.060299356
224546_at_224546_at	224546_at	224546_at	-0.154995611	0.7549497
224547_at_224547_at	224547_at	224547_at	-0.097477367	0.833710534
224549_x_at_224549_x_at	224549_x_at	224549_x_at	-0.102195275	0.660159848
224610_at_224610_at	224610_at	224610_at	0.016382241	0.959102484
224623_at_224623_at	224623_at	224623_at	0.014943795	0.963720602
224631_at_224631_at	224631_at	224631_at	0.064640199	0.80909581
224636_at_224636_at	224636_at	224636_at	0.216082068	0.445472849
224644_at_224644_at	224644_at	224644_at	0.617277117	0.150868622
224656_s_at_224656_s_at	224656_s_at	224656_s_at	0.519535618	0.05125236
224795_x_at_224795_x_at	224795_x_at	224795_x_at	0.437195304	0.391416956
224803_s_at_224803_s_at	224803_s_at	224803_s_at	0.853214682	0.305402518
224917_at_224917_at	224917_at	224917_at	-0.354060696	0.046593446
224942_at_224942_at	224942_at	224942_at	0.066888764	0.682134481
224989_at_224989_at	224989_at	224989_at	0.068932759	0.4883561
225013_at_225013_at	225013_at	225013_at	-0.32910487	0.693620672
225035_x_at_225035_x_at	225035_x_at	225035_x_at	0.396418504	0.226563455
225092_at_225092_at	225092_at	225092_at	0.347846434	0.144058817
225123_at_225123_at	225123_at	225123_at	0.121683809	0.285673908
225197_at_225197_at	225197_at	225197_at	0.324963615	0.060727367
225199_at_225199_at	225199_at	225199_at	0.16353924	0.589395183
225221_at_225221_at	225221_at	225221_at	0.392602384	0.065692168
225239_at_225239_at	225239_at	225239_at	-0.293090787	0.054153556
225253_s_at_225253_s_at	225253_s_at	225253_s_at	0.023772164	0.947090718
225256_at_225256_at	225256_at	225256_at	0.102765169	0.618235677
225318_at_225318_at	225318_at	225318_at	0.055089784	0.721539826
225348_at_225348_at	225348_at	225348_at	0.288812027	0.310487764
225356_at_225356_at	225356_at	225356_at	0.369251084	0.13835052
225457_s_at_225457_s_at	225457_s_at	225457_s_at	-0.119619284	0.593612589
225494_at_225494_at	225494_at	225494_at	-0.037657612	0.900454509
225504_at_225504_at	225504_at	225504_at	0.524465407	0.002292339
225515_s_at_225515_s_at	225515_s_at	225515_s_at	-0.217440743	0.555265222
225523_at_225523_at	225523_at	225523_at	-0.120180588	0.634958059
225553_at_225553_at	225553_at	225553_at	0.097347003	0.819338669
225567_at_225567_at	225567_at	225567_at	0.205927587	0.167986213
225573_at_225573_at	225573_at	225573_at	-0.110594656	0.565316468
225632_s_at_225632_s_at	225632_s_at	225632_s_at	0.060335899	0.853266627
225635_s_at_225635_s_at	225635_s_at	225635_s_at	-0.100723182	0.824289307
225652_at_225652_at	225652_at	225652_at	0.28520601	0.17312612
225653_at_225653_at	225653_at	225653_at	0.071006212	0.846365714
225714_s_at_225714_s_at	225714_s_at	225714_s_at	1.174878972	0.13864737
225716_at_225716_at	225716_at	225716_at	0.097391807	0.575202764
225722_at_225722_at	225722_at	225722_at	0.460547361	0.015642405
225799_at_225799_at	225799_at	225799_at	-0.185520024	0.140608746
225834_at_225834_at	225834_at	225834_at	-0.203495519	0.483789679
225856_at_225856_at	225856_at	225856_at	-0.007711959	0.97795548
225860_at_225860_at	225860_at	225860_at	-0.131372477	0.298971631
225906_at_225906_at	225906_at	225906_at	0.787222961	0.001749019
225917_at_225917_at	225917_at	225917_at	0.28397309	0.223403988
225934_at_225934_at	225934_at	225934_at	-0.252515819	0.432723203
225951_s_at_225951_s_at	225951_s_at	225951_s_at	0.030755937	0.919884887
225995_x_at_225995_x_at	225995_x_at	225995_x_at	0.466908255	0.278514455
226020_s_at_226020_s_at	226020_s_at	226020_s_at	0.330172162	0.172831072
226040_at_226040_at	226040_at	226040_at	0.146627853	0.314785084
226102_at_226102_at	226102_at	226102_at	0.030134106	0.824388148
226134_s_at_226134_s_at	226134_s_at	226134_s_at	0.118119404	0.242479074
226138_s_at_226138_s_at	226138_s_at	226138_s_at	0.033286112	0.965288467
226162_at_226162_at	226162_at	226162_at	-0.805613057	0.316760685
226182_s_at_226182_s_at	226182_s_at	226182_s_at	-0.048260006	0.952616234
226193_x_at_226193_x_at	226193_x_at	226193_x_at	-0.470216883	0.019310859
226204_at_226204_at	226204_at	226204_at	-0.03047031	0.899167361
226223_at_226223_at	226223_at	226223_at	0.095492245	0.580196417
226231_at_226231_at	226231_at	226231_at	-0.104708186	0.62610089
226250_at_226250_at	226250_at	226250_at	-0.001496405	0.991353709
226252_at_226252_at	226252_at	226252_at	0.02525761	0.859790091
226256_at_226256_at	226256_at	226256_at	0.571714272	0.432764161
226258_at_226258_at	226258_at	226258_at	0.090578379	0.585954959
226316_at_226316_at	226316_at	226316_at	0.108762748	0.526309774
226332_at_226332_at	226332_at	226332_at	-0.206803248	0.52526946
226340_x_at_226340_x_at	226340_x_at	226340_x_at	0.530591395	0.162568374
226341_at_226341_at	226341_at	226341_at	-0.420613996	0.039307651
226347_at_226347_at	226347_at	226347_at	0.196301082	0.33216469
226348_at_226348_at	226348_at	226348_at	0.20604807	0.297792195
226362_at_226362_at	226362_at	226362_at	-0.057560491	0.652283056
226365_at_226365_at	226365_at	226365_at	-0.075609024	0.512551288
226382_at_226382_at	226382_at	226382_at	-0.052859252	0.641447687
226391_at_226391_at	226391_at	226391_at	0.577823394	0.041653188
226397_s_at_226397_s_at	226397_s_at	226397_s_at	0.052834837	0.890230402
226407_at_226407_at	226407_at	226407_at	0.383382364	0.153180729
226444_at_226444_at	226444_at	226444_at	0.112918813	0.561706808
226457_at_226457_at	226457_at	226457_at	-0.475467359	0.191278783
226458_at_226458_at	226458_at	226458_at	-0.215671413	0.311558352
226480_at_226480_at	226480_at	226480_at	0.194895251	0.295721962
226532_at_226532_at	226532_at	226532_at	-0.315383452	0.383620319
226539_s_at_226539_s_at	226539_s_at	226539_s_at	0.132808362	0.595988216
226540_at_226540_at	226540_at	226540_at	0.178698929	0.765454229
226542_at_226542_at	226542_at	226542_at	0.20584772	0.103914794
226550_at_226550_at	226550_at	226550_at	-0.016374452	0.907449308
226558_at_226558_at	226558_at	226558_at	0.138167967	0.243581953
226560_at_226560_at	226560_at	226560_at	0.190586249	0.052440191
226570_at_226570_at	226570_at	226570_at	0.242806661	0.580159987
226579_at_226579_at	226579_at	226579_at	-0.404182053	0.068984848
226594_at_226594_at	226594_at	226594_at	0.649942329	0.005443351
226613_at_226613_at	226613_at	226613_at	-0.129993864	0.580409854
226621_at_226621_at	226621_at	226621_at	0.032257626	0.687643451
226624_at_226624_at	226624_at	226624_at	0.54863223	0.104663944
226635_at_226635_at	226635_at	226635_at	-0.165930231	0.699911505
226681_at_226681_at	226681_at	226681_at	-0.159338072	0.579781759
226693_at_226693_at	226693_at	226693_at	-0.270114624	0.146729587
226694_at_226694_at	226694_at	226694_at	0.074835991	0.281468029
226706_at_226706_at	226706_at	226706_at	-0.141740139	0.395886451
226725_at_226725_at	226725_at	226725_at	0.122493124	0.176504505
226731_at_226731_at	226731_at	226731_at	0.120098606	0.813119332
226740_x_at_226740_x_at	226740_x_at	226740_x_at	0.547708724	0.163359876
226773_at_226773_at	226773_at	226773_at	-0.153406586	0.323253437
226821_at_226821_at	226821_at	226821_at	-0.028498664	0.906683428
226831_at_226831_at	226831_at	226831_at	0.101538079	0.639532413
226834_at_226834_at	226834_at	226834_at	0.00532308	0.945004836
226848_at_226848_at	226848_at	226848_at	-0.300790354	0.121040782
226856_at_226856_at	226856_at	226856_at	-0.155308252	0.757291931
226859_at_226859_at	226859_at	226859_at	-0.369438236	0.210580542
226873_at_226873_at	226873_at	226873_at	0.206122147	0.207424612
226880_at_226880_at	226880_at	226880_at	-0.35731829	0.039186864
226883_at_226883_at	226883_at	226883_at	0.327981252	0.284985949
226885_at_226885_at	226885_at	226885_at	0.100945612	0.373096054
226900_at_226900_at	226900_at	226900_at	-0.020627748	0.983686008
226903_s_at_226903_s_at	226903_s_at	226903_s_at	-0.32625408	0.639327445
226904_at_226904_at	226904_at	226904_at	-0.279396208	0.769702195
226947_at_226947_at	226947_at	226947_at	-0.311850767	0.111412588
226953_at_226953_at	226953_at	226953_at	-2.682656954	0.021807999
226959_at_226959_at	226959_at	226959_at	-0.054725667	0.691045802
226964_at_226964_at	226964_at	226964_at	0.252452126	0.165248328
226966_at_226966_at	226966_at	226966_at	0.520802058	0.053222679
226993_at_226993_at	226993_at	226993_at	0.118802456	0.585801633
227004_at_227004_at	227004_at	227004_at	0.213127125	0.143079348
227009_at_227009_at	227009_at	227009_at	-0.136394764	0.587234758
227010_at_227010_at	227010_at	227010_at	0.100640127	0.645049531
227023_at_227023_at	227023_at	227023_at	-0.266627196	0.460566771
227044_at_227044_at	227044_at	227044_at	-0.38797086	0.081877318
227051_at_227051_at	227051_at	227051_at	-0.025760125	0.82173189
227052_at_227052_at	227052_at	227052_at	0.045053016	0.691034308
227062_at_227062_at	227062_at	227062_at	-0.291572554	0.036589648
227077_at_227077_at	227077_at	227077_at	1.112727157	0.000737661
227082_at_227082_at	227082_at	227082_at	-0.012796406	0.912395059
227107_at_227107_at	227107_at	227107_at	0.485577271	0.048486349
227117_at_227117_at	227117_at	227117_at	0.074108616	0.649506106
227121_at_227121_at	227121_at	227121_at	0.053029132	0.708845075
227122_at_227122_at	227122_at	227122_at	0.153243685	0.549469065
227223_at_227223_at	227223_at	227223_at	-0.512460152	0.006556937
227227_at_227227_at	227227_at	227227_at	-0.354312647	0.134850135
227260_at_227260_at	227260_at	227260_at	-0.205240816	0.098117843
227273_at_227273_at	227273_at	227273_at	-0.013608751	0.954653913
227278_at_227278_at	227278_at	227278_at	-0.408637362	0.034353255
227290_at_227290_at	227290_at	227290_at	-0.013497789	0.853317063
227293_at_227293_at	227293_at	227293_at	0.015473694	0.946867798
227301_at_227301_at	227301_at	227301_at	0.086764965	0.780220725
227302_s_at_227302_s_at	227302_s_at	227302_s_at	-0.132162114	0.73460326
227306_at_227306_at	227306_at	227306_at	0.129202943	0.473710718
227311_at_227311_at	227311_at	227311_at	0.331387075	0.577124274
227316_at_227316_at	227316_at	227316_at	-0.320277148	0.553457206
227330_x_at_227330_x_at	227330_x_at	227330_x_at	0.10705292	0.457334535
227333_at_227333_at	227333_at	227333_at	-0.258198365	0.53156401
227338_at_227338_at	227338_at	227338_at	-0.143954214	0.657276493
227356_at_227356_at	227356_at	227356_at	-0.11855492	0.619418988
227364_at_227364_at	227364_at	227364_at	-0.455229477	0.006621494
227368_at_227368_at	227368_at	227368_at	0.062013807	0.701228893
227383_at_227383_at	227383_at	227383_at	0.069508091	0.481877631
227384_s_at_227384_s_at	227384_s_at	227384_s_at	0.057234782	0.560768834
227386_s_at_227386_s_at	227386_s_at	227386_s_at	0.156412349	0.081107857
227395_at_227395_at	227395_at	227395_at	-0.112444051	0.51418043
227432_s_at_227432_s_at	227432_s_at	227432_s_at	-0.090690635	0.741555474
227457_at_227457_at	227457_at	227457_at	0.068765057	0.933327566
227459_at_227459_at	227459_at	227459_at	0.273427476	0.228525842
227479_at_227479_at	227479_at	227479_at	-0.015091346	0.943754987
227488_at_227488_at	227488_at	227488_at	-0.12533435	0.46598621
227494_at_227494_at	227494_at	227494_at	-0.76115841	0.143924449
227496_at_227496_at	227496_at	227496_at	-0.410169626	0.467859466
227501_at_227501_at	227501_at	227501_at	-0.145600387	0.596191655
227502_at_227502_at	227502_at	227502_at	-0.046153303	0.750160903
227503_at_227503_at	227503_at	227503_at	0.03839652	0.685046727
227504_s_at_227504_s_at	227504_s_at	227504_s_at	0.46825738	0.036814117
227505_at_227505_at	227505_at	227505_at	0.390808297	0.017522326
227508_at_227508_at	227508_at	227508_at	0.099012253	0.609583529
227509_x_at_227509_x_at	227509_x_at	227509_x_at	0.208007569	0.393999907
227531_at_227531_at	227531_at	227531_at	-0.118945157	0.684492935
227533_at_227533_at	227533_at	227533_at	0.110457361	0.362854541
227547_at_227547_at	227547_at	227547_at	0.232613693	0.265793505
227571_at_227571_at	227571_at	227571_at	-0.221502401	0.742128246
227576_at_227576_at	227576_at	227576_at	-0.213922621	0.075896975
227600_at_227600_at	227600_at	227600_at	0.067630673	0.716656166
227603_at_227603_at	227603_at	227603_at	0.217968378	0.260671846
227608_at_227608_at	227608_at	227608_at	-0.118517566	0.643429216
227615_at_227615_at	227615_at	227615_at	-0.287128746	0.284383216
227618_at_227618_at	227618_at	227618_at	0.017981326	0.890073933
227640_s_at_227640_s_at	227640_s_at	227640_s_at	0.251772142	0.467190695
227655_at_227655_at	227655_at	227655_at	0.011292085	0.925019483
227663_at_227663_at	227663_at	227663_at	-0.033165101	0.786789863
227665_at_227665_at	227665_at	227665_at	-0.175850646	0.588010033
227682_at_227682_at	227682_at	227682_at	-0.01025136	0.963911348
227715_at_227715_at	227715_at	227715_at	0.002158252	0.995637216
227724_at_227724_at	227724_at	227724_at	0.250718507	0.134781873
227729_at_227729_at	227729_at	227729_at	-0.114032629	0.482290322
227730_at_227730_at	227730_at	227730_at	0.448376211	0.045900353
227745_at_227745_at	227745_at	227745_at	-0.268766093	0.063801936
227748_at_227748_at	227748_at	227748_at	0.222000324	0.219000393
227754_at_227754_at	227754_at	227754_at	0.514174296	0.077036849
227755_at_227755_at	227755_at	227755_at	-0.040910346	0.861963283
227762_at_227762_at	227762_at	227762_at	-0.304929863	0.54940393
227770_at_227770_at	227770_at	227770_at	0.314533776	0.348100664
227772_at_227772_at	227772_at	227772_at	0.583223851	0.027954431
227815_at_227815_at	227815_at	227815_at	0.404026273	0.204326891
227826_s_at_227826_s_at	227826_s_at	227826_s_at	0.108953783	0.54342264
227827_at_227827_at	227827_at	227827_at	0.234801071	0.223275771
227843_at_227843_at	227843_at	227843_at	-0.1649421	0.798123745
227851_s_at_227851_s_at	227851_s_at	227851_s_at	-0.406207886	0.509999963
227853_at_227853_at	227853_at	227853_at	0.084719036	0.670023896
227854_at_227854_at	227854_at	227854_at	-0.248024775	0.545176022
227855_at_227855_at	227855_at	227855_at	0.868984034	0.11085798
227866_at_227866_at	227866_at	227866_at	0.297819306	0.104640678
227897_at_227897_at	227897_at	227897_at	-0.16177701	0.470590125
227906_s_at_227906_s_at	227906_s_at	227906_s_at	-0.25262687	0.745508066
227907_at_227907_at	227907_at	227907_at	0.351902136	0.256599166
227909_at_227909_at	227909_at	227909_at	0.193919668	0.333281784
227921_at_227921_at	227921_at	227921_at	0.025796177	0.835273761
227926_s_at_227926_s_at	227926_s_at	227926_s_at	0.136861199	0.378191267
227927_at_227927_at	227927_at	227927_at	0.280414061	0.146065732
227929_at_227929_at	227929_at	227929_at	-0.119542638	0.175801867
227943_at_227943_at	227943_at	227943_at	-0.077157008	0.424203839
227952_at_227952_at	227952_at	227952_at	0.11337052	0.122428738
227959_at_227959_at	227959_at	227959_at	0.224633002	0.222942578
227963_at_227963_at	227963_at	227963_at	0.117916209	0.290824998
227966_s_at_227966_s_at	227966_s_at	227966_s_at	0.032680041	0.837658374
227974_at_227974_at	227974_at	227974_at	0.031693331	0.796148279
227995_at_227995_at	227995_at	227995_at	-0.136249021	0.369006321
228002_at_228002_at	228002_at	228002_at	0.102465025	0.655580144
228006_at_228006_at	228006_at	228006_at	0.100828216	0.400044543
228008_at_228008_at	228008_at	228008_at	0.134684663	0.494625158
228016_s_at_228016_s_at	228016_s_at	228016_s_at	-0.668455428	0.164996965
228022_at_228022_at	228022_at	228022_at	-0.184232615	0.703133258
228023_x_at_228023_x_at	228023_x_at	228023_x_at	-0.124851659	0.553858574
228029_at_228029_at	228029_at	228029_at	-0.103210216	0.490129787
228037_at_228037_at	228037_at	228037_at	-0.1501493	0.513385147
228045_at_228045_at	228045_at	228045_at	0.075701808	0.511998009
228047_at_228047_at	228047_at	228047_at	-0.426827807	0.246958535
228105_at_228105_at	228105_at	228105_at	-0.255446436	0.085150752
228120_at_228120_at	228120_at	228120_at	0.449650543	0.03317018
228133_s_at_228133_s_at	228133_s_at	228133_s_at	0.247999615	0.776958046
228134_at_228134_at	228134_at	228134_at	-0.060170702	0.946975546
228147_at_228147_at	228147_at	228147_at	-0.378454249	0.172644526
228151_at_228151_at	228151_at	228151_at	0.060795386	0.756894378
228156_at_228156_at	228156_at	228156_at	0.203177758	0.515957011
228158_at_228158_at	228158_at	228158_at	-0.021884896	0.829213913
228159_at_228159_at	228159_at	228159_at	0.020434115	0.933552279
228172_at_228172_at	228172_at	228172_at	0.152261917	0.643873588
228175_at_228175_at	228175_at	228175_at	-0.094044123	0.713057852
228176_at_228176_at	228176_at	228176_at	-0.134035569	0.116776261
228179_at_228179_at	228179_at	228179_at	-0.457582605	0.459795962
228180_at_228180_at	228180_at	228180_at	-0.312316991	0.066449294
228190_at_228190_at	228190_at	228190_at	0.311986917	0.286110185
228198_s_at_228198_s_at	228198_s_at	228198_s_at	0.214887319	0.514638803
228199_at_228199_at	228199_at	228199_at	0.733774944	0.037988692
228216_at_228216_at	228216_at	228216_at	0.209914719	0.40407956
228234_at_228234_at	228234_at	228234_at	-0.139391794	0.36868191
228243_at_228243_at	228243_at	228243_at	0.297998502	0.133590209
228265_at_228265_at	228265_at	228265_at	-1.360052604	0.198316199
228271_at_228271_at	228271_at	228271_at	-0.249875686	0.358024389
228288_at_228288_at	228288_at	228288_at	-0.967105896	0.207526076
228289_at_228289_at	228289_at	228289_at	0.172369933	0.224195192
228292_at_228292_at	228292_at	228292_at	-0.26919151	0.474426532
228366_at_228366_at	228366_at	228366_at	-0.086341849	0.730796573
228370_at_228370_at	228370_at	228370_at	0.007000839	0.929849276
228387_at_228387_at	228387_at	228387_at	-0.102695082	0.612143989
228389_at_228389_at	228389_at	228389_at	-0.254509251	0.388682524
228390_at_228390_at	228390_at	228390_at	-0.020701106	0.882075785
228395_at_228395_at	228395_at	228395_at	0.280440098	0.201176492
228440_at_228440_at	228440_at	228440_at	0.182455432	0.367352864
228441_s_at_228441_s_at	228441_s_at	228441_s_at	0.199899207	0.16587931
228449_at_228449_at	228449_at	228449_at	0.083132315	0.726265868
228451_at_228451_at	228451_at	228451_at	0.010995286	0.982174938
228464_at_228464_at	228464_at	228464_at	-0.160149804	0.588074123
228465_at_228465_at	228465_at	228465_at	-0.088539459	0.658219774
228478_at_228478_at	228478_at	228478_at	0.122884295	0.57979057
228481_at_228481_at	228481_at	228481_at	-0.049704511	0.841968014
228487_s_at_228487_s_at	228487_s_at	228487_s_at	0.23666162	0.317338836
228518_at_228518_at	228518_at	228518_at	-0.722477821	0.168824666
228528_at_228528_at	228528_at	228528_at	-0.169130483	0.311562589
228533_at_228533_at	228533_at	228533_at	-0.510162122	0.485251397
228534_s_at_228534_s_at	228534_s_at	228534_s_at	-0.562617805	0.606151867
228539_at_228539_at	228539_at	228539_at	-0.169568422	0.577984512
228541_x_at_228541_x_at	228541_x_at	228541_x_at	-0.168013142	0.714936068
228544_s_at_228544_s_at	228544_s_at	228544_s_at	-0.418685649	0.079614512
228552_s_at_228552_s_at	228552_s_at	228552_s_at	0.784439364	0.248827243
228560_at_228560_at	228560_at	228560_at	-0.009538387	0.940005491
228567_at_228567_at	228567_at	228567_at	-0.192821492	0.37251036
228568_at_228568_at	228568_at	228568_at	0.071125181	0.705441191
228572_at_228572_at	228572_at	228572_at	-0.158622313	0.478164226
228596_at_228596_at	228596_at	228596_at	0.014556075	0.919840927
228609_at_228609_at	228609_at	228609_at	0.336701123	0.643853288
228611_s_at_228611_s_at	228611_s_at	228611_s_at	-0.165954656	0.590440879
228616_at_228616_at	228616_at	228616_at	-1.067370248	0.40689385
228620_at_228620_at	228620_at	228620_at	0.083094301	0.498441026
228623_at_228623_at	228623_at	228623_at	-0.302317549	0.082592393
228626_at_228626_at	228626_at	228626_at	0.196514463	0.458883364
228629_s_at_228629_s_at	228629_s_at	228629_s_at	-0.527267684	0.558473793
228632_at_228632_at	228632_at	228632_at	0.213376278	0.861059749
228639_at_228639_at	228639_at	228639_at	0.197472098	0.486223486
228642_at_228642_at	228642_at	228642_at	0.0280533	0.673364236
228650_at_228650_at	228650_at	228650_at	-0.777852406	0.04971864
228655_at_228655_at	228655_at	228655_at	-0.073328618	0.698764961
228661_s_at_228661_s_at	228661_s_at	228661_s_at	0.007273047	0.964567568
228679_at_228679_at	228679_at	228679_at	-1.072571515	0.501957669
228694_at_228694_at	228694_at	228694_at	0.071261675	0.720248023
228710_at_228710_at	228710_at	228710_at	-0.098682899	0.700690462
228714_at_228714_at	228714_at	228714_at	0.091860882	0.527635266
228717_at_228717_at	228717_at	228717_at	0.230909821	0.488106782
228723_at_228723_at	228723_at	228723_at	-0.194718812	0.210225301
228731_at_228731_at	228731_at	228731_at	-0.289772905	0.329098797
228732_at_228732_at	228732_at	228732_at	-0.123373711	0.888072957
228734_at_228734_at	228734_at	228734_at	-0.115593097	0.480755851
228740_at_228740_at	228740_at	228740_at	0.247456251	0.207974307
228741_s_at_228741_s_at	228741_s_at	228741_s_at	0.003916398	0.986823622
228742_at_228742_at	228742_at	228742_at	0.160166621	0.174579438
228750_at_228750_at	228750_at	228750_at	0.234957364	0.762750263
228756_at_228756_at	228756_at	228756_at	-0.694652445	0.449925341
228780_at_228780_at	228780_at	228780_at	0.107271881	0.150882461
228792_at_228792_at	228792_at	228792_at	0.110203466	0.541879232
228803_at_228803_at	228803_at	228803_at	-1.237526612	0.098453441
228809_at_228809_at	228809_at	228809_at	-0.140836501	0.424123387
228811_at_228811_at	228811_at	228811_at	0.56933467	0.007728044
228812_at_228812_at	228812_at	228812_at	-0.27016617	0.12337669
228818_at_228818_at	228818_at	228818_at	-0.21595205	0.174283627
228823_at_228823_at	228823_at	228823_at	-0.135118841	0.755579863
228835_at_228835_at	228835_at	228835_at	0.387544814	0.027604639
228838_at_228838_at	228838_at	228838_at	-1.066404947	0.255301237
228842_at_228842_at	228842_at	228842_at	0.252810351	0.423672932
228854_at_228854_at	228854_at	228854_at	-0.281643372	0.342730929
228858_at_228858_at	228858_at	228858_at	-2.570796233	0.035053362
228866_at_228866_at	228866_at	228866_at	-0.221547986	0.208680982
228883_at_228883_at	228883_at	228883_at	-0.001816537	0.99818285
228893_at_228893_at	228893_at	228893_at	-0.161133474	0.877627398
228894_at_228894_at	228894_at	228894_at	-0.139448362	0.578802308
228896_at_228896_at	228896_at	228896_at	-1.026423078	0.298163478
228898_s_at_228898_s_at	228898_s_at	228898_s_at	0.694244958	0.31687882
228910_at_228910_at	228910_at	228910_at	-0.173972717	0.373009727
228914_at_228914_at	228914_at	228914_at	0.457578606	0.060314254
228917_at_228917_at	228917_at	228917_at	0.281668736	0.223312291
228918_at_228918_at	228918_at	228918_at	0.203507286	0.609840327
228919_at_228919_at	228919_at	228919_at	0.040889112	0.775746563
228932_at_228932_at	228932_at	228932_at	0.26364185	0.286858321
228934_x_at_228934_x_at	228934_x_at	228934_x_at	-0.475147454	0.090788321
228936_at_228936_at	228936_at	228936_at	-0.669245259	0.109291888
228944_at_228944_at	228944_at	228944_at	-0.095071852	0.731289621
228958_at_228958_at	228958_at	228958_at	-0.207058587	0.600768562
228963_at_228963_at	228963_at	228963_at	0.729230457	0.032138753
228974_at_228974_at	228974_at	228974_at	-0.007983173	0.924123162
228983_at_228983_at	228983_at	228983_at	-0.187835412	0.505765566
228987_at_228987_at	228987_at	228987_at	0.072083544	0.610651187
228997_at_228997_at	228997_at	228997_at	-0.301644424	0.210200978
229006_at_229006_at	229006_at	229006_at	0.106174548	0.542196781
229011_at_229011_at	229011_at	229011_at	0.057043788	0.477761187
229024_at_229024_at	229024_at	229024_at	0.377650019	0.390398315
229031_at_229031_at	229031_at	229031_at	-0.306694241	0.374866546
229035_s_at_229035_s_at	229035_s_at	229035_s_at	-0.813504185	0.010157823
229048_at_229048_at	229048_at	229048_at	-0.606247417	0.285616699
229049_at_229049_at	229049_at	229049_at	0.585201759	0.515421828
229052_at_229052_at	229052_at	229052_at	-0.296172518	0.204793331
229054_at_229054_at	229054_at	229054_at	-0.14678902	0.641402847
229059_at_229059_at	229059_at	229059_at	-0.107847028	0.648925092
229066_at_229066_at	229066_at	229066_at	0.009923607	0.967062966
229069_at_229069_at	229069_at	229069_at	-0.278845858	0.348957408
229072_at_229072_at	229072_at	229072_at	-0.06897924	0.603520474
229083_at_229083_at	229083_at	229083_at	0.239612865	0.297602056
229095_s_at_229095_s_at	229095_s_at	229095_s_at	0.119840139	0.565669013
229096_at_229096_at	229096_at	229096_at	0.168576046	0.656317694
229107_at_229107_at	229107_at	229107_at	-0.103455055	0.588461061
229108_at_229108_at	229108_at	229108_at	-0.940364166	0.12015673
229111_at_229111_at	229111_at	229111_at	-0.111168989	0.650819278
229123_at_229123_at	229123_at	229123_at	-0.165939044	0.501792549
229130_at_229130_at	229130_at	229130_at	0.033942855	0.801880199
229136_s_at_229136_s_at	229136_s_at	229136_s_at	0.145173551	0.760609407
229148_at_229148_at	229148_at	229148_at	-0.444465639	0.613274632
229149_at_229149_at	229149_at	229149_at	-0.426284708	0.56203518
229150_at_229150_at	229150_at	229150_at	-0.090944475	0.241703336
229155_at_229155_at	229155_at	229155_at	-0.070478152	0.668176224
229167_at_229167_at	229167_at	229167_at	-0.078664992	0.797834763
229185_at_229185_at	229185_at	229185_at	0.112055666	0.905255233
229201_at_229201_at	229201_at	229201_at	-0.648855789	0.591075482
229202_at_229202_at	229202_at	229202_at	-0.286366955	0.020807806
229204_at_229204_at	229204_at	229204_at	0.39990029	0.256200191
229206_at_229206_at	229206_at	229206_at	0.22225174	0.256486567
229214_at_229214_at	229214_at	229214_at	0.257918826	0.795468747
229226_at_229226_at	229226_at	229226_at	0.468861063	0.024961009
229231_at_229231_at	229231_at	229231_at	0.523382025	0.090045521
229243_at_229243_at	229243_at	229243_at	-0.281816313	0.363755575
229249_at_229249_at	229249_at	229249_at	-0.065397067	0.799241313
229255_x_at_229255_x_at	229255_x_at	229255_x_at	0.424088528	0.347537946
229261_at_229261_at	229261_at	229261_at	0.07565732	0.694276438
229264_at_229264_at	229264_at	229264_at	0.182842845	0.416334981
229279_at_229279_at	229279_at	229279_at	-0.286867311	0.196620753
229293_at_229293_at	229293_at	229293_at	-0.156815742	0.643772801
229296_at_229296_at	229296_at	229296_at	-0.080313707	0.376587636
229297_at_229297_at	229297_at	229297_at	-0.14173711	0.697846997
229298_at_229298_at	229298_at	229298_at	0.185646368	0.249241627
229303_at_229303_at	229303_at	229303_at	0.117498576	0.617719586
