	X54675	X54675.1	cyclophosphamide.coeff	cyclophosphamide.pvalue
1554465_s_at_1554465_s_at	1554465_s_at	1554465_s_at	-0.098362044	0.736626248
1554468_s_at_1554468_s_at	1554468_s_at	1554468_s_at	-0.978228269	0.129548229
1554597_at_1554597_at	1554597_at	1554597_at	0.511125588	0.001356746
1554599_x_at_1554599_x_at	1554599_x_at	1554599_x_at	0.549482064	0.001758097
1554615_at_1554615_at	1554615_at	1554615_at	-0.570882941	0.502512881
1554636_at_1554636_at	1554636_at	1554636_at	-0.808907762	0.427383926
1554649_at_1554649_at	1554649_at	1554649_at	0.808561281	0.286855768
1554650_a_at_1554650_a_at	1554650_a_at	1554650_a_at	-0.427507951	0.553016753
1554723_x_at_1554723_x_at	1554723_x_at	1554723_x_at	1.242517089	0.38461145
1554741_s_at_1554741_s_at	1554741_s_at	1554741_s_at	-0.42093768	0.148636133
1554751_at_1554751_at	1554751_at	1554751_at	-1.008008708	0.216406335
1554752_a_at_1554752_a_at	1554752_a_at	1554752_a_at	-0.841879826	0.22887465
1554766_s_at_1554766_s_at	1554766_s_at	1554766_s_at	-1.569548047	0.060398971
1554771_at_1554771_at	1554771_at	1554771_at	-0.071360779	0.785422153
1554781_at_1554781_at	1554781_at	1554781_at	0.234871156	0.715020584
1554813_at_1554813_at	1554813_at	1554813_at	0.834305656	0.443979103
1554825_at_1554825_at	1554825_at	1554825_at	-0.26248913	0.514532156
1554837_a_at_1554837_a_at	1554837_a_at	1554837_a_at	0.261349636	0.716918933
1554839_at_1554839_at	1554839_at	1554839_at	-0.613507196	0.367249449
1554865_at_1554865_at	1554865_at	1554865_at	-1.25435656	0.19952496
1554871_at_1554871_at	1554871_at	1554871_at	-2.305147086	0.153568223
1554887_at_1554887_at	1554887_at	1554887_at	0.128908448	0.486414353
1554891_at_1554891_at	1554891_at	1554891_at	-0.103460448	0.924732138
1554907_a_at_1554907_a_at	1554907_a_at	1554907_a_at	-0.446862793	0.740130882
1554946_at_1554946_at	1554946_at	1554946_at	0.26293118	0.568226138
1554948_at_1554948_at	1554948_at	1554948_at	-0.220314042	0.224594975
1554951_at_1554951_at	1554951_at	1554951_at	0.016050918	0.991052192
1554957_at_1554957_at	1554957_at	1554957_at	-1.421281648	0.058841493
1554963_at_1554963_at	1554963_at	1554963_at	0.572442537	0.404293603
1554964_x_at_1554964_x_at	1554964_x_at	1554964_x_at	0.771529111	0.246598975
1554972_at_1554972_at	1554972_at	1554972_at	-0.547985868	0.0965931
1554996_at_1554996_at	1554996_at	1554996_at	0.163623483	0.864445476
1555014_x_at_1555014_x_at	1555014_x_at	1555014_x_at	-0.247017861	0.429633266
1555031_at_1555031_at	1555031_at	1555031_at	0.592238251	0.635773729
1555059_at_1555059_at	1555059_at	1555059_at	-0.699300698	0.568365788
1555084_at_1555084_at	1555084_at	1555084_at	0.901433369	0.392628055
1555085_at_1555085_at	1555085_at	1555085_at	1.458628984	0.148097256
1555117_at_1555117_at	1555117_at	1555117_at	-0.235304371	0.609072853
1555129_at_1555129_at	1555129_at	1555129_at	-0.30906935	0.767252255
1555132_at_1555132_at	1555132_at	1555132_at	-0.227048677	0.770575394
1555135_at_1555135_at	1555135_at	1555135_at	-0.093310999	0.935135463
1555157_at_1555157_at	1555157_at	1555157_at	-0.971593756	0.258841907
1555158_at_1555158_at	1555158_at	1555158_at	1.859034115	0.049202587
1555162_at_1555162_at	1555162_at	1555162_at	-1.057386649	0.069003768
1555163_at_1555163_at	1555163_at	1555163_at	-0.938093387	0.059542023
1555174_at_1555174_at	1555174_at	1555174_at	0.557017682	0.462059976
1555176_at_1555176_at	1555176_at	1555176_at	-0.055339873	0.962753207
1555187_at_1555187_at	1555187_at	1555187_at	0.385136703	0.337021816
1555194_at_1555194_at	1555194_at	1555194_at	-0.299593984	0.22108316
1555204_at_1555204_at	1555204_at	1555204_at	0.626600036	0.653849506
1555205_at_1555205_at	1555205_at	1555205_at	-0.447349969	0.531422233
1555221_at_1555221_at	1555221_at	1555221_at	-0.187750276	0.887434226
1555222_a_at_1555222_a_at	1555222_a_at	1555222_a_at	-0.568490162	0.48406617
1555237_at_1555237_at	1555237_at	1555237_at	-1.174311168	0.09543528
