	X54675	X54675.1	paclitaxel.coeff	paclitaxel.pvalue
234235_at_234235_at	234235_at	234235_at	-1.719476275	0.59926068
234239_at_234239_at	234239_at	234239_at	-4.829101308	0.009727509
234240_at_234240_at	234240_at	234240_at	-1.134422229	0.801138192
234242_at_234242_at	234242_at	234242_at	3.891603031	0.199866196
234245_at_234245_at	234245_at	234245_at	2.964822733	0.379481251
234246_at_234246_at	234246_at	234246_at	0.160329039	0.935973027
234247_at_234247_at	234247_at	234247_at	2.333862069	0.66705373
234248_at_234248_at	234248_at	234248_at	0.123785845	0.874155045
234249_at_234249_at	234249_at	234249_at	-1.291940667	0.583388805
234250_at_234250_at	234250_at	234250_at	1.827780592	0.454949268
234251_at_234251_at	234251_at	234251_at	-3.677855121	0.225789856
234252_at_234252_at	234252_at	234252_at	4.33600049	0.162001799
234253_at_234253_at	234253_at	234253_at	4.751879698	0.161627685
234254_at_234254_at	234254_at	234254_at	2.224588505	0.139677373
234255_at_234255_at	234255_at	234255_at	3.968484829	0.00368581
234256_at_234256_at	234256_at	234256_at	-4.552682538	0.081814472
234258_at_234258_at	234258_at	234258_at	1.717661474	0.292554296
234259_at_234259_at	234259_at	234259_at	1.926572876	0.510771074
234260_at_234260_at	234260_at	234260_at	1.281581743	0.050972979
234261_at_234261_at	234261_at	234261_at	1.887370025	0.152003838
234262_at_234262_at	234262_at	234262_at	2.090843489	0.006128573
234263_at_234263_at	234263_at	234263_at	1.604264917	0.548990771
234264_at_234264_at	234264_at	234264_at	-1.927770376	0.451389271
234266_at_234266_at	234266_at	234266_at	-5.684474414	0.109416514
234267_at_234267_at	234267_at	234267_at	-3.235522133	0.083179831
234269_at_234269_at	234269_at	234269_at	1.198679183	0.037762238
234270_at_234270_at	234270_at	234270_at	3.009318732	0.33971921
234272_at_234272_at	234272_at	234272_at	-2.472345224	0.446577411
234273_at_234273_at	234273_at	234273_at	-0.94184365	0.608557904
234274_at_234274_at	234274_at	234274_at	-3.144169361	0.387451772
234275_at_234275_at	234275_at	234275_at	2.505940215	0.199929496
234276_at_234276_at	234276_at	234276_at	1.658762367	0.004822313
234277_at_234277_at	234277_at	234277_at	1.694038126	0.488636225
234278_at_234278_at	234278_at	234278_at	1.78973057	0.052018144
234279_at_234279_at	234279_at	234279_at	-2.296099133	0.454094482
234281_at_234281_at	234281_at	234281_at	-5.216525293	0.01544197
234282_at_234282_at	234282_at	234282_at	0.545919943	0.723536862
234283_at_234283_at	234283_at	234283_at	-0.201702988	0.915401026
234287_at_234287_at	234287_at	234287_at	-0.658430836	0.746935713
234288_at_234288_at	234288_at	234288_at	7.098242263	0.051868275
234289_x_at_234289_x_at	234289_x_at	234289_x_at	4.125063355	0.198787981
234293_x_at_234293_x_at	234293_x_at	234293_x_at	-5.018985829	0.07915208
234297_at_234297_at	234297_at	234297_at	0.096859259	0.878129962
234298_at_234298_at	234298_at	234298_at	-2.008727127	0.296078256
234322_at_234322_at	234322_at	234322_at	3.474378286	0.25329754
234326_at_234326_at	234326_at	234326_at	1.495533547	0.0154407
234327_at_234327_at	234327_at	234327_at	-4.104464412	0.06556465
234328_at_234328_at	234328_at	234328_at	-5.368485554	0.078787188
234330_at_234330_at	234330_at	234330_at	1.773100849	0.009101268
234340_at_234340_at	234340_at	234340_at	0.561619403	0.676785039
234345_at_234345_at	234345_at	234345_at	-0.240251864	0.939034926
234346_x_at_234346_x_at	234346_x_at	234346_x_at	5.884044686	0.055156414
234348_at_234348_at	234348_at	234348_at	-6.165034675	0.024015159
234352_x_at_234352_x_at	234352_x_at	234352_x_at	3.541637002	0.036447674
234357_at_234357_at	234357_at	234357_at	-0.821586023	0.403353197
234358_at_234358_at	234358_at	234358_at	1.100236344	0.683784864
234359_at_234359_at	234359_at	234359_at	0.873091965	0.340049236
234360_at_234360_at	234360_at	234360_at	-0.609091611	0.814352644
234365_at_234365_at	234365_at	234365_at	-5.275827539	0.045166412
234366_x_at_234366_x_at	234366_x_at	234366_x_at	-2.204442885	0.348384116
234368_at_234368_at	234368_at	234368_at	2.59615645	0.484095497
234369_at_234369_at	234369_at	234369_at	-0.776356706	0.743153879
234371_at_234371_at	234371_at	234371_at	-1.747677407	0.478879783
234372_at_234372_at	234372_at	234372_at	0.819810164	0.790609084
234373_x_at_234373_x_at	234373_x_at	234373_x_at	-1.922635856	0.473571351
234374_at_234374_at	234374_at	234374_at	7.76661208	0.043013702
234375_x_at_234375_x_at	234375_x_at	234375_x_at	-0.276514564	0.937780637
234378_at_234378_at	234378_at	234378_at	3.188448452	0.503373497
234380_x_at_234380_x_at	234380_x_at	234380_x_at	-3.597060871	0.090030702
234382_x_at_234382_x_at	234382_x_at	234382_x_at	4.322286441	0.077374766
234383_x_at_234383_x_at	234383_x_at	234383_x_at	5.048761818	0.087750407
234384_at_234384_at	234384_at	234384_at	-2.414974528	0.390117288
234385_at_234385_at	234385_at	234385_at	-7.437415604	0.088923268
234386_s_at_234386_s_at	234386_s_at	234386_s_at	-4.091014683	0.093111957
234388_at_234388_at	234388_at	234388_at	-3.312920993	0.144319412
234389_x_at_234389_x_at	234389_x_at	234389_x_at	-2.178252131	0.486476184
234390_x_at_234390_x_at	234390_x_at	234390_x_at	-9.246203249	0.00674097
234392_at_234392_at	234392_at	234392_at	-2.04577079	0.590090535
234395_at_234395_at	234395_at	234395_at	-2.147390604	0.486637924
234396_at_234396_at	234396_at	234396_at	0.392462157	0.925044563
234398_at_234398_at	234398_at	234398_at	-2.67247133	0.434235374
234399_at_234399_at	234399_at	234399_at	5.311880813	0.163101001
234400_at_234400_at	234400_at	234400_at	-1.555321402	0.49442425
234401_at_234401_at	234401_at	234401_at	-2.309663322	0.286027173
234402_at_234402_at	234402_at	234402_at	-0.972842192	0.825577187
234412_at_234412_at	234412_at	234412_at	1.307212574	0.63658132
234413_at_234413_at	234413_at	234413_at	-1.401001374	0.657209236
234415_x_at_234415_x_at	234415_x_at	234415_x_at	-1.324314575	0.662348573
234416_at_234416_at	234416_at	234416_at	-0.343506173	0.922273459
234417_at_234417_at	234417_at	234417_at	-2.558282295	0.228800234
234419_x_at_234419_x_at	234419_x_at	234419_x_at	-2.09952848	0.464492045
234422_at_234422_at	234422_at	234422_at	-0.851739463	0.822617926
234423_x_at_234423_x_at	234423_x_at	234423_x_at	2.929829769	0.019162627
234424_at_234424_at	234424_at	234424_at	1.112585757	0.724596112
234425_at_234425_at	234425_at	234425_at	-1.763524771	0.391235637
234428_at_234428_at	234428_at	234428_at	3.161677953	0.41653961
234429_at_234429_at	234429_at	234429_at	-4.196985113	0.355808486
234431_at_234431_at	234431_at	234431_at	0.950759462	0.526122035
234432_at_234432_at	234432_at	234432_at	0.475094655	0.912862572
234433_at_234433_at	234433_at	234433_at	1.026220262	0.777199735
234434_at_234434_at	234434_at	234434_at	-2.124542423	0.134120049
234435_at_234435_at	234435_at	234435_at	-2.579512499	0.143990439
234437_at_234437_at	234437_at	234437_at	2.677190508	0.215410497
234438_at_234438_at	234438_at	234438_at	-0.946283584	0.759915351
234439_at_234439_at	234439_at	234439_at	-3.696001778	0.083905753
234441_at_234441_at	234441_at	234441_at	-1.072661517	0.710597472
234442_at_234442_at	234442_at	234442_at	0.297234597	0.898071373
234443_at_234443_at	234443_at	234443_at	-0.188569688	0.957754506
234444_at_234444_at	234444_at	234444_at	-0.785290041	0.749951019
234446_at_234446_at	234446_at	234446_at	-1.689082665	0.486264264
234447_at_234447_at	234447_at	234447_at	1.511528103	0.651131298
234448_at_234448_at	234448_at	234448_at	2.606418063	0.538526878
234449_at_234449_at	234449_at	234449_at	-4.499819627	0.143499028
234451_at_234451_at	234451_at	234451_at	-2.642863216	0.381913278
234454_at_234454_at	234454_at	234454_at	-4.561512301	0.17056209
234460_at_234460_at	234460_at	234460_at	-6.177823097	0.038454001
234462_at_234462_at	234462_at	234462_at	-0.713714008	0.674355023
234467_at_234467_at	234467_at	234467_at	-3.540858151	0.268801796
234468_at_234468_at	234468_at	234468_at	1.320875424	0.682243946
234477_at_234477_at	234477_at	234477_at	0.981997525	0.737042839
234478_at_234478_at	234478_at	234478_at	-7.165556418	0.071719139
234481_at_234481_at	234481_at	234481_at	-0.234950984	0.941109476
234482_at_234482_at	234482_at	234482_at	3.323809589	0.233272413
234487_at_234487_at	234487_at	234487_at	5.421689086	0.014884311
234488_s_at_234488_s_at	234488_s_at	234488_s_at	0.995028946	0.151970858
234489_at_234489_at	234489_at	234489_at	0.958909167	0.48628704
234490_at_234490_at	234490_at	234490_at	1.295950158	0.645098161
234492_at_234492_at	234492_at	234492_at	2.700107387	0.210535032
234494_x_at_234494_x_at	234494_x_at	234494_x_at	-3.193585628	0.170281615
234497_s_at_234497_s_at	234497_s_at	234497_s_at	2.188250446	0.313745631
234499_at_234499_at	234499_at	234499_at	-2.436190014	0.243327829
234500_at_234500_at	234500_at	234500_at	-3.315704469	0.270636976
234501_x_at_234501_x_at	234501_x_at	234501_x_at	2.409754923	0.453170141
234502_at_234502_at	234502_at	234502_at	3.115374629	0.330098403
234503_at_234503_at	234503_at	234503_at	-5.219625411	0.037232001
234505_at_234505_at	234505_at	234505_at	0.705693708	0.456420805
234506_at_234506_at	234506_at	234506_at	-2.986347407	0.133330407
234507_at_234507_at	234507_at	234507_at	-3.187589509	0.195463424
234508_at_234508_at	234508_at	234508_at	-3.121107549	0.071456657
234509_at_234509_at	234509_at	234509_at	1.588633733	0.248968583
234510_at_234510_at	234510_at	234510_at	0.631595084	0.851605124
234516_at_234516_at	234516_at	234516_at	2.667540614	0.324004898
234517_at_234517_at	234517_at	234517_at	-0.764891326	0.720367854
234518_at_234518_at	234518_at	234518_at	-2.134773624	0.342928418
234520_at_234520_at	234520_at	234520_at	-0.259481693	0.935264642
234522_at_234522_at	234522_at	234522_at	2.320722008	0.133657059
234523_at_234523_at	234523_at	234523_at	2.353335329	0.432921635
234527_at_234527_at	234527_at	234527_at	-6.029252133	0.027621081
234528_at_234528_at	234528_at	234528_at	-1.278685618	0.556541856
234531_at_234531_at	234531_at	234531_at	0.84795573	0.75224114
234532_at_234532_at	234532_at	234532_at	1.031910552	0.591883973
234534_at_234534_at	234534_at	234534_at	-8.324754963	0.000674303
234535_at_234535_at	234535_at	234535_at	2.417325486	0.534210053
234537_at_234537_at	234537_at	234537_at	-4.463244413	0.187894939
234538_at_234538_at	234538_at	234538_at	-0.22614134	0.919407635
234543_at_234543_at	234543_at	234543_at	2.191116103	0.464544466
234546_at_234546_at	234546_at	234546_at	-5.137201055	0.138329881
234547_at_234547_at	234547_at	234547_at	2.764257611	0.229331726
234548_at_234548_at	234548_at	234548_at	3.067247568	0.319348097
234549_at_234549_at	234549_at	234549_at	-0.697661287	0.543794106
234550_at_234550_at	234550_at	234550_at	2.252256129	0.572967655
234553_at_234553_at	234553_at	234553_at	-1.06006219	0.762422255
234556_at_234556_at	234556_at	234556_at	-2.552977687	0.415861257
234557_at_234557_at	234557_at	234557_at	-3.922850582	0.057810593
234558_at_234558_at	234558_at	234558_at	-4.460983773	0.124000935
234559_at_234559_at	234559_at	234559_at	-2.572572403	0.433373791
234560_at_234560_at	234560_at	234560_at	2.021834765	0.002347385
234562_x_at_234562_x_at	234562_x_at	234562_x_at	1.302034195	0.032020582
234563_at_234563_at	234563_at	234563_at	-0.229011407	0.568909242
234564_at_234564_at	234564_at	234564_at	-3.228546884	0.189471151
234565_x_at_234565_x_at	234565_x_at	234565_x_at	6.091020909	0.00021925
234566_at_234566_at	234566_at	234566_at	-2.462457829	0.397716298
234567_at_234567_at	234567_at	234567_at	5.45526196	0.024434193
234569_at_234569_at	234569_at	234569_at	-6.230476826	0.127095088
234571_at_234571_at	234571_at	234571_at	-3.062651817	0.409907721
234572_at_234572_at	234572_at	234572_at	-2.661473124	0.158321727
234573_at_234573_at	234573_at	234573_at	0.486551359	0.824355041
234574_at_234574_at	234574_at	234574_at	-0.250638176	0.918734745
234577_at_234577_at	234577_at	234577_at	-1.568417056	0.673186839
234578_at_234578_at	234578_at	234578_at	3.891721044	0.012806984
234579_at_234579_at	234579_at	234579_at	3.581983032	0.327998098
234581_at_234581_at	234581_at	234581_at	8.241071728	0.019799438
234582_at_234582_at	234582_at	234582_at	-2.568826606	0.561954991
234585_at_234585_at	234585_at	234585_at	-4.669903847	0.044354168
234587_at_234587_at	234587_at	234587_at	-6.373267907	0.143496559
234588_at_234588_at	234588_at	234588_at	0.330088439	0.761793096
234590_x_at_234590_x_at	234590_x_at	234590_x_at	7.113013639	0.046086891
234591_at_234591_at	234591_at	234591_at	0.011418901	0.993334786
234592_at_234592_at	234592_at	234592_at	-5.3531426	0.017375568
234593_at_234593_at	234593_at	234593_at	-1.911984876	0.565058188
234596_at_234596_at	234596_at	234596_at	1.119529904	0.602490088
234597_at_234597_at	234597_at	234597_at	1.231124476	0.182062653
234599_at_234599_at	234599_at	234599_at	-1.308451307	0.691808346
234600_at_234600_at	234600_at	234600_at	-6.972901996	0.020639992
234601_x_at_234601_x_at	234601_x_at	234601_x_at	-1.680260836	0.708733834
234602_x_at_234602_x_at	234602_x_at	234602_x_at	-9.181678437	0.097899894
234603_at_234603_at	234603_at	234603_at	-1.275879494	0.716543835
234604_at_234604_at	234604_at	234604_at	0.566522931	0.40650383
234606_at_234606_at	234606_at	234606_at	1.223110781	0.664402645
234609_at_234609_at	234609_at	234609_at	0.617452229	0.438509456
234612_at_234612_at	234612_at	234612_at	2.785366413	0.009857986
234613_at_234613_at	234613_at	234613_at	-0.360989028	0.886861762
234615_at_234615_at	234615_at	234615_at	-3.501069773	0.388840883
234616_at_234616_at	234616_at	234616_at	5.157576312	0.119572015
234618_at_234618_at	234618_at	234618_at	3.455849019	0.176748345
234619_at_234619_at	234619_at	234619_at	2.76790029	0.314248113
234620_at_234620_at	234620_at	234620_at	-3.375290596	0.047245089
234621_at_234621_at	234621_at	234621_at	3.543984162	0.49196399
234622_at_234622_at	234622_at	234622_at	2.216774702	0.520895405
234623_x_at_234623_x_at	234623_x_at	234623_x_at	-1.129217059	0.740505711
234624_at_234624_at	234624_at	234624_at	4.350027844	0.147075672
234625_at_234625_at	234625_at	234625_at	-1.183518567	0.737786704
234628_at_234628_at	234628_at	234628_at	1.425781047	0.101743686
234629_at_234629_at	234629_at	234629_at	1.126325565	0.673935297
234630_at_234630_at	234630_at	234630_at	2.557741703	0.434753637
234632_x_at_234632_x_at	234632_x_at	234632_x_at	-2.426373619	0.160533986
234634_at_234634_at	234634_at	234634_at	0.175354972	0.944182318
234636_at_234636_at	234636_at	234636_at	-2.322923536	0.357917559
234638_at_234638_at	234638_at	234638_at	1.487878627	0.017958307
234640_x_at_234640_x_at	234640_x_at	234640_x_at	1.674718773	0.500505689
234641_at_234641_at	234641_at	234641_at	1.075756849	0.732445033
234642_at_234642_at	234642_at	234642_at	-0.774907756	0.826115368
234643_x_at_234643_x_at	234643_x_at	234643_x_at	-0.211912945	0.930361434
234645_at_234645_at	234645_at	234645_at	-0.9632558	0.031656658
234646_at_234646_at	234646_at	234646_at	-0.619096392	0.812005292
234649_at_234649_at	234649_at	234649_at	0.933805285	0.331336642
234650_at_234650_at	234650_at	234650_at	0.528381201	0.214510428
234651_at_234651_at	234651_at	234651_at	-4.703469463	0.16099283
234652_at_234652_at	234652_at	234652_at	-1.543019315	0.54629748
234653_at_234653_at	234653_at	234653_at	-0.552124451	0.615694621
234654_at_234654_at	234654_at	234654_at	1.569405179	0.281331953
234655_at_234655_at	234655_at	234655_at	-5.384816411	0.068645569
234656_x_at_234656_x_at	234656_x_at	234656_x_at	1.456081953	0.476050046
234657_at_234657_at	234657_at	234657_at	-1.007586502	0.25770866
234658_at_234658_at	234658_at	234658_at	-0.626295231	0.830705428
234659_at_234659_at	234659_at	234659_at	5.216062529	0.064693872
234663_at_234663_at	234663_at	234663_at	1.373960012	0.646021073
234664_at_234664_at	234664_at	234664_at	-0.82767718	0.591064228
234666_at_234666_at	234666_at	234666_at	0.658532123	0.822346678
234667_at_234667_at	234667_at	234667_at	0.790197074	0.166168084
234668_at_234668_at	234668_at	234668_at	-1.014402392	0.59781666
234670_at_234670_at	234670_at	234670_at	-2.790480824	0.333221387
234674_at_234674_at	234674_at	234674_at	-1.732677142	0.27549513
234675_x_at_234675_x_at	234675_x_at	234675_x_at	0.826127779	0.512139032
234677_at_234677_at	234677_at	234677_at	-1.940683622	0.395222538
234685_x_at_234685_x_at	234685_x_at	234685_x_at	-0.795824116	0.714830955
234686_at_234686_at	234686_at	234686_at	4.606570748	0.10123355
234690_at_234690_at	234690_at	234690_at	0.487867504	0.861661367
234692_at_234692_at	234692_at	234692_at	0.26251723	0.943721141
234693_at_234693_at	234693_at	234693_at	-0.12505797	0.969151825
234704_at_234704_at	234704_at	234704_at	-4.689686367	0.107141509
234713_x_at_234713_x_at	234713_x_at	234713_x_at	-4.828956107	0.084527948
234715_at_234715_at	234715_at	234715_at	0.709551866	0.781803699
234717_at_234717_at	234717_at	234717_at	-4.477506691	0.232607205
234723_x_at_234723_x_at	234723_x_at	234723_x_at	2.139223786	0.007469746
234729_at_234729_at	234729_at	234729_at	0.25320698	0.924555097
234731_at_234731_at	234731_at	234731_at	1.460885269	0.187971138
234736_at_234736_at	234736_at	234736_at	-1.060636087	0.73618466
234739_at_234739_at	234739_at	234739_at	3.449720536	0.220785346
234744_x_at_234744_x_at	234744_x_at	234744_x_at	1.376321906	0.5577253
234745_at_234745_at	234745_at	234745_at	6.248495711	0.034666343
234746_at_234746_at	234746_at	234746_at	-4.249616677	0.063978934
234753_x_at_234753_x_at	234753_x_at	234753_x_at	2.588972905	0.062610167
234755_x_at_234755_x_at	234755_x_at	234755_x_at	3.258611398	0.396477658
234758_at_234758_at	234758_at	234758_at	-0.647917979	0.703616538
234760_at_234760_at	234760_at	234760_at	-2.854841041	0.272814663
234763_at_234763_at	234763_at	234763_at	-1.088766272	0.573225072
234764_x_at_234764_x_at	234764_x_at	234764_x_at	-3.644283867	0.332777736
234765_at_234765_at	234765_at	234765_at	-0.616287308	0.830681959
234768_at_234768_at	234768_at	234768_at	2.127008798	0.225806335
234770_at_234770_at	234770_at	234770_at	1.295601056	0.582512487
234773_x_at_234773_x_at	234773_x_at	234773_x_at	-1.451667768	0.542315768
234778_at_234778_at	234778_at	234778_at	8.648842314	0.045219367
234779_at_234779_at	234779_at	234779_at	0.767712625	0.881206491
234781_at_234781_at	234781_at	234781_at	-0.611156532	0.771915109
234783_at_234783_at	234783_at	234783_at	1.938803189	0.409349306
234784_at_234784_at	234784_at	234784_at	-4.830252916	0.116404526
234785_at_234785_at	234785_at	234785_at	1.060571911	0.003349021
234786_at_234786_at	234786_at	234786_at	-1.95708915	0.346705043
234788_x_at_234788_x_at	234788_x_at	234788_x_at	2.189941218	0.01812335
234789_at_234789_at	234789_at	234789_at	-4.857945868	0.210530083
234790_at_234790_at	234790_at	234790_at	-0.108272952	0.972028913
234792_x_at_234792_x_at	234792_x_at	234792_x_at	-1.287799435	0.672835051
234793_at_234793_at	234793_at	234793_at	1.954843157	0.624750323
234794_at_234794_at	234794_at	234794_at	-2.775045342	0.359277029
234795_at_234795_at	234795_at	234795_at	-5.950733482	0.007970152
234797_at_234797_at	234797_at	234797_at	2.065302143	0.319891542
234798_x_at_234798_x_at	234798_x_at	234798_x_at	-2.561218718	0.609175601
234800_at_234800_at	234800_at	234800_at	3.41610989	0.225871906
234802_at_234802_at	234802_at	234802_at	1.734655913	0.644099241
234805_at_234805_at	234805_at	234805_at	4.302452165	0.109764215
234807_x_at_234807_x_at	234807_x_at	234807_x_at	1.346644811	0.482059133
234808_x_at_234808_x_at	234808_x_at	234808_x_at	-2.379594545	0.508362246
234812_at_234812_at	234812_at	234812_at	2.051968257	0.367103514
234814_at_234814_at	234814_at	234814_at	0.624272484	0.86964366
234815_at_234815_at	234815_at	234815_at	-2.495516509	0.432782553
234817_at_234817_at	234817_at	234817_at	-3.269077493	0.347730062
234819_at_234819_at	234819_at	234819_at	-3.504875149	0.390575503
234821_at_234821_at	234821_at	234821_at	3.169196956	0.19202853
234822_at_234822_at	234822_at	234822_at	-1.744029599	0.579431491
234823_at_234823_at	234823_at	234823_at	-4.223836478	0.141958662
234824_at_234824_at	234824_at	234824_at	1.643778186	0.600520629
234825_at_234825_at	234825_at	234825_at	1.094021374	0.639329051
234826_at_234826_at	234826_at	234826_at	0.578730303	0.86315086
234827_at_234827_at	234827_at	234827_at	1.80434038	0.330760237
234828_at_234828_at	234828_at	234828_at	-6.722314254	0.001038571
234831_at_234831_at	234831_at	234831_at	-0.96429679	0.746907893
234833_at_234833_at	234833_at	234833_at	-7.896354862	0.103482421
234834_at_234834_at	234834_at	234834_at	5.356699356	0.079224366
234836_at_234836_at	234836_at	234836_at	-0.53456888	0.827446417
234837_at_234837_at	234837_at	234837_at	-4.628543115	0.112504087
234838_at_234838_at	234838_at	234838_at	1.821754111	0.083757309
234839_at_234839_at	234839_at	234839_at	-2.311850018	0.067413857
234842_at_234842_at	234842_at	234842_at	-1.802148656	0.403579681
234848_at_234848_at	234848_at	234848_at	-4.360563461	0.082865268
234849_at_234849_at	234849_at	234849_at	-5.474079087	0.328470227
234852_at_234852_at	234852_at	234852_at	6.280180102	0.096350752
234856_at_234856_at	234856_at	234856_at	-4.493341253	0.204421517
234857_at_234857_at	234857_at	234857_at	-0.754913335	0.847829352
234858_at_234858_at	234858_at	234858_at	-5.308654348	0.064745899
234860_at_234860_at	234860_at	234860_at	-1.60130267	0.515680099
234862_at_234862_at	234862_at	234862_at	-1.305557896	0.571281446
234867_at_234867_at	234867_at	234867_at	2.335833473	0.083655462
234869_at_234869_at	234869_at	234869_at	-2.084642009	0.49794483
234872_at_234872_at	234872_at	234872_at	-5.698245472	0.114534941
234876_at_234876_at	234876_at	234876_at	-2.04603667	0.4708672
234877_x_at_234877_x_at	234877_x_at	234877_x_at	-3.349718824	0.113020464
234879_at_234879_at	234879_at	234879_at	-1.626071938	0.584242868
234881_at_234881_at	234881_at	234881_at	-4.930366387	0.005761376
234882_at_234882_at	234882_at	234882_at	-3.714199442	0.053269732
234884_x_at_234884_x_at	234884_x_at	234884_x_at	-1.750462343	0.460469329
234885_at_234885_at	234885_at	234885_at	1.097507589	0.639346835
234887_at_234887_at	234887_at	234887_at	2.967214505	0.285938376
234889_at_234889_at	234889_at	234889_at	0.12549728	0.960280468
234890_at_234890_at	234890_at	234890_at	-6.798012088	0.004565987
234892_at_234892_at	234892_at	234892_at	1.176047437	0.692878649
234896_at_234896_at	234896_at	234896_at	-1.591399447	0.564853705
234898_at_234898_at	234898_at	234898_at	-4.885357252	0.11985404
234900_at_234900_at	234900_at	234900_at	-1.742435927	0.512408215
234901_at_234901_at	234901_at	234901_at	0.884300701	0.736201689
234906_at_234906_at	234906_at	234906_at	0.685780004	0.711615578
234907_x_at_234907_x_at	234907_x_at	234907_x_at	1.053911536	0.248757562
234909_at_234909_at	234909_at	234909_at	-2.499211524	0.289178144
234911_at_234911_at	234911_at	234911_at	-6.170132168	0.037681951
234913_at_234913_at	234913_at	234913_at	0.583568796	0.881821557
234916_at_234916_at	234916_at	234916_at	-0.032441372	0.989460118
234931_at_234931_at	234931_at	234931_at	-6.344524519	0.008513365
234934_at_234934_at	234934_at	234934_at	-2.345043078	0.310972012
234942_s_at_234942_s_at	234942_s_at	234942_s_at	-1.385891158	0.096060269
234943_at_234943_at	234943_at	234943_at	-5.163345704	0.019173873
234954_at_234954_at	234954_at	234954_at	1.235338791	0.284801505
234957_at_234957_at	234957_at	234957_at	-3.574766062	0.177684768
234958_at_234958_at	234958_at	234958_at	3.946449584	0.11164098
234959_at_234959_at	234959_at	234959_at	1.194358098	0.728037345
234960_at_234960_at	234960_at	234960_at	1.16757915	0.722593283
234961_at_234961_at	234961_at	234961_at	-3.880577946	0.293041672
234962_at_234962_at	234962_at	234962_at	-3.365921729	0.110182864
234964_at_234964_at	234964_at	234964_at	3.840173247	0.187540375
234965_at_234965_at	234965_at	234965_at	-0.730028815	0.769305135
234976_x_at_234976_x_at	234976_x_at	234976_x_at	0.425215595	0.509903363
234983_at_234983_at	234983_at	234983_at	1.15427814	0.119276521
234997_x_at_234997_x_at	234997_x_at	234997_x_at	1.031005036	0.073832605
235008_at_235008_at	235008_at	235008_at	-0.909878599	0.149246768
235028_at_235028_at	235028_at	235028_at	1.382524803	0.002515655
235031_at_235031_at	235031_at	235031_at	-0.129506247	0.897277104
235053_at_235053_at	235053_at	235053_at	0.392816565	0.493511009
235058_at_235058_at	235058_at	235058_at	-0.097773545	0.924951273
235071_at_235071_at	235071_at	235071_at	-0.724331177	0.6838022
235078_at_235078_at	235078_at	235078_at	1.053020128	0.306352615
235084_x_at_235084_x_at	235084_x_at	235084_x_at	0.06524341	0.94826229
235092_at_235092_at	235092_at	235092_at	0.919047493	0.076861017
235094_at_235094_at	235094_at	235094_at	-0.272364038	0.464529142
235100_at_235100_at	235100_at	235100_at	2.734958115	0.296702378
235102_x_at_235102_x_at	235102_x_at	235102_x_at	-0.610707292	0.42724722
235105_at_235105_at	235105_at	235105_at	-0.375662702	0.810026105
235107_at_235107_at	235107_at	235107_at	0.363980638	0.548576754
235112_at_235112_at	235112_at	235112_at	1.464856088	0.014730751
235123_at_235123_at	235123_at	235123_at	0.844880923	0.039390424
235130_at_235130_at	235130_at	235130_at	-0.963494718	0.304796295
235134_at_235134_at	235134_at	235134_at	0.127880572	0.807684427
235138_at_235138_at	235138_at	235138_at	1.097794643	0.085932287
235147_at_235147_at	235147_at	235147_at	0.330149574	0.374827273
235150_at_235150_at	235150_at	235150_at	-0.204577119	0.794270954
235152_at_235152_at	235152_at	235152_at	0.090204671	0.839087464
235157_at_235157_at	235157_at	235157_at	0.196930929	0.726560458
235159_at_235159_at	235159_at	235159_at	-0.771009084	0.191255301
235161_at_235161_at	235161_at	235161_at	0.294175094	0.830856238
235172_at_235172_at	235172_at	235172_at	0.74440194	0.063019843
235183_at_235183_at	235183_at	235183_at	-1.177827519	0.488195459
235190_at_235190_at	235190_at	235190_at	0.442575304	0.525538343
235193_at_235193_at	235193_at	235193_at	1.246555025	0.011020955
235203_at_235203_at	235203_at	235203_at	0.881310666	0.174933998
235204_at_235204_at	235204_at	235204_at	1.059724765	0.133090942
235207_at_235207_at	235207_at	235207_at	0.249190312	0.710554353
235211_at_235211_at	235211_at	235211_at	2.287009687	0.059681881
235224_s_at_235224_s_at	235224_s_at	235224_s_at	0.022929338	0.977040558
235227_at_235227_at	235227_at	235227_at	-0.353138913	0.626411538
235229_at_235229_at	235229_at	235229_at	-4.07226754	0.105541008
235236_at_235236_at	235236_at	235236_at	-0.430311735	0.366192488
235242_at_235242_at	235242_at	235242_at	0.450948536	0.398643697
235246_at_235246_at	235246_at	235246_at	-2.894404674	0.250906694
235247_at_235247_at	235247_at	235247_at	0.447572644	0.046019604
235251_at_235251_at	235251_at	235251_at	-0.091882798	0.864962596
235263_at_235263_at	235263_at	235263_at	0.092034667	0.927191484
235268_at_235268_at	235268_at	235268_at	0.180979979	0.870968481
235274_at_235274_at	235274_at	235274_at	0.841456861	0.06563575
235279_at_235279_at	235279_at	235279_at	-1.735228085	0.009964967
235280_at_235280_at	235280_at	235280_at	-0.37004024	0.54833789
235284_s_at_235284_s_at	235284_s_at	235284_s_at	-1.635671023	0.604784413
235285_at_235285_at	235285_at	235285_at	0.692714313	0.639709602
235286_at_235286_at	235286_at	235286_at	0.15513692	0.830583574
235288_at_235288_at	235288_at	235288_at	1.75775338	0.104869356
235293_at_235293_at	235293_at	235293_at	-0.148391195	0.790896054
235295_at_235295_at	235295_at	235295_at	-1.183198294	0.033817369
235302_at_235302_at	235302_at	235302_at	-0.096909787	0.916073683
235322_at_235322_at	235322_at	235322_at	-0.967375236	0.051310127
