	X54675	X54675.1	paclitaxel.coeff	paclitaxel.pvalue
1554465_s_at_1554465_s_at	1554465_s_at	1554465_s_at	-0.650116912	0.411430583
1554468_s_at_1554468_s_at	1554468_s_at	1554468_s_at	-0.097833765	0.957067464
1554597_at_1554597_at	1554597_at	1554597_at	0.013039093	0.984939532
1554599_x_at_1554599_x_at	1554599_x_at	1554599_x_at	0.207498182	0.776454465
1554615_at_1554615_at	1554615_at	1554615_at	-2.522058731	0.385884696
1554636_at_1554636_at	1554636_at	1554636_at	-0.601118789	0.838635858
1554649_at_1554649_at	1554649_at	1554649_at	-1.249036677	0.670107887
1554650_a_at_1554650_a_at	1554650_a_at	1554650_a_at	-2.426034813	0.332270873
1554723_x_at_1554723_x_at	1554723_x_at	1554723_x_at	-3.095479696	0.388538219
1554741_s_at_1554741_s_at	1554741_s_at	1554741_s_at	-0.173375534	0.793483574
1554751_at_1554751_at	1554751_at	1554751_at	1.46994724	0.46877717
1554752_a_at_1554752_a_at	1554752_a_at	1554752_a_at	0.375917875	0.799819852
1554766_s_at_1554766_s_at	1554766_s_at	1554766_s_at	3.532371669	0.225193571
1554771_at_1554771_at	1554771_at	1554771_at	0.069571216	0.935529008
1554781_at_1554781_at	1554781_at	1554781_at	-2.916984783	0.194384224
1554813_at_1554813_at	1554813_at	1554813_at	2.943004062	0.334432517
1554825_at_1554825_at	1554825_at	1554825_at	-0.366698539	0.82272611
1554837_a_at_1554837_a_at	1554837_a_at	1554837_a_at	-6.618400474	0.005430377
1554839_at_1554839_at	1554839_at	1554839_at	-3.697192786	0.140167979
1554865_at_1554865_at	1554865_at	1554865_at	4.194163943	0.199727091
1554871_at_1554871_at	1554871_at	1554871_at	-0.984668357	0.826119172
1554887_at_1554887_at	1554887_at	1554887_at	-0.175589814	0.771464688
1554891_at_1554891_at	1554891_at	1554891_at	-1.721482814	0.62842612
1554907_a_at_1554907_a_at	1554907_a_at	1554907_a_at	-2.632244211	0.414064418
1554946_at_1554946_at	1554946_at	1554946_at	-1.140060992	0.441852849
1554948_at_1554948_at	1554948_at	1554948_at	0.89602747	0.143992219
1554951_at_1554951_at	1554951_at	1554951_at	2.559931861	0.556923804
1554957_at_1554957_at	1554957_at	1554957_at	1.32217876	0.626686108
1554963_at_1554963_at	1554963_at	1554963_at	-3.295467742	0.118585364
1554964_x_at_1554964_x_at	1554964_x_at	1554964_x_at	-5.254631886	0.01455015
1554972_at_1554972_at	1554972_at	1554972_at	2.66305693	0.008079144
1554996_at_1554996_at	1554996_at	1554996_at	2.526346248	0.533860475
1555014_x_at_1555014_x_at	1555014_x_at	1555014_x_at	0.538719045	0.681233777
1555031_at_1555031_at	1555031_at	1555031_at	1.150991486	0.701093685
1555059_at_1555059_at	1555059_at	1555059_at	-5.351874421	0.072059475
1555084_at_1555084_at	1555084_at	1555084_at	-4.369144248	0.063553484
1555085_at_1555085_at	1555085_at	1555085_at	4.312087512	0.20580997
1555117_at_1555117_at	1555117_at	1555117_at	3.66495144	0.044433461
1555129_at_1555129_at	1555129_at	1555129_at	-6.387206941	0.041571684
1555132_at_1555132_at	1555132_at	1555132_at	-3.600749565	0.105196555
1555135_at_1555135_at	1555135_at	1555135_at	0.326209217	0.927237954
1555157_at_1555157_at	1555157_at	1555157_at	-0.630224392	0.792147335
1555158_at_1555158_at	1555158_at	1555158_at	-3.236500721	0.340023476
1555162_at_1555162_at	1555162_at	1555162_at	3.004480357	0.100706022
1555163_at_1555163_at	1555163_at	1555163_at	0.818747796	0.653403522
1555174_at_1555174_at	1555174_at	1555174_at	0.409521398	0.867531277
1555176_at_1555176_at	1555176_at	1555176_at	4.358059891	0.261415466
1555187_at_1555187_at	1555187_at	1555187_at	0.164225672	0.923972123
1555194_at_1555194_at	1555194_at	1555194_at	2.170123309	0.009131817
1555204_at_1555204_at	1555204_at	1555204_at	1.542769111	0.737597464
1555205_at_1555205_at	1555205_at	1555205_at	-3.121239471	0.199740707
1555221_at_1555221_at	1555221_at	1555221_at	-6.186046679	0.089227944
1555222_a_at_1555222_a_at	1555222_a_at	1555222_a_at	-1.256045752	0.603658399
1555237_at_1555237_at	1555237_at	1555237_at	3.381256149	0.187062409
1555247_a_at_1555247_a_at	1555247_a_at	1555247_a_at	2.245351273	0.003311201
1555261_at_1555261_at	1555261_at	1555261_at	2.869168163	0.023154865
1555263_at_1555263_at	1555263_at	1555263_at	4.475956669	0.289292804
1555303_at_1555303_at	1555303_at	1555303_at	1.459935316	0.000971165
1555311_at_1555311_at	1555311_at	1555311_at	1.661810325	0.124461052
1555325_s_at_1555325_s_at	1555325_s_at	1555325_s_at	0.992100345	0.192385872
1555344_at_1555344_at	1555344_at	1555344_at	-1.256362434	0.710616282
1555373_at_1555373_at	1555373_at	1555373_at	1.502678045	0.423329702
1555392_at_1555392_at	1555392_at	1555392_at	-0.656795892	0.316465664
1555408_at_1555408_at	1555408_at	1555408_at	0.05737579	0.92579633
1555409_a_at_1555409_a_at	1555409_a_at	1555409_a_at	0.242008145	0.688389878
1555410_at_1555410_at	1555410_at	1555410_at	2.417339856	0.061420692
1555415_at_1555415_at	1555415_at	1555415_at	3.611514536	0.332722782
1555429_at_1555429_at	1555429_at	1555429_at	-0.710330904	0.803161741
1555456_at_1555456_at	1555456_at	1555456_at	-3.855351205	0.215318172
1555461_at_1555461_at	1555461_at	1555461_at	0.299657629	0.554851709
1555488_at_1555488_at	1555488_at	1555488_at	0.217037907	0.937704598
1555489_at_1555489_at	1555489_at	1555489_at	3.562467994	0.227723313
1555498_at_1555498_at	1555498_at	1555498_at	2.536063407	0.300622755
1555519_at_1555519_at	1555519_at	1555519_at	-0.418602965	0.677244241
1555522_s_at_1555522_s_at	1555522_s_at	1555522_s_at	-2.477430682	0.017908528
1555547_at_1555547_at	1555547_at	1555547_at	0.532174723	0.625734236
1555580_at_1555580_at	1555580_at	1555580_at	-6.665895168	0.097288109
1555601_at_1555601_at	1555601_at	1555601_at	0.27371137	0.947276049
1555616_at_1555616_at	1555616_at	1555616_at	0.976587757	0.488313947
1555617_x_at_1555617_x_at	1555617_x_at	1555617_x_at	0.047906933	0.977340951
1555623_at_1555623_at	1555623_at	1555623_at	7.12543368	0.148309621
1555631_at_1555631_at	1555631_at	1555631_at	-7.066346661	0.005487277
1555646_at_1555646_at	1555646_at	1555646_at	-8.555256692	0.023661109
1555653_at_1555653_at	1555653_at	1555653_at	-1.19516604	0.474754764
1555664_at_1555664_at	1555664_at	1555664_at	2.093358323	0.473497534
1555665_at_1555665_at	1555665_at	1555665_at	-3.747042309	0.326616941
1555681_at_1555681_at	1555681_at	1555681_at	1.846534697	0.447369012
1555691_a_at_1555691_a_at	1555691_a_at	1555691_a_at	2.119772815	0.481772693
1555692_at_1555692_at	1555692_at	1555692_at	0.486158806	0.894470825
1555717_at_1555717_at	1555717_at	1555717_at	-0.965089721	0.856066828
1555718_x_at_1555718_x_at	1555718_x_at	1555718_x_at	7.15454269	0.0675738
1555723_at_1555723_at	1555723_at	1555723_at	2.556199339	0.009459873
1555727_at_1555727_at	1555727_at	1555727_at	3.958903543	0.274075868
1555755_at_1555755_at	1555755_at	1555755_at	0.51072266	0.896754537
1555762_s_at_1555762_s_at	1555762_s_at	1555762_s_at	-0.451305533	0.738578422
1555790_a_at_1555790_a_at	1555790_a_at	1555790_a_at	1.150099003	0.054198579
1555794_at_1555794_at	1555794_at	1555794_at	2.69711711	0.259578265
1555816_at_1555816_at	1555816_at	1555816_at	5.087440285	0.007583053
1555817_s_at_1555817_s_at	1555817_s_at	1555817_s_at	2.51947112	0.000636715
1555822_at_1555822_at	1555822_at	1555822_at	-1.994600578	0.421303122
1555826_at_1555826_at	1555826_at	1555826_at	0.242740531	0.710919557
1555845_at_1555845_at	1555845_at	1555845_at	0.824586904	0.255522279
1555846_a_at_1555846_a_at	1555846_a_at	1555846_a_at	0.600852617	0.441505571
1555848_at_1555848_at	1555848_at	1555848_at	0.378883431	0.560607957
1555854_at_1555854_at	1555854_at	1555854_at	-0.470062527	0.094416579
1555855_at_1555855_at	1555855_at	1555855_at	-4.041389004	0.16576593
1555856_s_at_1555856_s_at	1555856_s_at	1555856_s_at	-1.077667631	0.492553125
1555868_at_1555868_at	1555868_at	1555868_at	-1.568967484	0.063437838
1555869_a_at_1555869_a_at	1555869_a_at	1555869_a_at	-0.13356068	0.959650905
1555872_a_at_1555872_a_at	1555872_a_at	1555872_a_at	0.371103478	0.453666278
1555890_at_1555890_at	1555890_at	1555890_at	-0.51527772	0.357922586
1555893_at_1555893_at	1555893_at	1555893_at	1.214759246	0.048414228
1555900_at_1555900_at	1555900_at	1555900_at	0.782906285	0.245453101
1555904_at_1555904_at	1555904_at	1555904_at	-0.886370638	0.662864731
1555925_at_1555925_at	1555925_at	1555925_at	-1.826910826	0.100653886
1555926_a_at_1555926_a_at	1555926_a_at	1555926_a_at	-2.992660045	0.020187697
1555928_at_1555928_at	1555928_at	1555928_at	-2.13577012	0.010658834
1555929_s_at_1555929_s_at	1555929_s_at	1555929_s_at	-0.694438533	0.069922149
1555931_at_1555931_at	1555931_at	1555931_at	2.397895694	0.017452855
1555932_at_1555932_at	1555932_at	1555932_at	3.154970974	0.108384842
1555939_at_1555939_at	1555939_at	1555939_at	-7.491594587	0.071937071
1555940_a_at_1555940_a_at	1555940_a_at	1555940_a_at	-1.546375588	0.688478842
1555967_at_1555967_at	1555967_at	1555967_at	0.83047574	0.01849149
1555968_a_at_1555968_a_at	1555968_a_at	1555968_a_at	1.148862174	0.008693024
1555973_at_1555973_at	1555973_at	1555973_at	-0.167445697	0.845401235
1555974_a_at_1555974_a_at	1555974_a_at	1555974_a_at	-0.119433794	0.850023207
1555977_at_1555977_at	1555977_at	1555977_at	-0.749532273	0.281864148
1555978_s_at_1555978_s_at	1555978_s_at	1555978_s_at	-0.383320864	0.498954428
1555989_at_1555989_at	1555989_at	1555989_at	0.480474792	0.083274918
1555994_at_1555994_at	1555994_at	1555994_at	-1.776851737	0.681798291
1555995_a_at_1555995_a_at	1555995_a_at	1555995_a_at	-0.512892844	0.817470508
1556008_a_at_1556008_a_at	1556008_a_at	1556008_a_at	-1.055461188	0.273002262
1556033_at_1556033_at	1556033_at	1556033_at	0.072452542	0.887168702
1556054_at_1556054_at	1556054_at	1556054_at	0.755254155	0.14233725
1556055_at_1556055_at	1556055_at	1556055_at	-0.423024462	0.416014785
1556065_at_1556065_at	1556065_at	1556065_at	1.78877335	0.494882037
1556078_at_1556078_at	1556078_at	1556078_at	-4.968250282	0.029832489
1556081_at_1556081_at	1556081_at	1556081_at	0.832621267	0.379650172
1556082_a_at_1556082_a_at	1556082_a_at	1556082_a_at	0.669100907	0.541919163
1556090_at_1556090_at	1556090_at	1556090_at	1.483870416	0.139319223
1556097_at_1556097_at	1556097_at	1556097_at	0.367610461	0.535045154
1556103_at_1556103_at	1556103_at	1556103_at	1.456540754	0.00781249
1556105_at_1556105_at	1556105_at	1556105_at	1.1030822	0.18408369
1556107_at_1556107_at	1556107_at	1556107_at	-0.085434343	0.969541244
1556110_at_1556110_at	1556110_at	1556110_at	0.03715081	0.963093539
1556111_s_at_1556111_s_at	1556111_s_at	1556111_s_at	-0.403284084	0.58655444
1556122_at_1556122_at	1556122_at	1556122_at	0.575210832	0.572499504
1556123_a_at_1556123_a_at	1556123_a_at	1556123_a_at	0.332922675	0.636089026
1556138_a_at_1556138_a_at	1556138_a_at	1556138_a_at	-0.746466687	0.188082485
