	X54675	X54675.1	gemcitabine.coeff	gemcitabine.pvalue
1554468_s_at_1554468_s_at	1554468_s_at	1554468_s_at	-1.296004002	0.546365821
1554597_at_1554597_at	1554597_at	1554597_at	-1.166033084	0.149186316
1554599_x_at_1554599_x_at	1554599_x_at	1554599_x_at	-0.954843969	0.269013665
1554615_at_1554615_at	1554615_at	1554615_at	5.471114168	0.121004701
1554636_at_1554636_at	1554636_at	1554636_at	-0.371748741	0.860906006
1554649_at_1554649_at	1554649_at	1554649_at	-0.674381758	0.857520407
1554650_a_at_1554650_a_at	1554650_a_at	1554650_a_at	-2.748442205	0.372597094
1554723_x_at_1554723_x_at	1554723_x_at	1554723_x_at	-2.759384475	0.527140028
1554741_s_at_1554741_s_at	1554741_s_at	1554741_s_at	-0.11977687	0.879802742
1554751_at_1554751_at	1554751_at	1554751_at	4.305036451	0.061586015
1554752_a_at_1554752_a_at	1554752_a_at	1554752_a_at	3.100472728	0.057382928
1554766_s_at_1554766_s_at	1554766_s_at	1554766_s_at	2.790394857	0.428852101
1554771_at_1554771_at	1554771_at	1554771_at	-0.46432681	0.669503464
1554781_at_1554781_at	1554781_at	1554781_at	3.593714742	0.122545798
1554813_at_1554813_at	1554813_at	1554813_at	-1.995687354	0.585954428
1554825_at_1554825_at	1554825_at	1554825_at	-0.046393082	0.978458736
1554837_a_at_1554837_a_at	1554837_a_at	1554837_a_at	-1.379835831	0.618978233
1554839_at_1554839_at	1554839_at	1554839_at	2.043115582	0.486589482
1554865_at_1554865_at	1554865_at	1554865_at	2.961168911	0.458567353
1554871_at_1554871_at	1554871_at	1554871_at	-3.616695745	0.496702778
1554887_at_1554887_at	1554887_at	1554887_at	-1.000774232	0.167643286
1554891_at_1554891_at	1554891_at	1554891_at	0.428168924	0.920942283
1554907_a_at_1554907_a_at	1554907_a_at	1554907_a_at	-2.545762949	0.513589156
1554946_at_1554946_at	1554946_at	1554946_at	-1.442130671	0.39430637
1554948_at_1554948_at	1554948_at	1554948_at	0.488402907	0.531279976
1554951_at_1554951_at	1554951_at	1554951_at	-2.254363066	0.6815477
1554957_at_1554957_at	1554957_at	1554957_at	4.260115893	0.176109924
1554963_at_1554963_at	1554963_at	1554963_at	-4.685236238	0.051549096
1554964_x_at_1554964_x_at	1554964_x_at	1554964_x_at	-3.888731996	0.146244427
1554972_at_1554972_at	1554972_at	1554972_at	1.99726442	0.108166179
1554996_at_1554996_at	1554996_at	1554996_at	5.070033884	0.241945487
1555014_x_at_1555014_x_at	1555014_x_at	1555014_x_at	-1.29908988	0.545204773
1555031_at_1555031_at	1555031_at	1555031_at	1.182360984	0.73670106
