	X54675	X54675.1	gemcitabine.coeff	gemcitabine.pvalue
231506_at_231506_at	231506_at	231506_at	3.412509545	0.447101749
231507_at_231507_at	231507_at	231507_at	-1.440529023	0.70334804
231508_s_at_231508_s_at	231508_s_at	231508_s_at	0.479686474	0.667501648
231510_at_231510_at	231510_at	231510_at	1.712296045	0.558839547
231512_at_231512_at	231512_at	231512_at	5.035999288	0.299152829
231515_at_231515_at	231515_at	231515_at	0.516895657	0.798214313
231516_at_231516_at	231516_at	231516_at	-3.623562689	0.055656129
231519_at_231519_at	231519_at	231519_at	1.305701582	0.702230296
231526_at_231526_at	231526_at	231526_at	-3.106386443	0.229290309
231528_at_231528_at	231528_at	231528_at	2.723500979	0.20855113
231533_at_231533_at	231533_at	231533_at	2.87378753	0.115829408
231536_at_231536_at	231536_at	231536_at	-1.616341078	0.623430524
231537_at_231537_at	231537_at	231537_at	-6.037229778	0.097155786
231545_at_231545_at	231545_at	231545_at	-0.458501327	0.889414748
231546_at_231546_at	231546_at	231546_at	-2.916602507	0.127934422
231552_at_231552_at	231552_at	231552_at	0.706399242	0.565118097
231555_at_231555_at	231555_at	231555_at	4.134200942	0.116077853
231557_at_231557_at	231557_at	231557_at	2.416536372	0.504676504
231559_at_231559_at	231559_at	231559_at	0.614853671	0.459509752
231560_at_231560_at	231560_at	231560_at	-3.039195182	0.242163312
231563_at_231563_at	231563_at	231563_at	-3.434129053	0.233620319
231568_at_231568_at	231568_at	231568_at	-1.288621529	0.456206242
231574_at_231574_at	231574_at	231574_at	1.111854274	0.743865102
231581_at_231581_at	231581_at	231581_at	-0.300670624	0.948779885
231584_s_at_231584_s_at	231584_s_at	231584_s_at	0.087020193	0.970890304
231589_at_231589_at	231589_at	231589_at	0.950827981	0.836072443
231592_at_231592_at	231592_at	231592_at	-0.547421666	0.200372189
231593_at_231593_at	231593_at	231593_at	-3.694816289	0.429607793
231594_at_231594_at	231594_at	231594_at	-0.200472189	0.956837124
231596_at_231596_at	231596_at	231596_at	2.048493806	0.376179132
231597_x_at_231597_x_at	231597_x_at	231597_x_at	0.574702289	0.213759609
231598_x_at_231598_x_at	231598_x_at	231598_x_at	2.9994878	0.174947488
231604_at_231604_at	231604_at	231604_at	-2.778488242	0.377510918
231605_at_231605_at	231605_at	231605_at	-1.40899019	0.565887424
231606_at_231606_at	231606_at	231606_at	-0.136291805	0.974672923
231607_at_231607_at	231607_at	231607_at	0.06351122	0.986004314
231608_at_231608_at	231608_at	231608_at	-0.814926137	0.797351638
231611_at_231611_at	231611_at	231611_at	-0.222286732	0.889244902
231614_at_231614_at	231614_at	231614_at	1.629818705	0.563219569
231615_at_231615_at	231615_at	231615_at	3.2146281	0.312163482
231616_at_231616_at	231616_at	231616_at	1.841057624	0.748495266
231619_at_231619_at	231619_at	231619_at	-2.763671143	0.415834107
231624_s_at_231624_s_at	231624_s_at	231624_s_at	5.729871842	0.091301
231626_at_231626_at	231626_at	231626_at	4.997068434	0.220546391
231630_at_231630_at	231630_at	231630_at	-1.543432004	0.623406094
231631_at_231631_at	231631_at	231631_at	4.769369345	0.304071536
231633_at_231633_at	231633_at	231633_at	-2.509883509	0.482231389
231636_s_at_231636_s_at	231636_s_at	231636_s_at	4.614032179	0.15693116
231639_at_231639_at	231639_at	231639_at	3.234686065	0.418617541
231644_at_231644_at	231644_at	231644_at	-0.168552355	0.692697062
231645_s_at_231645_s_at	231645_s_at	231645_s_at	3.334990828	0.48959907
231648_at_231648_at	231648_at	231648_at	-5.760369698	0.204768702
231649_at_231649_at	231649_at	231649_at	-4.251015097	0.153972507
231651_at_231651_at	231651_at	231651_at	-6.304724889	0.027622965
231652_at_231652_at	231652_at	231652_at	-2.217071357	0.562669097
231654_s_at_231654_s_at	231654_s_at	231654_s_at	0.656542549	0.879926457
231658_x_at_231658_x_at	231658_x_at	231658_x_at	-5.499007373	0.262654627
231660_at_231660_at	231660_at	231660_at	4.638364808	0.172651845
231670_at_231670_at	231670_at	231670_at	1.47240561	0.655961623
231672_at_231672_at	231672_at	231672_at	1.430450097	0.350080219
231673_at_231673_at	231673_at	231673_at	1.035470511	0.733691871
231674_at_231674_at	231674_at	231674_at	-7.899325071	0.11656242
231676_s_at_231676_s_at	231676_s_at	231676_s_at	0.405818734	0.871947321
231679_at_231679_at	231679_at	231679_at	5.252772384	0.17949582
231680_at_231680_at	231680_at	231680_at	4.325041091	0.337857843
231682_at_231682_at	231682_at	231682_at	2.459440002	0.30917766
231685_at_231685_at	231685_at	231685_at	-1.644166491	0.634918182
231687_at_231687_at	231687_at	231687_at	-0.666616647	0.859365475
231690_at_231690_at	231690_at	231690_at	-0.267902212	0.782003621
231695_at_231695_at	231695_at	231695_at	0.584466149	0.483341358
231698_at_231698_at	231698_at	231698_at	-0.968849703	0.227042728
231699_at_231699_at	231699_at	231699_at	0.226293603	0.944601926
231704_at_231704_at	231704_at	231704_at	-2.137265957	0.540443629
231709_x_at_231709_x_at	231709_x_at	231709_x_at	-0.085904235	0.960134919
231712_at_231712_at	231712_at	231712_at	-3.372074987	0.183852127
231777_at_231777_at	231777_at	231777_at	0.028345478	0.97784378
231795_at_231795_at	231795_at	231795_at	-2.59807517	0.119229541
231811_at_231811_at	231811_at	231811_at	-0.835954561	0.758834125
231813_s_at_231813_s_at	231813_s_at	231813_s_at	0.279495536	0.855381294
231818_x_at_231818_x_at	231818_x_at	231818_x_at	-0.39959763	0.860950702
231821_x_at_231821_x_at	231821_x_at	231821_x_at	-0.075548309	0.949681948
231827_at_231827_at	231827_at	231827_at	-2.413247393	0.044724107
231832_at_231832_at	231832_at	231832_at	0.555456956	0.432970642
231888_at_231888_at	231888_at	231888_at	0.30394304	0.867416459
231890_at_231890_at	231890_at	231890_at	0.124642446	0.884040441
231925_at_231925_at	231925_at	231925_at	-3.767484738	0.007132399
231934_at_231934_at	231934_at	231934_at	0.650323211	0.67220745
231937_at_231937_at	231937_at	231937_at	-0.131278576	0.943963725
231949_at_231949_at	231949_at	231949_at	1.907346065	0.174915274
231952_at_231952_at	231952_at	231952_at	1.616883299	0.038558734
231964_at_231964_at	231964_at	231964_at	-0.698859488	0.307400674
231972_at_231972_at	231972_at	231972_at	0.059431718	0.919077631
231979_at_231979_at	231979_at	231979_at	0.701201784	0.240724445
231983_at_231983_at	231983_at	231983_at	-0.763107343	0.429700624
231989_s_at_231989_s_at	231989_s_at	231989_s_at	0.798320262	0.235400899
232002_at_232002_at	232002_at	232002_at	0.434716782	0.693631483
232022_at_232022_at	232022_at	232022_at	-2.951621965	0.16327462
232029_at_232029_at	232029_at	232029_at	1.050065909	0.634246913
232035_at_232035_at	232035_at	232035_at	0.52500533	0.145283525
232047_at_232047_at	232047_at	232047_at	1.800654212	0.354512601
232049_at_232049_at	232049_at	232049_at	-1.394353353	0.519452713
232050_at_232050_at	232050_at	232050_at	0.865222981	0.477821379
232058_at_232058_at	232058_at	232058_at	-0.004782679	0.995600772
232070_at_232070_at	232070_at	232070_at	1.701506488	0.161092387
232071_at_232071_at	232071_at	232071_at	0.359616809	0.725610197
232072_at_232072_at	232072_at	232072_at	0.721111645	0.273246971
232081_at_232081_at	232081_at	232081_at	0.365556884	0.501805694
232096_x_at_232096_x_at	232096_x_at	232096_x_at	-0.058068019	0.943945508
232100_at_232100_at	232100_at	232100_at	0.319190546	0.908555787
232105_at_232105_at	232105_at	232105_at	-0.182180804	0.660133752
232107_at_232107_at	232107_at	232107_at	-0.181803641	0.900386333
232113_at_232113_at	232113_at	232113_at	0.118864292	0.657149097
232120_at_232120_at	232120_at	232120_at	-0.860206907	0.108125999
232125_at_232125_at	232125_at	232125_at	0.503570516	0.405436283
232130_at_232130_at	232130_at	232130_at	-0.667286794	0.491251561
232134_at_232134_at	232134_at	232134_at	-0.732835572	0.331668439
232140_at_232140_at	232140_at	232140_at	-0.883807577	0.381563664
232144_at_232144_at	232144_at	232144_at	-0.038132803	0.93183976
232150_at_232150_at	232150_at	232150_at	-0.202896272	0.827168709
232156_at_232156_at	232156_at	232156_at	-0.69955733	0.516500013
232159_at_232159_at	232159_at	232159_at	3.001776983	0.2939246
232161_x_at_232161_x_at	232161_x_at	232161_x_at	-0.032955998	0.981211041
232171_x_at_232171_x_at	232171_x_at	232171_x_at	1.359229375	0.091832831
232174_at_232174_at	232174_at	232174_at	0.371165771	0.342555725
232177_at_232177_at	232177_at	232177_at	4.871747658	0.105497925
232178_at_232178_at	232178_at	232178_at	0.430971455	0.887482258
232189_at_232189_at	232189_at	232189_at	2.054736197	0.51905059
232190_x_at_232190_x_at	232190_x_at	232190_x_at	-0.619538052	0.807512951
232198_at_232198_at	232198_at	232198_at	-0.790002104	0.347583106
232199_at_232199_at	232199_at	232199_at	-2.730569399	0.188207293
232202_at_232202_at	232202_at	232202_at	-0.012830049	0.974669084
232205_at_232205_at	232205_at	232205_at	-1.71837153	0.045109128
232210_at_232210_at	232210_at	232210_at	0.424890685	0.233708868
232218_at_232218_at	232218_at	232218_at	0.560872263	0.507393902
232223_at_232223_at	232223_at	232223_at	3.764640778	0.184000772
232225_at_232225_at	232225_at	232225_at	0.899646792	0.740687791
232236_at_232236_at	232236_at	232236_at	0.452419138	0.713029768
232241_at_232241_at	232241_at	232241_at	0.044309829	0.989694114
232248_at_232248_at	232248_at	232248_at	3.636967183	0.142049088
232254_at_232254_at	232254_at	232254_at	-0.712986095	0.231765613
232257_s_at_232257_s_at	232257_s_at	232257_s_at	0.719638234	0.509272199
232261_at_232261_at	232261_at	232261_at	0.658796041	0.863044522
232264_at_232264_at	232264_at	232264_at	2.123072352	0.00271761
232268_at_232268_at	232268_at	232268_at	1.219490569	0.115179042
232273_at_232273_at	232273_at	232273_at	1.536641065	0.151725591
232284_at_232284_at	232284_at	232284_at	0.684344001	0.43771126
232285_at_232285_at	232285_at	232285_at	-1.240893305	0.591587273
232286_at_232286_at	232286_at	232286_at	0.806232891	0.025588759
232288_at_232288_at	232288_at	232288_at	1.293611042	0.18613561
232290_at_232290_at	232290_at	232290_at	0.043270497	0.934074617
232292_at_232292_at	232292_at	232292_at	0.121079669	0.955660421
232307_at_232307_at	232307_at	232307_at	0.27163427	0.588490417
232319_at_232319_at	232319_at	232319_at	-0.09442371	0.883431532
232320_at_232320_at	232320_at	232320_at	-0.224284892	0.90639244
232324_x_at_232324_x_at	232324_x_at	232324_x_at	-1.233715559	0.622852644
232325_at_232325_at	232325_at	232325_at	7.863757416	0.056346942
232326_at_232326_at	232326_at	232326_at	4.570367829	0.261188559
232331_at_232331_at	232331_at	232331_at	0.036499742	0.949894817
232333_at_232333_at	232333_at	232333_at	-0.639664847	0.123969857
232335_at_232335_at	232335_at	232335_at	0.998115541	0.630459875
232338_at_232338_at	232338_at	232338_at	0.647480421	0.191388412
232344_at_232344_at	232344_at	232344_at	-0.07600387	0.916745669
232347_x_at_232347_x_at	232347_x_at	232347_x_at	-0.285509362	0.75117671
232351_at_232351_at	232351_at	232351_at	-0.643590366	0.541679983
232354_at_232354_at	232354_at	232354_at	-0.016511867	0.989515403
232356_at_232356_at	232356_at	232356_at	0.967719391	0.106936197
232363_at_232363_at	232363_at	232363_at	-0.347455042	0.720496281
232364_at_232364_at	232364_at	232364_at	-4.276458482	0.268158752
232369_at_232369_at	232369_at	232369_at	-0.430485727	0.52152548
232372_at_232372_at	232372_at	232372_at	0.241766661	0.775631904
232375_at_232375_at	232375_at	232375_at	0.877208102	0.360377603
232384_s_at_232384_s_at	232384_s_at	232384_s_at	-2.263537212	0.175700616
232385_x_at_232385_x_at	232385_x_at	232385_x_at	1.471738782	0.178219076
232394_at_232394_at	232394_at	232394_at	1.233581987	0.664034056
232396_at_232396_at	232396_at	232396_at	-0.472181754	0.504147681
232400_at_232400_at	232400_at	232400_at	0.152469573	0.96661021
232402_at_232402_at	232402_at	232402_at	-0.692750726	0.818456912
232405_at_232405_at	232405_at	232405_at	0.757299579	0.332606698
232406_at_232406_at	232406_at	232406_at	-0.670516145	0.075146179
232410_at_232410_at	232410_at	232410_at	-0.31990147	0.795528761
232411_at_232411_at	232411_at	232411_at	2.471114587	0.590577924
232413_at_232413_at	232413_at	232413_at	3.630566269	0.030678588
232429_at_232429_at	232429_at	232429_at	-0.195077808	0.866517225
232435_at_232435_at	232435_at	232435_at	-0.820415254	0.755106552
232439_at_232439_at	232439_at	232439_at	0.577209646	0.482177154
232447_at_232447_at	232447_at	232447_at	0.569168296	0.710526198
232451_at_232451_at	232451_at	232451_at	0.633924927	0.311545767
232453_at_232453_at	232453_at	232453_at	0.270283474	0.605199836
232454_at_232454_at	232454_at	232454_at	3.131258667	0.018671281
232459_at_232459_at	232459_at	232459_at	0.399286541	0.579032642
232460_at_232460_at	232460_at	232460_at	0.853387786	0.696278765
232465_at_232465_at	232465_at	232465_at	-0.51653523	0.634985412
232468_at_232468_at	232468_at	232468_at	0.538075066	0.828218148
232471_at_232471_at	232471_at	232471_at	0.864579863	0.366768054
232472_at_232472_at	232472_at	232472_at	0.347409676	0.661728449
232474_at_232474_at	232474_at	232474_at	-0.677477626	0.851308353
232476_at_232476_at	232476_at	232476_at	0.449383264	0.619732474
232477_at_232477_at	232477_at	232477_at	-2.496945684	0.139391323
232484_at_232484_at	232484_at	232484_at	0.664040272	0.595287896
232491_at_232491_at	232491_at	232491_at	2.232744061	0.294300894
232493_at_232493_at	232493_at	232493_at	0.004821691	0.996175698
232495_x_at_232495_x_at	232495_x_at	232495_x_at	-2.781150491	0.39492275
232496_at_232496_at	232496_at	232496_at	1.453379729	0.650514746
232501_at_232501_at	232501_at	232501_at	0.394774321	0.861730576
232511_at_232511_at	232511_at	232511_at	0.367999439	0.628244148
232522_at_232522_at	232522_at	232522_at	-0.573313915	0.673522438
232525_at_232525_at	232525_at	232525_at	-0.210311247	0.786394853
232528_at_232528_at	232528_at	232528_at	-0.85457493	0.054603845
232535_at_232535_at	232535_at	232535_at	0.250858225	0.80495859
232538_at_232538_at	232538_at	232538_at	1.970148121	0.160831474
232539_at_232539_at	232539_at	232539_at	1.142786383	0.685787891
232540_x_at_232540_x_at	232540_x_at	232540_x_at	0.286955936	0.903181265
232541_at_232541_at	232541_at	232541_at	-0.314920357	0.171875943
232544_at_232544_at	232544_at	232544_at	-0.58281008	0.165593606
232550_at_232550_at	232550_at	232550_at	4.561338927	0.232097934
232556_at_232556_at	232556_at	232556_at	0.381934418	0.813017123
232559_at_232559_at	232559_at	232559_at	-2.292710496	0.236638458
232565_at_232565_at	232565_at	232565_at	1.259514294	0.255891051
232569_at_232569_at	232569_at	232569_at	-0.189928129	0.794546613
232571_at_232571_at	232571_at	232571_at	0.160252996	0.938293812
232573_at_232573_at	232573_at	232573_at	0.030108649	0.954640525
232576_at_232576_at	232576_at	232576_at	0.435811427	0.808093973
232580_x_at_232580_x_at	232580_x_at	232580_x_at	-0.935904902	0.368449468
232582_at_232582_at	232582_at	232582_at	7.77921937	0.015678646
232583_at_232583_at	232583_at	232583_at	-1.24046069	0.335613531
232584_at_232584_at	232584_at	232584_at	-0.712269428	0.404946584
232586_x_at_232586_x_at	232586_x_at	232586_x_at	-0.042808349	0.962128927
232589_at_232589_at	232589_at	232589_at	-0.009381074	0.991111562
232590_at_232590_at	232590_at	232590_at	-1.243077952	0.639892585
232592_at_232592_at	232592_at	232592_at	0.58683147	0.605575986
232595_at_232595_at	232595_at	232595_at	-0.338223558	0.752876136
232600_at_232600_at	232600_at	232600_at	-0.593162963	0.438732898
232601_at_232601_at	232601_at	232601_at	-1.257833534	0.179383208
232607_at_232607_at	232607_at	232607_at	-2.981039312	0.315123808
232614_at_232614_at	232614_at	232614_at	0.417683664	0.274107564
232615_at_232615_at	232615_at	232615_at	-0.085281122	0.800911682
232622_at_232622_at	232622_at	232622_at	1.913619008	0.156026935
232626_at_232626_at	232626_at	232626_at	-0.509006105	0.603836556
232627_at_232627_at	232627_at	232627_at	-0.264754522	0.862984904
232628_at_232628_at	232628_at	232628_at	-1.253762251	0.03862367
232632_at_232632_at	232632_at	232632_at	-0.483000162	0.483832992
232653_at_232653_at	232653_at	232653_at	0.328650083	0.287021593
232654_s_at_232654_s_at	232654_s_at	232654_s_at	0.263146167	0.499377236
232656_at_232656_at	232656_at	232656_at	1.065922594	0.11194457
232657_at_232657_at	232657_at	232657_at	-0.094617683	0.980658522
232658_at_232658_at	232658_at	232658_at	-0.635656811	0.826165845
232659_at_232659_at	232659_at	232659_at	-0.382849614	0.788209803
232667_at_232667_at	232667_at	232667_at	0.571836041	0.554894771
232668_at_232668_at	232668_at	232668_at	0.625008818	0.045698494
232672_x_at_232672_x_at	232672_x_at	232672_x_at	-1.13172546	0.752517729
232677_at_232677_at	232677_at	232677_at	-3.119151042	0.402758945
232678_at_232678_at	232678_at	232678_at	-3.407927544	0.19544717
232679_at_232679_at	232679_at	232679_at	0.499344968	0.709948464
232685_at_232685_at	232685_at	232685_at	0.914591169	0.52353986
232687_at_232687_at	232687_at	232687_at	0.395347176	0.544841266
232690_at_232690_at	232690_at	232690_at	-0.231534978	0.782064444
232693_s_at_232693_s_at	232693_s_at	232693_s_at	-0.588421069	0.428899464
232696_at_232696_at	232696_at	232696_at	0.182495417	0.795896269
232699_at_232699_at	232699_at	232699_at	0.891579914	0.627778048
232700_at_232700_at	232700_at	232700_at	-3.317960791	0.378350527
232701_at_232701_at	232701_at	232701_at	0.01452996	0.992097554
232703_at_232703_at	232703_at	232703_at	1.598112447	0.636834678
232709_at_232709_at	232709_at	232709_at	0.061790707	0.937257928
232710_at_232710_at	232710_at	232710_at	-1.150963713	0.266268166
232711_at_232711_at	232711_at	232711_at	-0.288483133	0.916858896
232712_at_232712_at	232712_at	232712_at	0.512195989	0.686697612
232713_at_232713_at	232713_at	232713_at	-2.55530836	0.200410441
232714_at_232714_at	232714_at	232714_at	-8.396461652	0.026177387
232715_at_232715_at	232715_at	232715_at	-6.138776668	0.12142999
232716_at_232716_at	232716_at	232716_at	-0.223089262	0.722450473
232723_at_232723_at	232723_at	232723_at	3.23028059	0.290969176
232726_at_232726_at	232726_at	232726_at	0.396722525	0.513732588
232736_s_at_232736_s_at	232736_s_at	232736_s_at	1.443169033	0.555129678
232741_at_232741_at	232741_at	232741_at	-4.363992245	0.072546635
232742_at_232742_at	232742_at	232742_at	-0.353760895	0.912721029
232743_at_232743_at	232743_at	232743_at	2.860575276	0.446460874
232744_x_at_232744_x_at	232744_x_at	232744_x_at	0.474958629	0.388043449
232747_at_232747_at	232747_at	232747_at	-1.52624264	0.405533543
232749_at_232749_at	232749_at	232749_at	1.147912936	0.486724606
232754_at_232754_at	232754_at	232754_at	-2.068539067	0.151965547
232757_at_232757_at	232757_at	232757_at	0.518085913	0.545843664
232758_s_at_232758_s_at	232758_s_at	232758_s_at	1.559193371	0.067031053
232759_at_232759_at	232759_at	232759_at	-0.161899345	0.84401184
232769_at_232769_at	232769_at	232769_at	0.499168039	0.801284758
232773_at_232773_at	232773_at	232773_at	-0.324902281	0.678075654
232775_at_232775_at	232775_at	232775_at	-1.97309057	0.093935516
232776_at_232776_at	232776_at	232776_at	1.218296873	0.20567883
232778_at_232778_at	232778_at	232778_at	0.201496532	0.833314485
232779_at_232779_at	232779_at	232779_at	-1.532309956	0.167206923
232781_at_232781_at	232781_at	232781_at	0.615271747	0.549767977
232782_at_232782_at	232782_at	232782_at	1.100174224	0.811007961
232783_at_232783_at	232783_at	232783_at	0.428599476	0.655961124
232784_at_232784_at	232784_at	232784_at	0.770289998	0.487750909
232788_at_232788_at	232788_at	232788_at	-0.883022591	0.533781984
232789_at_232789_at	232789_at	232789_at	0.762667866	0.834781391
232791_at_232791_at	232791_at	232791_at	-3.625174221	0.149684472
232793_at_232793_at	232793_at	232793_at	0.79865761	0.111327393
232795_at_232795_at	232795_at	232795_at	3.522204291	0.159617146
232796_at_232796_at	232796_at	232796_at	-1.011608278	0.203193974
232797_at_232797_at	232797_at	232797_at	-0.986722438	0.085446898
232799_at_232799_at	232799_at	232799_at	-1.135257377	0.092353907
232800_at_232800_at	232800_at	232800_at	-0.362999455	0.5566381
232805_at_232805_at	232805_at	232805_at	-2.470364179	0.591422873
232808_at_232808_at	232808_at	232808_at	-2.956349777	0.09483009
232813_s_at_232813_s_at	232813_s_at	232813_s_at	3.836175261	0.29504004
232817_at_232817_at	232817_at	232817_at	-1.131165802	0.759346329
232818_at_232818_at	232818_at	232818_at	-5.082865606	0.092246464
232823_at_232823_at	232823_at	232823_at	2.55640759	0.027755858
232824_at_232824_at	232824_at	232824_at	-0.700380221	0.676828876
232826_at_232826_at	232826_at	232826_at	1.31485519	0.328939454
232827_at_232827_at	232827_at	232827_at	-1.059381127	0.527633137
232828_at_232828_at	232828_at	232828_at	1.778353613	0.680414664
232831_at_232831_at	232831_at	232831_at	0.158768029	0.956950306
232833_at_232833_at	232833_at	232833_at	0.648549154	0.394481721
232834_at_232834_at	232834_at	232834_at	0.092819885	0.941411043
232835_at_232835_at	232835_at	232835_at	0.397630177	0.690299494
232836_at_232836_at	232836_at	232836_at	7.034975966	0.107194512
232839_at_232839_at	232839_at	232839_at	0.186741458	0.890725345
232840_at_232840_at	232840_at	232840_at	-4.606215424	0.33065065
232841_at_232841_at	232841_at	232841_at	-2.005367353	0.398352291
232850_at_232850_at	232850_at	232850_at	-0.098601939	0.882742599
232852_at_232852_at	232852_at	232852_at	0.793129083	0.71528281
232853_at_232853_at	232853_at	232853_at	1.580981115	0.474566422
232855_at_232855_at	232855_at	232855_at	0.863537956	0.14655495
232858_at_232858_at	232858_at	232858_at	0.014258837	0.995745967
232863_at_232863_at	232863_at	232863_at	-2.468797038	0.320137221
232866_at_232866_at	232866_at	232866_at	1.399417705	0.639657142
232867_at_232867_at	232867_at	232867_at	-0.354113805	0.799907773
232871_at_232871_at	232871_at	232871_at	-1.029378003	0.762790836
232872_at_232872_at	232872_at	232872_at	-0.784514895	0.616682129
232875_at_232875_at	232875_at	232875_at	0.236018698	0.925723817
232876_at_232876_at	232876_at	232876_at	-1.12013227	0.376785607
232877_at_232877_at	232877_at	232877_at	-0.267686044	0.89753512
232880_at_232880_at	232880_at	232880_at	-0.609859144	0.837412417
232882_at_232882_at	232882_at	232882_at	-0.602806945	0.236075411
232883_at_232883_at	232883_at	232883_at	-0.773868207	0.304653019
232886_at_232886_at	232886_at	232886_at	2.693946359	0.250607948
232889_at_232889_at	232889_at	232889_at	0.077000872	0.91891679
232890_at_232890_at	232890_at	232890_at	-0.090599114	0.898055195
232899_at_232899_at	232899_at	232899_at	-0.987234976	0.424039364
232903_at_232903_at	232903_at	232903_at	0.841845664	0.609531989
232906_at_232906_at	232906_at	232906_at	0.358352481	0.82556963
232916_at_232916_at	232916_at	232916_at	0.886020128	0.307714433
232917_at_232917_at	232917_at	232917_at	-4.683555817	0.255274694
232919_at_232919_at	232919_at	232919_at	-0.783823282	0.474426037
232923_at_232923_at	232923_at	232923_at	0.431398761	0.68081302
232925_at_232925_at	232925_at	232925_at	-0.505255514	0.141468615
232927_at_232927_at	232927_at	232927_at	-0.345177204	0.737131691
232928_at_232928_at	232928_at	232928_at	0.754320467	0.48430102
232929_at_232929_at	232929_at	232929_at	1.67003483	0.339238043
232932_at_232932_at	232932_at	232932_at	0.727288561	0.210916504
232934_at_232934_at	232934_at	232934_at	0.022372194	0.986607857
232935_at_232935_at	232935_at	232935_at	0.099957949	0.865216876
232937_at_232937_at	232937_at	232937_at	-0.400937209	0.853199719
232939_at_232939_at	232939_at	232939_at	0.733599839	0.55883623
232943_at_232943_at	232943_at	232943_at	2.235831492	0.39374673
232944_at_232944_at	232944_at	232944_at	1.642598742	0.070688478
232947_at_232947_at	232947_at	232947_at	-1.41120341	0.327010447
232948_at_232948_at	232948_at	232948_at	0.957405759	0.192055679
232949_at_232949_at	232949_at	232949_at	2.216919619	0.215836547
232951_at_232951_at	232951_at	232951_at	-2.139554302	0.260052364
232952_at_232952_at	232952_at	232952_at	1.334018322	0.040618216
232953_at_232953_at	232953_at	232953_at	-0.292703692	0.857696736
232954_at_232954_at	232954_at	232954_at	-3.200533433	0.189099597
232956_at_232956_at	232956_at	232956_at	-2.983751213	0.542516033
232957_x_at_232957_x_at	232957_x_at	232957_x_at	-1.004408034	0.595887028
232958_at_232958_at	232958_at	232958_at	-0.456621324	0.369556059
232959_at_232959_at	232959_at	232959_at	1.912859827	0.040507919
232962_x_at_232962_x_at	232962_x_at	232962_x_at	-1.801876147	0.386378856
232963_at_232963_at	232963_at	232963_at	0.004416372	0.996451582
232970_at_232970_at	232970_at	232970_at	-3.574688023	0.191370483
232974_at_232974_at	232974_at	232974_at	0.010672307	0.986988188
232976_at_232976_at	232976_at	232976_at	-1.085056714	0.709436432
232978_at_232978_at	232978_at	232978_at	0.070943674	0.907750489
232979_at_232979_at	232979_at	232979_at	-1.254291786	0.038500874
232982_at_232982_at	232982_at	232982_at	2.272075545	0.558601443
232991_at_232991_at	232991_at	232991_at	-0.01401609	0.985476148
232995_at_232995_at	232995_at	232995_at	-1.676192099	0.238554213
232997_at_232997_at	232997_at	232997_at	0.422151067	0.293271353
232999_at_232999_at	232999_at	232999_at	-1.075804081	0.636175459
233003_at_233003_at	233003_at	233003_at	1.055057242	0.339524874
233004_x_at_233004_x_at	233004_x_at	233004_x_at	0.483350038	0.430175847
233007_at_233007_at	233007_at	233007_at	0.265928139	0.739789412
233008_at_233008_at	233008_at	233008_at	-0.611684646	0.806554014
233009_at_233009_at	233009_at	233009_at	0.588685403	0.665332556
233010_at_233010_at	233010_at	233010_at	1.333882771	0.634194956
233012_at_233012_at	233012_at	233012_at	-4.085602861	0.428780758
233014_at_233014_at	233014_at	233014_at	-0.350321001	0.661408592
233016_at_233016_at	233016_at	233016_at	-4.759898282	0.327058179
233017_x_at_233017_x_at	233017_x_at	233017_x_at	-0.981815717	0.585528329
233020_at_233020_at	233020_at	233020_at	0.535431064	0.475991253
233023_at_233023_at	233023_at	233023_at	-2.328842421	0.633508585
233024_at_233024_at	233024_at	233024_at	2.088063088	0.218606741
233027_at_233027_at	233027_at	233027_at	0.354893726	0.784736641
233032_x_at_233032_x_at	233032_x_at	233032_x_at	-0.195652369	0.970288119
233034_at_233034_at	233034_at	233034_at	-0.680768573	0.379589414
233035_at_233035_at	233035_at	233035_at	-3.158937417	0.001908247
233036_at_233036_at	233036_at	233036_at	0.051698249	0.923299401
233037_at_233037_at	233037_at	233037_at	-0.084978882	0.910347436
233038_at_233038_at	233038_at	233038_at	0.660614655	0.380045313
233039_at_233039_at	233039_at	233039_at	-0.074114726	0.907108414
233041_x_at_233041_x_at	233041_x_at	233041_x_at	-0.660359673	0.676450182
233042_at_233042_at	233042_at	233042_at	2.87712231	0.120998141
233044_at_233044_at	233044_at	233044_at	-0.634993577	0.092736795
233045_at_233045_at	233045_at	233045_at	-1.569081326	0.416306271
233046_at_233046_at	233046_at	233046_at	-4.194515349	0.282689846
233053_at_233053_at	233053_at	233053_at	2.042484404	0.09354653
233055_at_233055_at	233055_at	233055_at	-1.714389686	0.002864023
233062_at_233062_at	233062_at	233062_at	-0.909243997	0.703012235
233063_s_at_233063_s_at	233063_s_at	233063_s_at	-0.567033298	0.437581732
233065_at_233065_at	233065_at	233065_at	-0.304519949	0.851477113
233066_at_233066_at	233066_at	233066_at	1.808485992	0.503029487
233067_at_233067_at	233067_at	233067_at	-0.756668567	0.846518953
233068_at_233068_at	233068_at	233068_at	-0.746743694	0.436328991
233073_at_233073_at	233073_at	233073_at	-0.193724791	0.681409744
233074_at_233074_at	233074_at	233074_at	2.516821391	0.452450011
233079_at_233079_at	233079_at	233079_at	-1.702517497	0.471736106
233081_at_233081_at	233081_at	233081_at	1.216005389	0.583506598
233086_at_233086_at	233086_at	233086_at	2.733257802	0.258242325
