	X54675	X54675.1	doxorubicin.coeff	doxorubicin.pvalue
1/2-SBSRNA4_1569713_at	1/2-SBSRNA4	1569713_at	-0.790230584	0.302949586
1552411_at_1552411_at	1552411_at	1552411_at	0.946712035	0.315517705
1552412_a_at_1552412_a_at	1552412_a_at	1552412_a_at	0.947254864	0.687565726
1552511_a_at_1552511_a_at	1552511_a_at	1552511_a_at	-2.1402938	0.085490014
1552563_a_at_1552563_a_at	1552563_a_at	1552563_a_at	0.443497152	0.679574956
1552607_at_1552607_at	1552607_at	1552607_at	1.444916877	0.165136378
1552609_s_at_1552609_s_at	1552609_s_at	1552609_s_at	1.551964108	0.443511366
1552622_s_at_1552622_s_at	1552622_s_at	1552622_s_at	-0.10882082	0.800553388
1552641_s_at_1552641_s_at	1552641_s_at	1552641_s_at	-0.453921049	0.357537839
1552703_s_at_1552703_s_at	1552703_s_at	1552703_s_at	-0.522341344	0.023119127
1552717_s_at_1552717_s_at	1552717_s_at	1552717_s_at	-0.715644266	0.267012073
1552735_at_1552735_at	1552735_at	1552735_at	0.211132157	0.387393367
1552806_a_at_1552806_a_at	1552806_a_at	1552806_a_at	4.097640896	0.066795457
1552829_at_1552829_at	1552829_at	1552829_at	0.184121987	0.751890098
1552867_at_1552867_at	1552867_at	1552867_at	0.439765123	0.246296512
1552961_at_1552961_at	1552961_at	1552961_at	0.302205041	0.836982323
1552972_at_1552972_at	1552972_at	1552972_at	-0.224686249	0.749645796
1552974_at_1552974_at	1552974_at	1552974_at	2.476135802	0.200894012
1552975_x_at_1552975_x_at	1552975_x_at	1552975_x_at	0.084512733	0.975620198
1553002_at_1553002_at	1553002_at	1553002_at	0.633379385	0.718132707
1553083_at_1553083_at	1553083_at	1553083_at	0.814813892	0.390876299
1553269_at_1553269_at	1553269_at	1553269_at	1.070790505	0.000305519
1553275_s_at_1553275_s_at	1553275_s_at	1553275_s_at	-0.702559508	0.017041689
1553340_s_at_1553340_s_at	1553340_s_at	1553340_s_at	-0.406689394	0.795446561
1553355_at_1553355_at	1553355_at	1553355_at	-1.218144545	0.44941804
1553356_at_1553356_at	1553356_at	1553356_at	5.23794995	0.046220273
1553366_s_at_1553366_s_at	1553366_s_at	1553366_s_at	1.406094408	0.324146414
1553372_at_1553372_at	1553372_at	1553372_at	0.709301344	0.678308102
1553398_at_1553398_at	1553398_at	1553398_at	-0.513107355	0.806955484
1553432_s_at_1553432_s_at	1553432_s_at	1553432_s_at	0.595490022	0.839259471
1553439_at_1553439_at	1553439_at	1553439_at	-0.623055299	0.717996082
1553456_at_1553456_at	1553456_at	1553456_at	2.749741722	0.228221933
1553462_at_1553462_at	1553462_at	1553462_at	-4.163858674	0.086190863
1553468_at_1553468_at	1553468_at	1553468_at	1.150655594	0.646508449
1553498_at_1553498_at	1553498_at	1553498_at	-0.744922796	0.685734706
1553518_at_1553518_at	1553518_at	1553518_at	-0.739318586	0.755523799
1553521_at_1553521_at	1553521_at	1553521_at	4.200455161	0.11012762
1553547_at_1553547_at	1553547_at	1553547_at	0.12783855	0.886548551
1553579_a_at_1553579_a_at	1553579_a_at	1553579_a_at	-0.326333478	0.888044606
1553582_a_at_1553582_a_at	1553582_a_at	1553582_a_at	-3.243399769	0.141435723
1553588_at_1553588_at	1553588_at	1553588_at	0.796528218	0.785042089
1553590_at_1553590_at	1553590_at	1553590_at	-1.60654699	0.009589858
1553614_a_at_1553614_a_at	1553614_a_at	1553614_a_at	0.201079405	0.879160975
1553618_at_1553618_at	1553618_at	1553618_at	-0.242984689	0.614182054
1553619_a_at_1553619_a_at	1553619_a_at	1553619_a_at	-0.156339285	0.72621852
1553817_at_1553817_at	1553817_at	1553817_at	-1.894129319	0.30711828
1553818_x_at_1553818_x_at	1553818_x_at	1553818_x_at	-0.618798006	0.722971653
1553830_s_at_1553830_s_at	1553830_s_at	1553830_s_at	-0.034435102	0.789366157
1553882_at_1553882_at	1553882_at	1553882_at	0.246500604	0.639267819
1553900_s_at_1553900_s_at	1553900_s_at	1553900_s_at	-1.775820689	0.406360191
1553967_at_1553967_at	1553967_at	1553967_at	-1.281189064	0.262055439
1553968_a_at_1553968_a_at	1553968_a_at	1553968_a_at	-0.478477589	0.586431143
1553979_at_1553979_at	1553979_at	1553979_at	0.546058916	0.487439837
1553998_at_1553998_at	1553998_at	1553998_at	-0.030053045	0.976730467
1554007_at_1554007_at	1554007_at	1554007_at	-0.003524938	0.988256255
1554042_s_at_1554042_s_at	1554042_s_at	1554042_s_at	0.679425174	0.723909807
1554043_a_at_1554043_a_at	1554043_a_at	1554043_a_at	-0.851527717	0.203175273
1554063_at_1554063_at	1554063_at	1554063_at	0.121764996	0.673069026
1554089_s_at_1554089_s_at	1554089_s_at	1554089_s_at	0.482686043	0.384081253
1554103_at_1554103_at	1554103_at	1554103_at	1.387791651	0.226063762
1554108_at_1554108_at	1554108_at	1554108_at	-0.722796717	0.395602887
1554182_at_1554182_at	1554182_at	1554182_at	-0.379409732	0.50555987
1554183_s_at_1554183_s_at	1554183_s_at	1554183_s_at	0.591046991	0.655035982
1554194_at_1554194_at	1554194_at	1554194_at	0.007367611	0.996877509
1554214_at_1554214_at	1554214_at	1554214_at	-0.825545043	0.782783982
1554219_at_1554219_at	1554219_at	1554219_at	0.342150874	0.849697158
1554220_a_at_1554220_a_at	1554220_a_at	1554220_a_at	-0.504052493	0.187388008
1554224_at_1554224_at	1554224_at	1554224_at	0.595462029	0.719107005
1554225_a_at_1554225_a_at	1554225_a_at	1554225_a_at	0.296339027	0.901417284
1554232_a_at_1554232_a_at	1554232_a_at	1554232_a_at	-0.814269091	0.715783649
1554266_at_1554266_at	1554266_at	1554266_at	1.816058109	0.064420034
1554281_at_1554281_at	1554281_at	1554281_at	-0.413061253	0.77937819
1554344_s_at_1554344_s_at	1554344_s_at	1554344_s_at	1.925640301	0.198779358
1554372_at_1554372_at	1554372_at	1554372_at	2.378916211	0.330295008
1554374_at_1554374_at	1554374_at	1554374_at	0.850823908	0.713993488
1554403_a_at_1554403_a_at	1554403_a_at	1554403_a_at	-1.196296913	0.138545245
1554404_a_at_1554404_a_at	1554404_a_at	1554404_a_at	0.455974017	0.720700048
1554413_s_at_1554413_s_at	1554413_s_at	1554413_s_at	-0.278636605	0.757290186
1554465_s_at_1554465_s_at	1554465_s_at	1554465_s_at	-0.30638949	0.542422637
1554468_s_at_1554468_s_at	1554468_s_at	1554468_s_at	0.452355566	0.709205156
1554597_at_1554597_at	1554597_at	1554597_at	-0.537458443	0.241123217
1554599_x_at_1554599_x_at	1554599_x_at	1554599_x_at	-0.421312007	0.387079711
1554615_at_1554615_at	1554615_at	1554615_at	2.497619135	0.156546176
1554636_at_1554636_at	1554636_at	1554636_at	0.499986992	0.677483818
1554649_at_1554649_at	1554649_at	1554649_at	-0.207783897	0.914902111
1554650_a_at_1554650_a_at	1554650_a_at	1554650_a_at	-1.965554355	0.247876686
1554723_x_at_1554723_x_at	1554723_x_at	1554723_x_at	1.23181368	0.605462658
1554741_s_at_1554741_s_at	1554741_s_at	1554741_s_at	-0.221187935	0.615575948
1554751_at_1554751_at	1554751_at	1554751_at	0.340999012	0.799567795
1554752_a_at_1554752_a_at	1554752_a_at	1554752_a_at	-0.098365736	0.916679756
1554766_s_at_1554766_s_at	1554766_s_at	1554766_s_at	1.296780963	0.51302175
1554771_at_1554771_at	1554771_at	1554771_at	-0.535514769	0.352919143
1554781_at_1554781_at	1554781_at	1554781_at	-0.146460316	0.912429329
1554813_at_1554813_at	1554813_at	1554813_at	0.910407459	0.65995387
1554825_at_1554825_at	1554825_at	1554825_at	0.587052246	0.545583175
1554837_a_at_1554837_a_at	1554837_a_at	1554837_a_at	-2.613321233	0.08253642
1554839_at_1554839_at	1554839_at	1554839_at	1.576307898	0.320159995
1554865_at_1554865_at	1554865_at	1554865_at	2.231690326	0.298509593
1554871_at_1554871_at	1554871_at	1554871_at	0.425821236	0.886713022
1554887_at_1554887_at	1554887_at	1554887_at	-0.432944103	0.296666689
1554891_at_1554891_at	1554891_at	1554891_at	1.030854626	0.661011627
1554907_a_at_1554907_a_at	1554907_a_at	1554907_a_at	-0.736471881	0.737170337
1554946_at_1554946_at	1554946_at	1554946_at	-0.795610548	0.405688481
1554948_at_1554948_at	1554948_at	1554948_at	0.02922926	0.945050109
1554951_at_1554951_at	1554951_at	1554951_at	0.078738073	0.979523869
1554957_at_1554957_at	1554957_at	1554957_at	1.942118125	0.270932531
1554963_at_1554963_at	1554963_at	1554963_at	-2.614393803	0.052293651
1554964_x_at_1554964_x_at	1554964_x_at	1554964_x_at	-1.702920929	0.250751129
1554972_at_1554972_at	1554972_at	1554972_at	1.04868826	0.123593068
1554996_at_1554996_at	1554996_at	1554996_at	2.226417969	0.350499691
1555014_x_at_1555014_x_at	1555014_x_at	1555014_x_at	0.231488688	0.807010604
1555031_at_1555031_at	1555031_at	1555031_at	-0.287336936	0.884287033
1555059_at_1555059_at	1555059_at	1555059_at	-3.009603118	0.148810271
1555084_at_1555084_at	1555084_at	1555084_at	-0.319033867	0.848669064
1555085_at_1555085_at	1555085_at	1555085_at	1.741790079	0.432163283
1555117_at_1555117_at	1555117_at	1555117_at	-0.045139738	0.974171242
1555129_at_1555129_at	1555129_at	1555129_at	-0.247308258	0.910646708
1555132_at_1555132_at	1555132_at	1555132_at	-0.641719054	0.673793088
1555135_at_1555135_at	1555135_at	1555135_at	-0.859813538	0.716593219
1555157_at_1555157_at	1555157_at	1555157_at	1.701029992	0.284827458
1555158_at_1555158_at	1555158_at	1555158_at	-1.284042053	0.56819551
1555162_at_1555162_at	1555162_at	1555162_at	1.827700704	0.127384735
1555163_at_1555163_at	1555163_at	1555163_at	0.613982351	0.61464056
1555174_at_1555174_at	1555174_at	1555174_at	0.831973362	0.610747934
1555176_at_1555176_at	1555176_at	1555176_at	3.598369098	0.134884468
1555187_at_1555187_at	1555187_at	1555187_at	2.034677199	0.072150358
1555194_at_1555194_at	1555194_at	1555194_at	0.465472696	0.43167906
1555204_at_1555204_at	1555204_at	1555204_at	4.090840996	0.16430984
1555205_at_1555205_at	1555205_at	1555205_at	0.049109157	0.975204408
1555221_at_1555221_at	1555221_at	1555221_at	-1.061617027	0.672012177
1555222_a_at_1555222_a_at	1555222_a_at	1555222_a_at	-1.817168759	0.263299773
1555237_at_1555237_at	1555237_at	1555237_at	2.93531276	0.084166987
1555247_a_at_1555247_a_at	1555247_a_at	1555247_a_at	0.375307291	0.492888903
1555261_at_1555261_at	1555261_at	1555261_at	0.091564996	0.917434575
1555263_at_1555263_at	1555263_at	1555263_at	-2.067809732	0.372766143
1555303_at_1555303_at	1555303_at	1555303_at	0.658654403	0.034461299
1555311_at_1555311_at	1555311_at	1555311_at	0.581173557	0.424195592
1555325_s_at_1555325_s_at	1555325_s_at	1555325_s_at	0.568949432	0.237643635
1555344_at_1555344_at	1555344_at	1555344_at	0.498898538	0.818307769
1555373_at_1555373_at	1555373_at	1555373_at	0.213737672	0.8641591
1555392_at_1555392_at	1555392_at	1555392_at	-1.01950538	0.00811242
1555408_at_1555408_at	1555408_at	1555408_at	0.647640605	0.110107817
1555409_a_at_1555409_a_at	1555409_a_at	1555409_a_at	0.694363418	0.083210544
1555410_at_1555410_at	1555410_at	1555410_at	0.69736768	0.41843263
1555415_at_1555415_at	1555415_at	1555415_at	2.031158412	0.392067747
1555429_at_1555429_at	1555429_at	1555429_at	0.749532207	0.69158051
1555456_at_1555456_at	1555456_at	1555456_at	-0.218781114	0.913174688
1555461_at_1555461_at	1555461_at	1555461_at	-0.053281988	0.874497867
1555488_at_1555488_at	1555488_at	1555488_at	-0.861344777	0.632380261
1555489_at_1555489_at	1555489_at	1555489_at	-0.011435487	0.995170542
1555498_at_1555498_at	1555498_at	1555498_at	-1.448309549	0.343222494
1555519_at_1555519_at	1555519_at	1555519_at	-0.414999116	0.532633351
1555522_s_at_1555522_s_at	1555522_s_at	1555522_s_at	-1.06230053	0.130794072
1555547_at_1555547_at	1555547_at	1555547_at	0.174712294	0.811158717
1555580_at_1555580_at	1555580_at	1555580_at	-1.933339102	0.446639781
1555601_at_1555601_at	1555601_at	1555601_at	-1.306287497	0.634010145
1555616_at_1555616_at	1555616_at	1555616_at	-0.200245445	0.823718748
1555617_x_at_1555617_x_at	1555617_x_at	1555617_x_at	0.965717581	0.373983561
1555623_at_1555623_at	1555623_at	1555623_at	2.740285312	0.360268407
1555631_at_1555631_at	1555631_at	1555631_at	-1.550413044	0.389396183
1555646_at_1555646_at	1555646_at	1555646_at	-1.237789855	0.630792972
1555653_at_1555653_at	1555653_at	1555653_at	0.458148418	0.643898296
1555664_at_1555664_at	1555664_at	1555664_at	-0.135554541	0.924845391
1555665_at_1555665_at	1555665_at	1555665_at	-0.297678411	0.904514854
1555681_at_1555681_at	1555681_at	1555681_at	-0.901494225	0.555260749
1555691_a_at_1555691_a_at	1555691_a_at	1555691_a_at	-1.472064591	0.368573425
1555692_at_1555692_at	1555692_at	1555692_at	-0.416230726	0.862024031
1555717_at_1555717_at	1555717_at	1555717_at	-1.079051927	0.754438972
1555718_x_at_1555718_x_at	1555718_x_at	1555718_x_at	-4.006231503	0.12121918
1555723_at_1555723_at	1555723_at	1555723_at	0.381583868	0.582761279
1555727_at_1555727_at	1555727_at	1555727_at	2.488663367	0.302823382
1555755_at_1555755_at	1555755_at	1555755_at	-0.544439164	0.833363558
1555762_s_at_1555762_s_at	1555762_s_at	1555762_s_at	-1.781778833	0.038886251
1555790_a_at_1555790_a_at	1555790_a_at	1555790_a_at	0.240054696	0.554521685
1555794_at_1555794_at	1555794_at	1555794_at	-2.116636181	0.182327763
1555816_at_1555816_at	1555816_at	1555816_at	1.333396883	0.316876767
1555817_s_at_1555817_s_at	1555817_s_at	1555817_s_at	0.617304095	0.245351502
1555822_at_1555822_at	1555822_at	1555822_at	-2.091000312	0.198503189
1555826_at_1555826_at	1555826_at	1555826_at	0.477922748	0.275829765
1555845_at_1555845_at	1555845_at	1555845_at	-0.176448334	0.723844441
1555846_a_at_1555846_a_at	1555846_a_at	1555846_a_at	-0.121007779	0.820438641
1555848_at_1555848_at	1555848_at	1555848_at	0.008033341	0.985127788
1555854_at_1555854_at	1555854_at	1555854_at	-0.317097586	0.090278119
1555855_at_1555855_at	1555855_at	1555855_at	0.933250903	0.627032934
1555856_s_at_1555856_s_at	1555856_s_at	1555856_s_at	-1.33126576	0.188779157
1555868_at_1555868_at	1555868_at	1555868_at	-0.53664933	0.353492761
1555869_a_at_1555869_a_at	1555869_a_at	1555869_a_at	-1.067668948	0.544297827
1555872_a_at_1555872_a_at	1555872_a_at	1555872_a_at	-0.077329066	0.815624826
1555890_at_1555890_at	1555890_at	1555890_at	-0.106154029	0.767837324
1555893_at_1555893_at	1555893_at	1555893_at	0.805703875	0.055062727
1555900_at_1555900_at	1555900_at	1555900_at	0.167526432	0.71109822
1555904_at_1555904_at	1555904_at	1555904_at	-2.081795369	0.121834329
1555925_at_1555925_at	1555925_at	1555925_at	-1.343098806	0.072140516
1555926_a_at_1555926_a_at	1555926_a_at	1555926_a_at	-2.166781565	0.010813683
1555928_at_1555928_at	1555928_at	1555928_at	-1.080480003	0.060095607
1555929_s_at_1555929_s_at	1555929_s_at	1555929_s_at	-0.514684874	0.043274331
1555931_at_1555931_at	1555931_at	1555931_at	1.012344038	0.132009395
1555932_at_1555932_at	1555932_at	1555932_at	0.233847108	0.836924373
1555939_at_1555939_at	1555939_at	1555939_at	-1.073469503	0.70649627
1555940_a_at_1555940_a_at	1555940_a_at	1555940_a_at	0.812542406	0.745066463
1555967_at_1555967_at	1555967_at	1555967_at	0.108821528	0.629541617
1555968_a_at_1555968_a_at	1555968_a_at	1555968_a_at	0.140892454	0.624574408
1555973_at_1555973_at	1555973_at	1555973_at	0.372673574	0.504396782
1555974_a_at_1555974_a_at	1555974_a_at	1555974_a_at	0.414684749	0.310516945
1555977_at_1555977_at	1555977_at	1555977_at	-0.278586714	0.555648802
1555978_s_at_1555978_s_at	1555978_s_at	1555978_s_at	-0.236132918	0.545229076
1555989_at_1555989_at	1555989_at	1555989_at	0.404391276	0.027955574
1555994_at_1555994_at	1555994_at	1555994_at	-0.79138339	0.786465442
1555995_a_at_1555995_a_at	1555995_a_at	1555995_a_at	-1.852738936	0.217965335
1556008_a_at_1556008_a_at	1556008_a_at	1556008_a_at	-1.223503482	0.058866628
1556033_at_1556033_at	1556033_at	1556033_at	0.110530729	0.745709883
1556054_at_1556054_at	1556054_at	1556054_at	0.020111081	0.95427857
1556055_at_1556055_at	1556055_at	1556055_at	-0.523584263	0.133818756
1556065_at_1556065_at	1556065_at	1556065_at	0.287064288	0.868135037
1556078_at_1556078_at	1556078_at	1556078_at	-0.514604332	0.749021035
1556081_at_1556081_at	1556081_at	1556081_at	-0.226513215	0.759434411
1556082_a_at_1556082_a_at	1556082_a_at	1556082_a_at	0.137161529	0.85876372
1556090_at_1556090_at	1556090_at	1556090_at	1.306985198	0.04733442
1556097_at_1556097_at	1556097_at	1556097_at	0.310870696	0.412358253
1556103_at_1556103_at	1556103_at	1556103_at	0.321893106	0.403127045
1556105_at_1556105_at	1556105_at	1556105_at	0.618205463	0.271364779
1556107_at_1556107_at	1556107_at	1556107_at	-0.177738608	0.897217099
1556110_at_1556110_at	1556110_at	1556110_at	0.53660343	0.388953016
1556111_s_at_1556111_s_at	1556111_s_at	1556111_s_at	-0.031197027	0.955850625
1556122_at_1556122_at	1556122_at	1556122_at	-0.07401826	0.914442612
1556123_a_at_1556123_a_at	1556123_a_at	1556123_a_at	-0.210136261	0.658636615
1556138_a_at_1556138_a_at	1556138_a_at	1556138_a_at	-0.291925893	0.451789921
1556147_at_1556147_at	1556147_at	1556147_at	2.059903003	0.024393986
1556148_s_at_1556148_s_at	1556148_s_at	1556148_s_at	1.424431562	0.122430751
1556153_s_at_1556153_s_at	1556153_s_at	1556153_s_at	0.624498483	0.81127381
1556155_at_1556155_at	1556155_at	1556155_at	1.557230133	0.343435025
1556159_at_1556159_at	1556159_at	1556159_at	0.138192996	0.876219322
1556160_a_at_1556160_a_at	1556160_a_at	1556160_a_at	-0.029905249	0.963946002
1556161_a_at_1556161_a_at	1556161_a_at	1556161_a_at	1.442408198	0.649990372
1556165_at_1556165_at	1556165_at	1556165_at	-0.956148879	0.347217776
1556166_x_at_1556166_x_at	1556166_x_at	1556166_x_at	-1.359125648	0.198544421
1556170_at_1556170_at	1556170_at	1556170_at	1.700585583	0.381722475
1556171_a_at_1556171_a_at	1556171_a_at	1556171_a_at	-2.027702972	0.331511314
1556172_at_1556172_at	1556172_at	1556172_at	-0.776814857	0.122254056
1556173_a_at_1556173_a_at	1556173_a_at	1556173_a_at	-0.302406219	0.442595294
1556190_s_at_1556190_s_at	1556190_s_at	1556190_s_at	0.488039534	0.05214614
1556192_x_at_1556192_x_at	1556192_x_at	1556192_x_at	1.112892272	0.471735552
1556194_a_at_1556194_a_at	1556194_a_at	1556194_a_at	-0.093233284	0.765990145
1556195_a_at_1556195_a_at	1556195_a_at	1556195_a_at	0.52534637	0.158229641
1556205_at_1556205_at	1556205_at	1556205_at	0.8912021	0.557912054
1556210_at_1556210_at	1556210_at	1556210_at	-0.485775981	0.340086866
1556211_a_at_1556211_a_at	1556211_a_at	1556211_a_at	-0.281425868	0.381161278
1556212_x_at_1556212_x_at	1556212_x_at	1556212_x_at	-0.372475846	0.427188675
1556216_s_at_1556216_s_at	1556216_s_at	1556216_s_at	-0.852322874	0.090484487
1556220_at_1556220_at	1556220_at	1556220_at	0.640659327	0.119701825
1556221_a_at_1556221_a_at	1556221_a_at	1556221_a_at	0.545619586	0.044336101
1556224_a_at_1556224_a_at	1556224_a_at	1556224_a_at	-0.140310547	0.895963028
1556226_at_1556226_at	1556226_at	1556226_at	0.673390739	0.414857673
1556229_at_1556229_at	1556229_at	1556229_at	1.324062895	0.069339403
1556231_a_at_1556231_a_at	1556231_a_at	1556231_a_at	-1.760253032	0.451265813
1556235_at_1556235_at	1556235_at	1556235_at	-0.66535926	0.699334559
1556236_at_1556236_at	1556236_at	1556236_at	-0.682636339	0.163128813
1556238_at_1556238_at	1556238_at	1556238_at	3.3723402	0.129865607
1556239_a_at_1556239_a_at	1556239_a_at	1556239_a_at	0.864397831	0.342039639
1556240_at_1556240_at	1556240_at	1556240_at	-1.460670296	0.332774631
1556247_a_at_1556247_a_at	1556247_a_at	1556247_a_at	-1.621491604	0.128442086
1556250_at_1556250_at	1556250_at	1556250_at	0.451314738	0.800621086
1556253_s_at_1556253_s_at	1556253_s_at	1556253_s_at	0.913560616	0.160610355
1556256_a_at_1556256_a_at	1556256_a_at	1556256_a_at	-0.893623575	0.64673559
1556261_a_at_1556261_a_at	1556261_a_at	1556261_a_at	1.139459296	0.179242098
1556271_at_1556271_at	1556271_at	1556271_at	-1.235429098	0.408987533
1556272_a_at_1556272_a_at	1556272_a_at	1556272_a_at	-2.983804109	0.100349858
1556274_at_1556274_at	1556274_at	1556274_at	-1.369115613	0.405941285
1556279_at_1556279_at	1556279_at	1556279_at	1.21020695	0.510413223
1556281_at_1556281_at	1556281_at	1556281_at	1.820710573	0.406190244
1556287_a_at_1556287_a_at	1556287_a_at	1556287_a_at	-0.86144454	0.743909427
1556289_at_1556289_at	1556289_at	1556289_at	-1.037955389	0.651927459
1556294_at_1556294_at	1556294_at	1556294_at	-1.959539811	0.417519045
1556296_at_1556296_at	1556296_at	1556296_at	-1.310220285	0.603481413
1556297_a_at_1556297_a_at	1556297_a_at	1556297_a_at	-0.675948658	0.787855472
1556306_at_1556306_at	1556306_at	1556306_at	-0.207054173	0.638692016
1556314_a_at_1556314_a_at	1556314_a_at	1556314_a_at	2.153946913	0.152019767
1556318_s_at_1556318_s_at	1556318_s_at	1556318_s_at	0.102710905	0.790130739
1556321_a_at_1556321_a_at	1556321_a_at	1556321_a_at	0.237254496	0.719416107
1556322_a_at_1556322_a_at	1556322_a_at	1556322_a_at	-0.812611976	0.294940921
1556327_a_at_1556327_a_at	1556327_a_at	1556327_a_at	-2.131299969	0.062093186
1556328_at_1556328_at	1556328_at	1556328_at	-1.94893257	0.032976955
1556329_a_at_1556329_a_at	1556329_a_at	1556329_a_at	-0.584044626	0.14026564
1556331_a_at_1556331_a_at	1556331_a_at	1556331_a_at	-0.610509055	0.097659913
1556332_at_1556332_at	1556332_at	1556332_at	0.347152947	0.775856953
1556333_at_1556333_at	1556333_at	1556333_at	1.182817389	0.601144353
1556334_s_at_1556334_s_at	1556334_s_at	1556334_s_at	0.19852508	0.942296489
1556338_at_1556338_at	1556338_at	1556338_at	0.147337942	0.750901133
1556339_a_at_1556339_a_at	1556339_a_at	1556339_a_at	0.059865012	0.924283577
1556345_s_at_1556345_s_at	1556345_s_at	1556345_s_at	0.540145895	0.210423111
1556346_at_1556346_at	1556346_at	1556346_at	-0.06907125	0.850881552
1556347_at_1556347_at	1556347_at	1556347_at	0.209158299	0.516892184
1556352_at_1556352_at	1556352_at	1556352_at	0.251598634	0.593385667
1556362_at_1556362_at	1556362_at	1556362_at	0.214343691	0.904325994
1556373_a_at_1556373_a_at	1556373_a_at	1556373_a_at	-0.2513644	0.570270766
1556374_s_at_1556374_s_at	1556374_s_at	1556374_s_at	2.045049059	0.208859816
1556375_at_1556375_at	1556375_at	1556375_at	0.155173013	0.847742619
1556383_at_1556383_at	1556383_at	1556383_at	0.436239713	0.429653321
1556385_at_1556385_at	1556385_at	1556385_at	0.016311129	0.955538785
1556392_a_at_1556392_a_at	1556392_a_at	1556392_a_at	-1.674892414	0.383259855
1556393_at_1556393_at	1556393_at	1556393_at	0.980958196	0.36694517
1556394_a_at_1556394_a_at	1556394_a_at	1556394_a_at	-0.024683963	0.986000677
1556395_at_1556395_at	1556395_at	1556395_at	2.083615567	0.310150837
1556397_at_1556397_at	1556397_at	1556397_at	-0.795862202	0.636299692
1556398_a_at_1556398_a_at	1556398_a_at	1556398_a_at	0.842631138	0.658938656
1556400_at_1556400_at	1556400_at	1556400_at	2.957391935	0.26769857
1556401_a_at_1556401_a_at	1556401_a_at	1556401_a_at	0.781110285	0.739886339
1556409_a_at_1556409_a_at	1556409_a_at	1556409_a_at	0.550926293	0.209579577
1556412_at_1556412_at	1556412_at	1556412_at	0.322370487	0.509667129
1556413_a_at_1556413_a_at	1556413_a_at	1556413_a_at	-0.076188635	0.975248455
1556416_s_at_1556416_s_at	1556416_s_at	1556416_s_at	-0.23039766	0.543509625
1556417_a_at_1556417_a_at	1556417_a_at	1556417_a_at	0.14042038	0.740615114
1556422_at_1556422_at	1556422_at	1556422_at	-0.606170896	0.584016137
1556432_at_1556432_at	1556432_at	1556432_at	-0.148403908	0.733518641
1556434_at_1556434_at	1556434_at	1556434_at	1.244321926	0.058444867
1556439_at_1556439_at	1556439_at	1556439_at	1.918596578	0.056213214
1556442_x_at_1556442_x_at	1556442_x_at	1556442_x_at	-0.19087383	0.855618572
1556445_at_1556445_at	1556445_at	1556445_at	-0.97516638	0.526606693
1556449_at_1556449_at	1556449_at	1556449_at	1.490724899	0.32637643
1556451_at_1556451_at	1556451_at	1556451_at	0.388334709	0.798231911
1556461_at_1556461_at	1556461_at	1556461_at	-1.285590343	0.16630101
1556462_a_at_1556462_a_at	1556462_a_at	1556462_a_at	-0.686126289	0.270302068
1556465_at_1556465_at	1556465_at	1556465_at	-0.751773898	0.669706122
1556468_at_1556468_at	1556468_at	1556468_at	-1.422925507	0.458061773
1556469_s_at_1556469_s_at	1556469_s_at	1556469_s_at	2.312563374	0.234048919
1556479_at_1556479_at	1556479_at	1556479_at	0.263467137	0.844981864
1556480_a_at_1556480_a_at	1556480_a_at	1556480_a_at	-0.065762452	0.964193407
1556486_at_1556486_at	1556486_at	1556486_at	0.276920916	0.675525362
1556491_at_1556491_at	1556491_at	1556491_at	-0.290601398	0.850201754
1556492_a_at_1556492_a_at	1556492_a_at	1556492_a_at	-1.50841674	0.520879751
1556494_at_1556494_at	1556494_at	1556494_at	0.256011776	0.88581924
1556496_a_at_1556496_a_at	1556496_a_at	1556496_a_at	0.360692922	0.620949253
1556497_a_at_1556497_a_at	1556497_a_at	1556497_a_at	-1.452991359	0.336894815
1556500_a_at_1556500_a_at	1556500_a_at	1556500_a_at	0.767054494	0.801203271
1556504_at_1556504_at	1556504_at	1556504_at	-2.011236007	0.535022364
1556507_at_1556507_at	1556507_at	1556507_at	-0.393956286	0.725177501
1556508_s_at_1556508_s_at	1556508_s_at	1556508_s_at	-1.76871932	0.397992696
1556510_at_1556510_at	1556510_at	1556510_at	0.509680023	0.578055843
1556511_a_at_1556511_a_at	1556511_a_at	1556511_a_at	-1.699778171	0.446556488
1556520_at_1556520_at	1556520_at	1556520_at	1.128900578	0.536774976
1556521_a_at_1556521_a_at	1556521_a_at	1556521_a_at	2.509081067	0.253062092
1556527_a_at_1556527_a_at	1556527_a_at	1556527_a_at	0.105643519	0.846095821
1556531_at_1556531_at	1556531_at	1556531_at	-1.575694466	0.463959028
1556540_a_at_1556540_a_at	1556540_a_at	1556540_a_at	-0.665431755	0.618696108
1556541_s_at_1556541_s_at	1556541_s_at	1556541_s_at	-3.187558682	0.028159666
1556542_a_at_1556542_a_at	1556542_a_at	1556542_a_at	0.074794868	0.899552233
1556543_at_1556543_at	1556543_at	1556543_at	-0.432201629	0.279571502
1556545_at_1556545_at	1556545_at	1556545_at	0.224822704	0.531300694
1556553_at_1556553_at	1556553_at	1556553_at	0.675114272	0.532399514
1556568_a_at_1556568_a_at	1556568_a_at	1556568_a_at	0.378221027	0.388409184
1556579_s_at_1556579_s_at	1556579_s_at	1556579_s_at	0.421741887	0.346102088
1556580_a_at_1556580_a_at	1556580_a_at	1556580_a_at	1.773340286	0.49532217
