	X54675	X54675.1	doxorubicin.coeff	doxorubicin.pvalue
ARL5B_242727_at	ARL5B	242727_at	0.279447542	0.589672658
ARL5C_1560136_at	ARL5C	1560136_at	0.225731522	0.878485661
ARL6_235320_at	ARL6	235320_at	-0.602155146	0.235650235
ARL6IP1_211935_at	ARL6IP1	211935_at	0.177234705	0.837112118
ARL6IP4_220597_s_at	ARL6IP4	220597_s_at	-0.664090756	0.26371272
ARL6IP5_200760_s_at	ARL6IP5	200760_s_at	0.339284272	0.503955221
ARL6IP6_225709_at	ARL6IP6	225709_at	0.675353292	0.610966391
ARL8A_225347_at	ARL8A	225347_at	-0.765377152	0.292857567
ARL8B_217852_s_at	ARL8B	217852_s_at	1.028334925	0.090925845
ARL9_229062_at	ARL9	229062_at	-0.686864814	0.134401726
ARMC1_218185_s_at	ARMC1	218185_s_at	0.310201031	0.597250431
ARMC10_1554480_a_at	ARMC10	1554480_a_at	-0.682241289	0.161471615
ARMC12_231263_at	ARMC12	231263_at	-0.583642479	0.681301684
ARMC2_223866_at	ARMC2	223866_at	1.713574573	0.232006268
ARMC3_240275_at	ARMC3	240275_at	-0.777740439	0.705830899
ARMC4_223794_at	ARMC4	223794_at	0.420776163	0.486443744
ARMC5_227738_s_at	ARMC5	227738_s_at	-1.743354305	0.108158872
ARMC6_221758_at	ARMC6	221758_at	-0.162117098	0.844506158
ARMC7_219096_at	ARMC7	219096_at	0.521385929	0.350238112
ARMC8_203487_s_at	ARMC8	203487_s_at	0.979695572	0.07403564
ARMC9_240639_at	ARMC9	240639_at	1.844901062	0.247989169
ARMCX1_218694_at	ARMCX1	218694_at	-0.070744155	0.650658874
ARMCX2_203404_at	ARMCX2	203404_at	-0.065721082	0.653235058
ARMCX3_217858_s_at	ARMCX3	217858_s_at	0.417734681	0.025071431
ARMCX4_1552327_at	ARMCX4	1552327_at	-1.784666138	0.044331978
ARMCX5_219335_at	ARMCX5	219335_at	-0.255462756	0.463489179
ARMCX6_214749_s_at	ARMCX6	214749_s_at	0.363221059	0.026990773
ARNT_218222_x_at	ARNT	218222_x_at	-0.997718154	0.167349639
ARNT2_202986_at	ARNT2	202986_at	-0.159038693	0.519938566
ARNTL_209824_s_at	ARNTL	209824_s_at	0.558871594	0.354721501
ARNTL2_1563101_at	ARNTL2	1563101_at	2.020639057	0.297570076
ARPC1A_200950_at	ARPC1A	200950_at	-0.453710831	0.437593042
ARPC1B_201954_at	ARPC1B	201954_at	-0.031850104	0.89204207
ARPC2_213513_x_at	ARPC2	213513_x_at	-1.102413017	0.259729959
ARPC3_208736_at	ARPC3	208736_at	1.354944585	0.068998995
ARPC4_217817_at	ARPC4	217817_at	1.263072867	0.096115273
ARPC5_211963_s_at	ARPC5	211963_s_at	-1.263027642	0.105979634
ARPC5L_220966_x_at	ARPC5L	220966_x_at	1.555893986	0.007855781
ARPM1_223665_at	ARPM1	223665_at	-0.134289755	0.74913045
ARPP19_214553_s_at	ARPP19	214553_s_at	0.790846881	0.254289638
ARPP21_231935_at	ARPP21	231935_at	4.318679801	0.012508916
ARR3_207136_at	ARR3	207136_at	0.976907174	0.620044542
ARRB1_218832_x_at	ARRB1	218832_x_at	0.570037522	0.17375005
ARRB2_203388_at	ARRB2	203388_at	-0.01915573	0.971911894
ARRDC1_226405_s_at	ARRDC1	226405_s_at	0.586990205	0.011520504
ARRDC2_226055_at	ARRDC2	226055_at	0.130956695	0.82766977
ARRDC3_224797_at	ARRDC3	224797_at	-0.409820996	0.171531059
ARRDC4_225283_at	ARRDC4	225283_at	0.235132409	0.28241004
ARSA_204443_at	ARSA	204443_at	-1.097123271	0.08518154
ARSB_232197_x_at	ARSB	232197_x_at	-1.127217612	0.018251729
ARSD_207784_at	ARSD	207784_at	-1.184024225	0.372984428
ARSE_205894_at	ARSE	205894_at	-0.710076936	0.045138004
ARSF_214490_at	ARSF	214490_at	-2.670544755	0.11185257
ARSG_1552632_a_at	ARSG	1552632_a_at	0.75107246	0.03074224
ARSI_230275_at	ARSI	230275_at	0.142493003	0.692503119
ARSJ_219973_at	ARSJ	219973_at	-0.031740409	0.875700857
ARSK_239147_at	ARSK	239147_at	-0.799262164	0.017560132
ART1_1570480_s_at	ART1	1570480_s_at	1.373418489	0.443157859
ART3_210147_at	ART3	210147_at	-0.038395825	0.916509625
ART4_207220_at	ART4	207220_at	1.535120487	0.110915733
ART5_1552524_at	ART5	1552524_at	-2.028447155	0.057581194
ARTN_210237_at	ARTN	210237_at	0.164657504	0.616288924
ARV1_223223_at	ARV1	223223_at	-0.280186126	0.515897629
ARVCF_217516_x_at	ARVCF	217516_x_at	-0.391574834	0.660782272
ARX_238878_at	ARX	238878_at	0.42428147	0.132344194
AS3MT_223652_at	AS3MT	223652_at	-0.273249808	0.232416029
ASAH1_213702_x_at	ASAH1	213702_x_at	0.351734264	0.397772475
ASAH2B_229793_at	ASAH2B	229793_at	0.305373074	0.444069781
ASAP1-IT1_220694_at	ASAP1-IT1	220694_at	0.386124045	0.36458657
ASAP1_224796_at	ASAP1	224796_at	0.230691749	0.525135154
ASAP2_206414_s_at	ASAP2	206414_s_at	0.391812483	0.347398161
ASAP3_222236_s_at	ASAP3	222236_s_at	0.473714366	0.253022701
ASB1_212818_s_at	ASB1	212818_s_at	-0.813413699	0.217399136
ASB10_1564536_at	ASB10	1564536_at	3.993125774	0.06903591
ASB11_1553074_at	ASB11	1553074_at	-1.091057446	0.602218274
ASB12_236033_at	ASB12	236033_at	-0.271061045	0.873030245
ASB13_218862_at	ASB13	218862_at	0.535912519	0.256353995
ASB14_237785_at	ASB14	237785_at	1.861435218	0.434266259
ASB15_1564679_at	ASB15	1564679_at	-0.480542137	0.801467403
ASB16_1553253_at	ASB16	1553253_at	0.727128875	0.674779715
ASB17_231622_at	ASB17	231622_at	-0.875476445	0.685743224
ASB2_233857_s_at	ASB2	233857_s_at	-3.559605697	0.025391911
ASB3_232515_at	ASB3	232515_at	-0.940269268	0.193737691
ASB4_217229_at	ASB4	217229_at	-4.006249111	0.10951125
ASB5_235503_at	ASB5	235503_at	-2.592169946	0.263965044
ASB6_221657_s_at	ASB6	221657_s_at	0.16694903	0.810401489
ASB7_219996_at	ASB7	219996_at	0.970428915	0.088829728
ASB8_218841_at	ASB8	218841_at	0.46633353	0.314610523
ASB9_205673_s_at	ASB9	205673_s_at	-0.087349914	0.729313195
ASCC1_1554627_a_at	ASCC1	1554627_a_at	0.297671564	0.52007737
ASCC2_215684_s_at	ASCC2	215684_s_at	0.035349345	0.953306093
ASCC3_231269_at	ASCC3	231269_at	-0.599135369	0.317561086
ASCL1_209988_s_at	ASCL1	209988_s_at	0.177331754	0.646632534
ASCL2_229215_at	ASCL2	229215_at	0.38805712	0.042967673
ASCL3_221161_at	ASCL3	221161_at	0.922489233	0.554390642
ASF1A_213561_at	ASF1A	213561_at	0.561597718	0.352324478
ASF1B_218115_at	ASF1B	218115_at	0.207626756	0.707728672
ASGR1_206743_s_at	ASGR1	206743_s_at	0.531208365	0.622086885
