	X54675	X54675.1	docetaxel.coeff	docetaxel.pvalue
LOC100127972_217655_at	LOC100127972	217655_at	-2.204271588	0.001944567
LOC100127974_1560419_at	LOC100127974	1560419_at	-1.958060345	0.712872346
LOC100127983_228107_at	LOC100127983	228107_at	-0.573805287	0.093369832
LOC100128002_1557235_at	LOC100128002	1557235_at	-1.482114097	0.805083283
LOC100128071_1556560_a_at	LOC100128071	1556560_a_at	-1.154773843	0.626076877
LOC100128079_1569620_s_at	LOC100128079	1569620_s_at	5.784230544	0.310302905
LOC100128098_242350_s_at	LOC100128098	242350_s_at	0.303222699	0.397473517
LOC100128126_1561391_at	LOC100128126	1561391_at	6.157050886	0.053781868
LOC100128139_236768_at	LOC100128139	236768_at	-9.13771337	0.256700766
LOC100128164_237635_at	LOC100128164	237635_at	-3.904255827	0.375692144
LOC100128175_224095_at	LOC100128175	224095_at	0.405099042	0.949081051
LOC100128176_1557741_at	LOC100128176	1557741_at	-7.165805229	0.260254001
LOC100128178_232090_at	LOC100128178	232090_at	-0.738177798	0.148565444
LOC100128185_224294_at	LOC100128185	224294_at	-2.293704616	0.574968863
LOC100128191_227578_at	LOC100128191	227578_at	0.144806271	0.863690882
LOC100128198_239564_at	LOC100128198	239564_at	-4.878869642	0.321992711
LOC100128239_238872_at	LOC100128239	238872_at	-7.140731235	0.085801797
LOC100128252_244741_s_at	LOC100128252	244741_s_at	-0.657560435	0.01856483
LOC100128262_1565784_at	LOC100128262	1565784_at	12.5779359	0.051230414
LOC100128281_1565723_at	LOC100128281	1565723_at	-1.319751287	0.642050321
LOC100128288_1559045_at	LOC100128288	1559045_at	0.166506095	0.931760185
LOC100128292_1562598_at	LOC100128292	1562598_at	5.994241381	0.032684606
LOC100128334_234955_at	LOC100128334	234955_at	2.224971694	0.436846792
LOC100128343_1568929_at	LOC100128343	1568929_at	7.51114304	0.010743535
LOC100128420_1559648_at	LOC100128420	1559648_at	-10.50656068	0.098262899
LOC100128496_237793_at	LOC100128496	237793_at	-0.543602921	0.885088671
LOC100128511_239894_at	LOC100128511	239894_at	3.537592038	0.130077127
LOC100128554_1561294_a_at	LOC100128554	1561294_a_at	2.751045106	0.644271061
LOC100128590_1558920_at	LOC100128590	1558920_at	-0.221130998	0.911021767
LOC100128594_1564691_at	LOC100128594	1564691_at	2.471213764	0.571526452
LOC100128640_215590_x_at	LOC100128640	215590_x_at	6.696249577	0.02660748
LOC100128653_236053_at	LOC100128653	236053_at	-0.976962741	0.850182574
LOC100128727_240395_at	LOC100128727	240395_at	-2.80979923	0.375107572
LOC100128737_228753_at	LOC100128737	228753_at	-4.219879021	2.25679E-05
LOC100128750_240929_at	LOC100128750	240929_at	-3.707975609	0.022254744
LOC100128751_232623_at	LOC100128751	232623_at	-1.337819775	0.805694954
LOC100128788_1562930_at	LOC100128788	1562930_at	2.614711762	0.379993652
LOC100128822_235174_s_at	LOC100128822	235174_s_at	0.745700767	0.169672966
LOC100128830_1564490_at	LOC100128830	1564490_at	-5.93553021	0.237280331
LOC100128840_1562783_at	LOC100128840	1562783_at	-1.256659573	0.693176825
LOC100128843_1561940_at	LOC100128843	1561940_at	5.066966821	0.242200109
LOC100128881_1558728_at	LOC100128881	1558728_at	-0.791550803	0.812260394
LOC100128893_236118_at	LOC100128893	236118_at	-7.334777432	0.043684236
LOC100128922_224362_at	LOC100128922	224362_at	5.862797967	0.154030423
LOC100128946_1557588_at	LOC100128946	1557588_at	1.601380341	0.753898859
LOC100128988_232849_at	LOC100128988	232849_at	-4.113832102	0.213414449
LOC100128993_1560595_at	LOC100128993	1560595_at	2.512012244	0.578586107
LOC100129029_1563120_at	LOC100129029	1563120_at	4.93195886	0.090856452
LOC100129034_244823_at	LOC100129034	244823_at	6.004378316	0.052171907
LOC100129069_234121_at	LOC100129069	234121_at	-7.626782824	0.038343758
LOC100129098_1569361_a_at	LOC100129098	1569361_a_at	-1.571251361	0.689207031
LOC100129104_244074_at	LOC100129104	244074_at	-0.396164141	0.858122352
LOC100129112_241180_at	LOC100129112	241180_at	-8.844132267	0.039460185
LOC100129129_1559871_s_at	LOC100129129	1559871_s_at	3.489719465	0.055566241
LOC100129175_1557879_at	LOC100129175	1557879_at	-3.09075728	0.563755557
LOC100129195_244730_x_at	LOC100129195	244730_x_at	-2.635442331	0.062853911
LOC100129196_1557558_s_at	LOC100129196	1557558_s_at	1.70536521	0.216991503
LOC100129198_223848_at	LOC100129198	223848_at	2.66888428	0.537204708
LOC100129250_221979_at	LOC100129250	221979_at	0.607799074	0.552277617
LOC100129268_244489_at	LOC100129268	244489_at	-3.377345919	0.116045695
LOC100129361_221847_at	LOC100129361	221847_at	2.349006005	0.039831113
LOC100129380_236722_at	LOC100129380	236722_at	-2.441363056	0.520651243
LOC100129387_227406_at	LOC100129387	227406_at	-0.954205135	0.3329551
LOC100129406_240868_at	LOC100129406	240868_at	-3.25311218	0.059028419
LOC100129427_1564459_at	LOC100129427	1564459_at	6.861316073	0.130227356
LOC100129447_1559618_at	LOC100129447	1559618_at	-3.967972468	0.205900397
LOC100129449_224256_at	LOC100129449	224256_at	-1.241930631	0.729663903
LOC100129455_1560475_at	LOC100129455	1560475_at	-0.510565138	0.892371468
LOC100129461_1556555_at	LOC100129461	1556555_at	-0.892627946	0.615977196
LOC100129463_240624_x_at	LOC100129463	240624_x_at	-8.519028809	0.025627162
LOC100129476_1561602_at	LOC100129476	1561602_at	-6.971919573	0.088160068
LOC100129502_228791_at	LOC100129502	228791_at	-0.292949714	0.61161802
LOC100129516_239643_at	LOC100129516	239643_at	0.704958011	0.824131227
LOC100129550_229699_at	LOC100129550	229699_at	0.832337089	0.441948737
LOC100129597_240058_at	LOC100129597	240058_at	-0.504171491	0.925778419
LOC100129603_1563324_at	LOC100129603	1563324_at	3.616331355	0.43271074
LOC100129617_238086_at	LOC100129617	238086_at	4.011101411	0.317051425
LOC100129620_1563904_at	LOC100129620	1563904_at	9.114315004	0.07919801
LOC100129637_234738_s_at	LOC100129637	234738_s_at	0.997560833	0.47257256
LOC100129662_1560537_at	LOC100129662	1560537_at	4.087488846	0.095834604
LOC100129716_239395_at	LOC100129716	239395_at	-1.616531809	0.489486803
LOC100129722_238093_at	LOC100129722	238093_at	-0.000206803	0.99994481
LOC100129726_231189_at	LOC100129726	231189_at	-1.669264313	0.573977186
LOC100129794_230307_at	LOC100129794	230307_at	2.968335708	0.135457233
LOC100129845_1560939_at	LOC100129845	1560939_at	0.862840171	0.805998659
LOC100129858_1556736_at	LOC100129858	1556736_at	6.423321921	0.083422612
LOC100129884_234757_at	LOC100129884	234757_at	3.109276822	0.38151919
LOC100129917_1559528_at	LOC100129917	1559528_at	1.638368722	0.252288958
LOC100129935_232616_at	LOC100129935	232616_at	-3.445106159	0.3730619
LOC100129961_236387_at	LOC100129961	236387_at	1.845805881	0.480142564
LOC100129973_215229_at	LOC100129973	215229_at	-4.901437901	0.214275545
LOC100130051_242533_at	LOC100130051	242533_at	1.603322978	0.692292524
LOC100130078_1562627_at	LOC100130078	1562627_at	5.946537239	0.018664237
LOC100130097_241376_at	LOC100130097	241376_at	0.435389617	0.535103249
LOC100130111_1557406_s_at	LOC100130111	1557406_s_at	9.618016124	0.056072931
LOC100130155_236693_at	LOC100130155	236693_at	-4.157325216	0.273032632
LOC100130219_236042_at	LOC100130219	236042_at	2.397292686	0.121193389
LOC100130232_239860_at	LOC100130232	239860_at	4.262582757	0.607270757
LOC100130264_1564444_at	LOC100130264	1564444_at	-0.040590837	0.992158117
LOC100130275_1560503_a_at	LOC100130275	1560503_a_at	-4.105069749	0.003145277
LOC100130278_1563793_at	LOC100130278	1563793_at	7.034152835	0.105906295
LOC100130285_1562799_at	LOC100130285	1562799_at	2.067339177	0.626471503
LOC100130331_215970_at	LOC100130331	215970_at	3.745365355	0.425651767
LOC100130357_1559507_at	LOC100130357	1559507_at	-0.357985001	0.923483718
LOC100130417_1555980_a_at	LOC100130417	1555980_a_at	1.290902326	0.192493139
LOC100130428_236059_at	LOC100130428	236059_at	2.538558172	0.475720035
LOC100130429_241851_x_at	LOC100130429	241851_x_at	-4.56561381	0.09403105
LOC100130452_244518_at	LOC100130452	244518_at	-6.678753817	0.135513717
LOC100130456_1564021_at	LOC100130456	1564021_at	-7.728821982	0.056610522
LOC100130458_239214_at	LOC100130458	239214_at	0.188589661	0.953423912
LOC100130460_237915_at	LOC100130460	237915_at	-6.267764423	0.259247749
LOC100130468_240211_at	LOC100130468	240211_at	-1.550950239	0.793961496
LOC100130476_243871_at	LOC100130476	243871_at	-0.454199544	0.882108309
LOC100130502_244744_at	LOC100130502	244744_at	1.624099152	0.278347963
LOC100130522_1557590_at	LOC100130522	1557590_at	7.76243307	0.013607519
LOC100130548_1557734_s_at	LOC100130548	1557734_s_at	-4.472484728	0.141331727
LOC100130557_1558782_a_at	LOC100130557	1558782_a_at	-0.565586874	0.704135484
LOC100130581_1559144_x_at	LOC100130581	1559144_x_at	3.660392649	0.231804231
LOC100130642_243970_at	LOC100130642	243970_at	-2.426254275	0.717043321
LOC100130654_1562017_at	LOC100130654	1562017_at	12.24092655	0.049223174
LOC100130691_231540_at	LOC100130691	231540_at	-11.21739557	0.077798015
LOC100130700_237730_at	LOC100130700	237730_at	1.118330457	0.807675373
LOC100130705_236875_at	LOC100130705	236875_at	-3.120909305	0.074984768
LOC100130741_215740_at	LOC100130741	215740_at	2.949416214	0.417918991
LOC100130744_236228_at	LOC100130744	236228_at	-0.2953161	0.904929124
LOC100130776_1555907_at	LOC100130776	1555907_at	-1.366518157	0.054957323
LOC100130815_1564471_at	LOC100130815	1564471_at	6.140719917	0.195248099
LOC100130855_1562738_a_at	LOC100130855	1562738_a_at	4.017110172	0.003999872
LOC100130856_1564240_at	LOC100130856	1564240_at	-0.22241848	0.936800208
LOC100130872_1569496_s_at	LOC100130872	1569496_s_at	1.515218992	0.592655017
LOC100130894_1564158_a_at	LOC100130894	1564158_a_at	-5.821523907	0.259364312
LOC100130938_230574_at	LOC100130938	230574_at	-0.172954574	0.919379712
LOC100130950_1554666_at	LOC100130950	1554666_at	3.672761664	0.353084801
LOC100130987_235990_at	LOC100130987	235990_at	3.042058222	0.003545137
LOC100130992_1558977_at	LOC100130992	1558977_at	2.085447059	0.429283862
LOC100131015_244659_at	LOC100131015	244659_at	1.471485591	0.140510619
LOC100131043_244029_at	LOC100131043	244029_at	-2.657368927	0.383292621
LOC100131053_239546_at	LOC100131053	239546_at	3.411795564	0.140057558
LOC100131067_242585_at	LOC100131067	242585_at	1.187547333	0.334490218
LOC100131096_230526_at	LOC100131096	230526_at	-0.871684693	0.362912323
LOC100131138_230195_at	LOC100131138	230195_at	0.073258778	0.927859486
LOC100131170_1556145_a_at	LOC100131170	1556145_a_at	-0.584729187	0.936692797
LOC100131176_1560147_at	LOC100131176	1560147_at	-2.974711579	0.249188727
LOC100131180_241810_at	LOC100131180	241810_at	3.688625708	0.341625609
LOC100131262_1558152_at	LOC100131262	1558152_at	0.425712635	0.600741905
LOC100131283_241256_at	LOC100131283	241256_at	-3.401207749	0.50583565
LOC100131303_236593_at	LOC100131303	236593_at	4.627638235	0.313508289
LOC100131316_243355_at	LOC100131316	243355_at	0.559942247	0.883366742
LOC100131347_1564050_at	LOC100131347	1564050_at	0.670623771	0.632975612
LOC100131354_1557311_at	LOC100131354	1557311_at	0.703504257	0.702845204
LOC100131366_1556505_at	LOC100131366	1556505_at	2.255395504	0.482376771
LOC100131434_1556026_at	LOC100131434	1556026_at	-1.55446635	0.47243124
LOC100131496_1558477_at	LOC100131496	1558477_at	-2.474634095	0.670739537
LOC100131508_224351_at	LOC100131508	224351_at	-7.431852579	0.171134939
LOC100131510_215421_at	LOC100131510	215421_at	-2.532470908	0.255392928
