	X54675	X54675.1	docetaxel.coeff	docetaxel.pvalue
1/2-SBSRNA4_1569713_at	1/2-SBSRNA4	1569713_at	1.798650861	0.458607911
1552411_at_1552411_at	1552411_at	1552411_at	4.729583994	0.040216819
1552412_a_at_1552412_a_at	1552412_a_at	1552412_a_at	-2.023557138	0.732627436
1552511_a_at_1552511_a_at	1552511_a_at	1552511_a_at	3.54298473	0.56664913
1552563_a_at_1552563_a_at	1552563_a_at	1552563_a_at	0.544913992	0.803824186
1552607_at_1552607_at	1552607_at	1552607_at	-0.613176734	0.797327543
1552609_s_at_1552609_s_at	1552609_s_at	1552609_s_at	-7.36178829	0.172317661
1552622_s_at_1552622_s_at	1552622_s_at	1552622_s_at	0.503128411	0.673326641
1552641_s_at_1552641_s_at	1552641_s_at	1552641_s_at	-1.972103724	0.03999764
1552703_s_at_1552703_s_at	1552703_s_at	1552703_s_at	-1.631259627	0.013464129
1552717_s_at_1552717_s_at	1552717_s_at	1552717_s_at	-1.061545402	0.505948013
1552735_at_1552735_at	1552735_at	1552735_at	-0.295844308	0.653492556
1552806_a_at_1552806_a_at	1552806_a_at	1552806_a_at	7.080595921	0.119452432
1552829_at_1552829_at	1552829_at	1552829_at	2.487326178	0.099391159
1552867_at_1552867_at	1552867_at	1552867_at	1.645630171	0.08213619
1552961_at_1552961_at	1552961_at	1552961_at	2.157252056	0.471755866
1552972_at_1552972_at	1552972_at	1552972_at	-3.815522615	0.089620261
1552974_at_1552974_at	1552974_at	1552974_at	-19.5170635	0.015202628
1552975_x_at_1552975_x_at	1552975_x_at	1552975_x_at	-3.336112258	0.579167039
1553002_at_1553002_at	1553002_at	1553002_at	9.954024389	0.008178959
1553083_at_1553083_at	1553083_at	1553083_at	6.042810036	0.002116457
1553269_at_1553269_at	1553269_at	1553269_at	1.373249937	0.025184652
1553275_s_at_1553275_s_at	1553275_s_at	1553275_s_at	-1.306068626	0.033903725
1553340_s_at_1553340_s_at	1553340_s_at	1553340_s_at	2.563738778	0.48129741
1553355_at_1553355_at	1553355_at	1553355_at	-4.52187629	0.241447369
1553356_at_1553356_at	1553356_at	1553356_at	6.137412757	0.416143457
1553366_s_at_1553366_s_at	1553366_s_at	1553366_s_at	4.993450183	0.09956161
1553372_at_1553372_at	1553372_at	1553372_at	-9.750046828	0.009805549
1553398_at_1553398_at	1553398_at	1553398_at	1.482389546	0.753445542
1553432_s_at_1553432_s_at	1553432_s_at	1553432_s_at	-0.843363264	0.89771426
1553439_at_1553439_at	1553439_at	1553439_at	-0.769386304	0.857571534
1553456_at_1553456_at	1553456_at	1553456_at	3.410304142	0.540366479
1553462_at_1553462_at	1553462_at	1553462_at	-10.57609424	0.06277922
1553468_at_1553468_at	1553468_at	1553468_at	-9.554735445	0.160154346
1553498_at_1553498_at	1553498_at	1553498_at	9.975982761	0.015680677
1553518_at_1553518_at	1553518_at	1553518_at	2.892200031	0.642722546
1553521_at_1553521_at	1553521_at	1553521_at	1.222456211	0.852737884
1553547_at_1553547_at	1553547_at	1553547_at	2.673430953	0.3333611
1553579_a_at_1553579_a_at	1553579_a_at	1553579_a_at	3.623861136	0.62084223
1553582_a_at_1553582_a_at	1553582_a_at	1553582_a_at	-4.915523778	0.453403847
1553588_at_1553588_at	1553588_at	1553588_at	15.66742059	0.092222598
1553590_at_1553590_at	1553590_at	1553590_at	-1.559845422	0.50812885
1553614_a_at_1553614_a_at	1553614_a_at	1553614_a_at	0.080151749	0.974866464
1553618_at_1553618_at	1553618_at	1553618_at	-0.74831509	0.390971549
1553619_a_at_1553619_a_at	1553619_a_at	1553619_a_at	-0.266124776	0.746352405
1553817_at_1553817_at	1553817_at	1553817_at	-14.08143618	2.70919E-05
1553818_x_at_1553818_x_at	1553818_x_at	1553818_x_at	-8.092242856	0.058928209
1553830_s_at_1553830_s_at	1553830_s_at	1553830_s_at	-0.251067221	0.343138699
1553882_at_1553882_at	1553882_at	1553882_at	2.634900015	0.019673217
1553900_s_at_1553900_s_at	1553900_s_at	1553900_s_at	0.996231323	0.861610458
1553967_at_1553967_at	1553967_at	1553967_at	-1.250792294	0.651690398
1553968_a_at_1553968_a_at	1553968_a_at	1553968_a_at	-1.775647166	0.327617492
1553979_at_1553979_at	1553979_at	1553979_at	1.778597939	0.352647956
1553998_at_1553998_at	1553998_at	1553998_at	1.703680498	0.674355144
1554007_at_1554007_at	1554007_at	1554007_at	0.230134607	0.674884279
1554042_s_at_1554042_s_at	1554042_s_at	1554042_s_at	3.127549076	0.470217688
1554043_a_at_1554043_a_at	1554043_a_at	1554043_a_at	-1.104042493	0.376713773
1554063_at_1554063_at	1554063_at	1554063_at	-0.675040018	0.259449636
1554089_s_at_1554089_s_at	1554089_s_at	1554089_s_at	-0.320776535	0.877837381
1554103_at_1554103_at	1554103_at	1554103_at	-4.155676335	0.083947281
1554108_at_1554108_at	1554108_at	1554108_at	-0.062133015	0.98944269
1554182_at_1554182_at	1554182_at	1554182_at	-0.437394941	0.718621649
1554183_s_at_1554183_s_at	1554183_s_at	1554183_s_at	0.530888264	0.877645846
1554194_at_1554194_at	1554194_at	1554194_at	-7.02878762	0.139073636
1554214_at_1554214_at	1554214_at	1554214_at	-4.839853959	0.389068498
1554219_at_1554219_at	1554219_at	1554219_at	8.802893924	0.060336521
1554220_a_at_1554220_a_at	1554220_a_at	1554220_a_at	-0.824480391	0.26634969
1554224_at_1554224_at	1554224_at	1554224_at	-4.619517718	0.265872581
1554225_a_at_1554225_a_at	1554225_a_at	1554225_a_at	7.686929315	0.130462923
1554232_a_at_1554232_a_at	1554232_a_at	1554232_a_at	-5.753038342	0.220273255
1554266_at_1554266_at	1554266_at	1554266_at	2.000916936	0.448555785
1554281_at_1554281_at	1554281_at	1554281_at	-7.620007649	0.096517793
1554344_s_at_1554344_s_at	1554344_s_at	1554344_s_at	2.649672831	0.480255625
1554372_at_1554372_at	1554372_at	1554372_at	-10.4844215	0.059089242
1554374_at_1554374_at	1554374_at	1554374_at	2.033263447	0.752632961
1554403_a_at_1554403_a_at	1554403_a_at	1554403_a_at	-1.580412918	0.289770953
1554404_a_at_1554404_a_at	1554404_a_at	1554404_a_at	2.477488877	0.431840972
1554413_s_at_1554413_s_at	1554413_s_at	1554413_s_at	-3.288320212	0.06922768
1554465_s_at_1554465_s_at	1554465_s_at	1554465_s_at	-0.564227613	0.594304311
1554468_s_at_1554468_s_at	1554468_s_at	1554468_s_at	-1.33209996	0.629801918
1554597_at_1554597_at	1554597_at	1554597_at	2.993055277	0.009560989
1554599_x_at_1554599_x_at	1554599_x_at	1554599_x_at	3.657949286	0.001458316
1554615_at_1554615_at	1554615_at	1554615_at	-2.180381091	0.589597645
1554636_at_1554636_at	1554636_at	1554636_at	-0.527298475	0.806966951
1554649_at_1554649_at	1554649_at	1554649_at	-0.678794586	0.912092002
1554650_a_at_1554650_a_at	1554650_a_at	1554650_a_at	-0.426734087	0.926702688
1554723_x_at_1554723_x_at	1554723_x_at	1554723_x_at	-0.57834933	0.910790006
1554741_s_at_1554741_s_at	1554741_s_at	1554741_s_at	0.63699591	0.46609365
1554751_at_1554751_at	1554751_at	1554751_at	-0.28022904	0.923512244
1554752_a_at_1554752_a_at	1554752_a_at	1554752_a_at	0.597780648	0.762141093
1554766_s_at_1554766_s_at	1554766_s_at	1554766_s_at	-8.421679751	0.080722679
1554771_at_1554771_at	1554771_at	1554771_at	-0.004809067	0.997434634
1554781_at_1554781_at	1554781_at	1554781_at	-0.754131355	0.814487931
1554813_at_1554813_at	1554813_at	1554813_at	5.567601193	0.177233741
1554825_at_1554825_at	1554825_at	1554825_at	1.243075955	0.44095101
1554837_a_at_1554837_a_at	1554837_a_at	1554837_a_at	-7.595431711	0.036480851
1554839_at_1554839_at	1554839_at	1554839_at	-5.839926418	0.170498139
1554865_at_1554865_at	1554865_at	1554865_at	2.340072148	0.643852856
1554871_at_1554871_at	1554871_at	1554871_at	-6.015091364	0.404925054
1554887_at_1554887_at	1554887_at	1554887_at	-2.111922526	0.072172974
1554891_at_1554891_at	1554891_at	1554891_at	8.919509722	0.146091033
1554907_a_at_1554907_a_at	1554907_a_at	1554907_a_at	-3.856319197	0.402264305
1554946_at_1554946_at	1554946_at	1554946_at	-2.833799009	0.221165487
1554948_at_1554948_at	1554948_at	1554948_at	-0.29950069	0.785235264
1554951_at_1554951_at	1554951_at	1554951_at	0.487901653	0.947977429
1554957_at_1554957_at	1554957_at	1554957_at	-2.111556508	0.64304694
1554963_at_1554963_at	1554963_at	1554963_at	-5.977300416	0.062369008
1554964_x_at_1554964_x_at	1554964_x_at	1554964_x_at	-8.425871719	0.018107871
1554972_at_1554972_at	1554972_at	1554972_at	4.481623393	0.000995594
1554996_at_1554996_at	1554996_at	1554996_at	1.098296221	0.876419622
1555014_x_at_1555014_x_at	1555014_x_at	1555014_x_at	0.181975568	0.965741867
1555031_at_1555031_at	1555031_at	1555031_at	1.678036103	0.676746651
1555059_at_1555059_at	1555059_at	1555059_at	-6.463104572	0.168456179
1555084_at_1555084_at	1555084_at	1555084_at	-1.061274434	0.774054188
1555085_at_1555085_at	1555085_at	1555085_at	12.88212115	0.009387005
1555117_at_1555117_at	1555117_at	1555117_at	6.394201068	0.126152077
1555129_at_1555129_at	1555129_at	1555129_at	-7.498643559	0.122623262
1555132_at_1555132_at	1555132_at	1555132_at	-5.214565838	0.125424908
1555135_at_1555135_at	1555135_at	1555135_at	10.36000111	0.03171721
1555157_at_1555157_at	1555157_at	1555157_at	0.305659512	0.918018297
1555158_at_1555158_at	1555158_at	1555158_at	0.365309884	0.946649885
1555162_at_1555162_at	1555162_at	1555162_at	5.31954501	0.092441004
1555163_at_1555163_at	1555163_at	1555163_at	-1.303389156	0.693207719
1555174_at_1555174_at	1555174_at	1555174_at	0.23592995	0.954626227
1555176_at_1555176_at	1555176_at	1555176_at	5.075231881	0.361389244
1555187_at_1555187_at	1555187_at	1555187_at	8.252387064	0.06820347
1555194_at_1555194_at	1555194_at	1555194_at	1.866003023	0.236295433
1555204_at_1555204_at	1555204_at	1555204_at	-1.223532398	0.862902463
1555205_at_1555205_at	1555205_at	1555205_at	-0.90099701	0.832378587
1555221_at_1555221_at	1555221_at	1555221_at	-6.290751601	0.220233889
1555222_a_at_1555222_a_at	1555222_a_at	1555222_a_at	-0.310855719	0.944861428
1555237_at_1555237_at	1555237_at	1555237_at	7.896548763	0.118302738
1555247_a_at_1555247_a_at	1555247_a_at	1555247_a_at	2.689442086	0.035526799
1555261_at_1555261_at	1555261_at	1555261_at	-0.249294455	0.937053675
1555263_at_1555263_at	1555263_at	1555263_at	4.867744408	0.413555971
1555303_at_1555303_at	1555303_at	1555303_at	2.220889268	0.002651499
1555311_at_1555311_at	1555311_at	1555311_at	0.592983137	0.816581772
1555325_s_at_1555325_s_at	1555325_s_at	1555325_s_at	2.059234528	0.035286143
1555344_at_1555344_at	1555344_at	1555344_at	6.961061613	0.143762925
1555373_at_1555373_at	1555373_at	1555373_at	2.428998341	0.33335005
1555392_at_1555392_at	1555392_at	1555392_at	-1.227540374	0.141431009
1555408_at_1555408_at	1555408_at	1555408_at	0.808109247	0.354697983
1555409_a_at_1555409_a_at	1555409_a_at	1555409_a_at	1.32568806	0.148370936
1555410_at_1555410_at	1555410_at	1555410_at	3.706935043	0.001540317
1555415_at_1555415_at	1555415_at	1555415_at	-2.082654698	0.706344499
1555429_at_1555429_at	1555429_at	1555429_at	-4.771905316	0.323795721
1555456_at_1555456_at	1555456_at	1555456_at	-1.702151302	0.716688358
1555461_at_1555461_at	1555461_at	1555461_at	0.169079835	0.855338483
1555488_at_1555488_at	1555488_at	1555488_at	6.834399483	0.058627842
1555489_at_1555489_at	1555489_at	1555489_at	8.036002378	0.2245228
1555498_at_1555498_at	1555498_at	1555498_at	6.578106557	0.120682179
1555519_at_1555519_at	1555519_at	1555519_at	1.642309294	0.425208479
1555522_s_at_1555522_s_at	1555522_s_at	1555522_s_at	-3.41033699	0.018789298
1555547_at_1555547_at	1555547_at	1555547_at	2.48662572	0.07055132
1555580_at_1555580_at	1555580_at	1555580_at	-7.326363693	0.14704779
1555601_at_1555601_at	1555601_at	1555601_at	-6.373696984	0.367187978
1555616_at_1555616_at	1555616_at	1555616_at	3.117276682	0.23035758
1555617_x_at_1555617_x_at	1555617_x_at	1555617_x_at	2.322089432	0.354444415
1555623_at_1555623_at	1555623_at	1555623_at	2.314854024	0.745505074
1555631_at_1555631_at	1555631_at	1555631_at	-8.365944759	0.02281876
1555646_at_1555646_at	1555646_at	1555646_at	-5.991676865	0.271621722
1555653_at_1555653_at	1555653_at	1555653_at	2.37732847	0.350830563
1555664_at_1555664_at	1555664_at	1555664_at	4.194103694	0.372663084
1555665_at_1555665_at	1555665_at	1555665_at	-2.361407971	0.67640297
1555681_at_1555681_at	1555681_at	1555681_at	0.099953261	0.980063384
1555691_a_at_1555691_a_at	1555691_a_at	1555691_a_at	-1.654485124	0.672646293
1555692_at_1555692_at	1555692_at	1555692_at	-3.578806421	0.484182282
1555717_at_1555717_at	1555717_at	1555717_at	8.467320873	0.335575138
1555718_x_at_1555718_x_at	1555718_x_at	1555718_x_at	-3.397703419	0.599343044
1555723_at_1555723_at	1555723_at	1555723_at	2.334006755	0.127416696
1555727_at_1555727_at	1555727_at	1555727_at	0.320782929	0.956593773
1555755_at_1555755_at	1555755_at	1555755_at	1.821408259	0.7573466
1555762_s_at_1555762_s_at	1555762_s_at	1555762_s_at	-3.169735445	0.135792825
1555790_a_at_1555790_a_at	1555790_a_at	1555790_a_at	0.49460507	0.580386984
1555794_at_1555794_at	1555794_at	1555794_at	2.064131897	0.66533549
1555816_at_1555816_at	1555816_at	1555816_at	5.852775602	0.037631763
1555817_s_at_1555817_s_at	1555817_s_at	1555817_s_at	3.503965654	0.01165175
1555822_at_1555822_at	1555822_at	1555822_at	-0.965458331	0.840349923
1555826_at_1555826_at	1555826_at	1555826_at	-2.845979574	0.013086553
1555845_at_1555845_at	1555845_at	1555845_at	1.557050192	0.148509683
1555846_a_at_1555846_a_at	1555846_a_at	1555846_a_at	1.809161396	0.123426081
1555848_at_1555848_at	1555848_at	1555848_at	1.367371051	0.112640314
1555854_at_1555854_at	1555854_at	1555854_at	-0.131849371	0.807507835
1555855_at_1555855_at	1555855_at	1555855_at	-0.594900902	0.901675746
1555856_s_at_1555856_s_at	1555856_s_at	1555856_s_at	-1.269491399	0.718889376
1555868_at_1555868_at	1555868_at	1555868_at	-1.029738589	0.43325299
1555869_a_at_1555869_a_at	1555869_a_at	1555869_a_at	0.409330794	0.923681913
1555872_a_at_1555872_a_at	1555872_a_at	1555872_a_at	-0.702236543	0.446231841
1555890_at_1555890_at	1555890_at	1555890_at	-1.100836258	0.331792825
1555893_at_1555893_at	1555893_at	1555893_at	1.49166268	0.096328568
1555900_at_1555900_at	1555900_at	1555900_at	2.204271086	0.061325548
1555904_at_1555904_at	1555904_at	1555904_at	1.993115783	0.570254587
1555925_at_1555925_at	1555925_at	1555925_at	-3.516511128	0.095319099
1555926_a_at_1555926_a_at	1555926_a_at	1555926_a_at	-4.277360512	0.034372681
1555928_at_1555928_at	1555928_at	1555928_at	-2.594927952	0.021636673
1555929_s_at_1555929_s_at	1555929_s_at	1555929_s_at	-1.430281298	0.01734076
1555931_at_1555931_at	1555931_at	1555931_at	0.042434802	0.977255315
1555932_at_1555932_at	1555932_at	1555932_at	-1.62161779	0.474775515
1555939_at_1555939_at	1555939_at	1555939_at	-8.468515659	0.132919664
1555940_a_at_1555940_a_at	1555940_a_at	1555940_a_at	3.339401375	0.482963275
1555967_at_1555967_at	1555967_at	1555967_at	-0.248024625	0.665794527
1555968_a_at_1555968_a_at	1555968_a_at	1555968_a_at	-0.046586497	0.951840076
1555973_at_1555973_at	1555973_at	1555973_at	0.241801337	0.860019504
1555974_a_at_1555974_a_at	1555974_a_at	1555974_a_at	0.293923862	0.764149153
1555977_at_1555977_at	1555977_at	1555977_at	-2.284535355	0.064773541
1555978_s_at_1555978_s_at	1555978_s_at	1555978_s_at	-1.220871481	0.205190644
1555989_at_1555989_at	1555989_at	1555989_at	0.263345076	0.604414327
1555994_at_1555994_at	1555994_at	1555994_at	-2.687215064	0.715664435
1555995_a_at_1555995_a_at	1555995_a_at	1555995_a_at	-2.543016582	0.476006608
1556008_a_at_1556008_a_at	1556008_a_at	1556008_a_at	0.903829308	0.612776517
1556033_at_1556033_at	1556033_at	1556033_at	0.554411456	0.568796283
1556054_at_1556054_at	1556054_at	1556054_at	0.731083998	0.426298084
1556055_at_1556055_at	1556055_at	1556055_at	-1.862162224	0.032280009
1556065_at_1556065_at	1556065_at	1556065_at	5.010971427	0.284998695
1556078_at_1556078_at	1556078_at	1556078_at	0.580035332	0.873454309
1556081_at_1556081_at	1556081_at	1556081_at	2.495889872	0.119435141
1556082_a_at_1556082_a_at	1556082_a_at	1556082_a_at	2.816835368	0.12196951
1556090_at_1556090_at	1556090_at	1556090_at	4.049558253	0.051996831
1556097_at_1556097_at	1556097_at	1556097_at	0.84470336	0.407698473
1556103_at_1556103_at	1556103_at	1556103_at	1.184074365	0.179881018
1556105_at_1556105_at	1556105_at	1556105_at	2.120957876	0.182177733
1556107_at_1556107_at	1556107_at	1556107_at	4.094255624	0.171492053
1556110_at_1556110_at	1556110_at	1556110_at	1.121692165	0.387973526
1556111_s_at_1556111_s_at	1556111_s_at	1556111_s_at	0.171000365	0.895062802
1556122_at_1556122_at	1556122_at	1556122_at	-0.836879512	0.684539952
1556123_a_at_1556123_a_at	1556123_a_at	1556123_a_at	-0.475180202	0.682685369
1556138_a_at_1556138_a_at	1556138_a_at	1556138_a_at	-1.712957785	0.052347055
1556147_at_1556147_at	1556147_at	1556147_at	2.162943489	0.267002575
1556148_s_at_1556148_s_at	1556148_s_at	1556148_s_at	3.234761232	0.095841533
1556153_s_at_1556153_s_at	1556153_s_at	1556153_s_at	4.292460664	0.482735326
1556155_at_1556155_at	1556155_at	1556155_at	7.44246298	0.08861915
1556159_at_1556159_at	1556159_at	1556159_at	1.537622274	0.373324938
1556160_a_at_1556160_a_at	1556160_a_at	1556160_a_at	1.128157526	0.447524567
1556161_a_at_1556161_a_at	1556161_a_at	1556161_a_at	-8.578152465	0.195425719
1556165_at_1556165_at	1556165_at	1556165_at	-0.168738852	0.944020479
1556166_x_at_1556166_x_at	1556166_x_at	1556166_x_at	-3.410031785	0.134023245
1556170_at_1556170_at	1556170_at	1556170_at	5.768688762	0.186883447
1556171_a_at_1556171_a_at	1556171_a_at	1556171_a_at	1.53599563	0.783804487
1556172_at_1556172_at	1556172_at	1556172_at	-1.395506469	0.232553398
1556173_a_at_1556173_a_at	1556173_a_at	1556173_a_at	-0.575649528	0.546962374
1556190_s_at_1556190_s_at	1556190_s_at	1556190_s_at	0.505155662	0.444662426
1556192_x_at_1556192_x_at	1556192_x_at	1556192_x_at	-1.787205304	0.576399787
1556194_a_at_1556194_a_at	1556194_a_at	1556194_a_at	0.007121842	0.991142044
1556195_a_at_1556195_a_at	1556195_a_at	1556195_a_at	0.456049381	0.647078917
1556205_at_1556205_at	1556205_at	1556205_at	0.980421019	0.782014235
1556210_at_1556210_at	1556210_at	1556210_at	0.385116305	0.68289407
1556211_a_at_1556211_a_at	1556211_a_at	1556211_a_at	0.107491688	0.871456858
1556212_x_at_1556212_x_at	1556212_x_at	1556212_x_at	0.321240669	0.762194007
1556216_s_at_1556216_s_at	1556216_s_at	1556216_s_at	-0.771109155	0.618776074
1556220_at_1556220_at	1556220_at	1556220_at	1.811918291	0.043627076
1556221_a_at_1556221_a_at	1556221_a_at	1556221_a_at	1.500542543	0.00827884
1556224_a_at_1556224_a_at	1556224_a_at	1556224_a_at	-1.723663523	0.567611921
1556226_at_1556226_at	1556226_at	1556226_at	2.373146545	0.307414654
1556229_at_1556229_at	1556229_at	1556229_at	1.768845582	0.327413174
1556231_a_at_1556231_a_at	1556231_a_at	1556231_a_at	-6.601110903	0.265604196
1556235_at_1556235_at	1556235_at	1556235_at	-5.741749285	0.125331938
1556236_at_1556236_at	1556236_at	1556236_at	-3.002395623	0.016154634
1556238_at_1556238_at	1556238_at	1556238_at	9.877772213	0.044469695
1556239_a_at_1556239_a_at	1556239_a_at	1556239_a_at	4.448242141	0.020344054
1556240_at_1556240_at	1556240_at	1556240_at	0.359448774	0.933079986
1556247_a_at_1556247_a_at	1556247_a_at	1556247_a_at	-5.697872843	0.009760974
1556250_at_1556250_at	1556250_at	1556250_at	0.878805098	0.835488286
1556253_s_at_1556253_s_at	1556253_s_at	1556253_s_at	4.94265792	0.027476283
1556256_a_at_1556256_a_at	1556256_a_at	1556256_a_at	-2.02670681	0.749765942
1556261_a_at_1556261_a_at	1556261_a_at	1556261_a_at	0.254074066	0.917529821
1556271_at_1556271_at	1556271_at	1556271_at	2.446650063	0.546050927
1556272_a_at_1556272_a_at	1556272_a_at	1556272_a_at	-6.315394653	0.290996267
1556274_at_1556274_at	1556274_at	1556274_at	-6.9013334	0.059726362
1556279_at_1556279_at	1556279_at	1556279_at	1.714331606	0.679042082
1556281_at_1556281_at	1556281_at	1556281_at	8.389048975	0.088510693
1556287_a_at_1556287_a_at	1556287_a_at	1556287_a_at	7.282225229	0.547325673
1556289_at_1556289_at	1556289_at	1556289_at	-3.541297112	0.569583909
1556294_at_1556294_at	1556294_at	1556294_at	-8.37417459	0.101022879
1556296_at_1556296_at	1556296_at	1556296_at	8.042714337	0.118705248
1556297_a_at_1556297_a_at	1556297_a_at	1556297_a_at	-11.44205265	0.063839718
1556306_at_1556306_at	1556306_at	1556306_at	0.610477097	0.59712852
1556314_a_at_1556314_a_at	1556314_a_at	1556314_a_at	7.342643533	0.038943966
1556318_s_at_1556318_s_at	1556318_s_at	1556318_s_at	3.488176094	0.009579087
1556321_a_at_1556321_a_at	1556321_a_at	1556321_a_at	-0.140906323	0.92781034
1556322_a_at_1556322_a_at	1556322_a_at	1556322_a_at	-0.252147582	0.894654117
1556327_a_at_1556327_a_at	1556327_a_at	1556327_a_at	-2.235822228	0.361636098
1556328_at_1556328_at	1556328_at	1556328_at	-1.670899685	0.336134806
1556329_a_at_1556329_a_at	1556329_a_at	1556329_a_at	-0.473501105	0.528076965
1556331_a_at_1556331_a_at	1556331_a_at	1556331_a_at	0.205812362	0.705643937
1556332_at_1556332_at	1556332_at	1556332_at	1.692675226	0.670718179
1556333_at_1556333_at	1556333_at	1556333_at	-10.6194154	0.042197094
1556334_s_at_1556334_s_at	1556334_s_at	1556334_s_at	-0.628638072	0.931079848
1556338_at_1556338_at	1556338_at	1556338_at	2.889764902	0.005518082
1556339_a_at_1556339_a_at	1556339_a_at	1556339_a_at	3.659104069	0.004082472
1556345_s_at_1556345_s_at	1556345_s_at	1556345_s_at	2.557433737	0.009260654
1556346_at_1556346_at	1556346_at	1556346_at	-2.054243839	0.005210141
1556347_at_1556347_at	1556347_at	1556347_at	0.630295111	0.430829635
1556352_at_1556352_at	1556352_at	1556352_at	-0.327408016	0.793097243
1556362_at_1556362_at	1556362_at	1556362_at	8.019659634	0.059540169
1556373_a_at_1556373_a_at	1556373_a_at	1556373_a_at	1.29781048	0.255354863
1556374_s_at_1556374_s_at	1556374_s_at	1556374_s_at	0.980673425	0.802757953
1556375_at_1556375_at	1556375_at	1556375_at	2.81531025	0.155785585
1556383_at_1556383_at	1556383_at	1556383_at	3.470818004	0.00222388
1556385_at_1556385_at	1556385_at	1556385_at	-1.700180157	0.078458029
1556392_a_at_1556392_a_at	1556392_a_at	1556392_a_at	-1.469360335	0.777160515
1556393_at_1556393_at	1556393_at	1556393_at	1.965773118	0.444234034
1556394_a_at_1556394_a_at	1556394_a_at	1556394_a_at	-2.225292455	0.60686772
1556395_at_1556395_at	1556395_at	1556395_at	1.41727561	0.827075417
1556397_at_1556397_at	1556397_at	1556397_at	-4.127161715	0.283364309
1556398_a_at_1556398_a_at	1556398_a_at	1556398_a_at	-1.382987287	0.800736043
1556400_at_1556400_at	1556400_at	1556400_at	-4.990743056	0.458208593
1556401_a_at_1556401_a_at	1556401_a_at	1556401_a_at	4.231044064	0.487303786
1556409_a_at_1556409_a_at	1556409_a_at	1556409_a_at	-0.556567166	0.681956003
1556412_at_1556412_at	1556412_at	1556412_at	2.008351711	0.026486282
1556413_a_at_1556413_a_at	1556413_a_at	1556413_a_at	1.216850816	0.857062253
1556416_s_at_1556416_s_at	1556416_s_at	1556416_s_at	1.239744506	0.287019481
1556417_a_at_1556417_a_at	1556417_a_at	1556417_a_at	0.379720962	0.712304777
1556422_at_1556422_at	1556422_at	1556422_at	0.39948534	0.891070765
1556432_at_1556432_at	1556432_at	1556432_at	1.886939513	0.068904145
1556434_at_1556434_at	1556434_at	1556434_at	1.498913952	0.30681265
1556439_at_1556439_at	1556439_at	1556439_at	1.204817287	0.678813835
1556442_x_at_1556442_x_at	1556442_x_at	1556442_x_at	1.635097655	0.567749371
1556445_at_1556445_at	1556445_at	1556445_at	-6.090425875	0.09553456
1556449_at_1556449_at	1556449_at	1556449_at	1.749212689	0.615368635
1556451_at_1556451_at	1556451_at	1556451_at	1.981035846	0.158268893
1556461_at_1556461_at	1556461_at	1556461_at	-6.608552042	0.017323041
1556462_a_at_1556462_a_at	1556462_a_at	1556462_a_at	-1.203351527	0.721409302
1556465_at_1556465_at	1556465_at	1556465_at	-1.542509409	0.709709016
1556468_at_1556468_at	1556468_at	1556468_at	-10.43172968	0.02633289
1556469_s_at_1556469_s_at	1556469_s_at	1556469_s_at	1.450269467	0.791150876
1556479_at_1556479_at	1556479_at	1556479_at	1.831066838	0.565361796
1556480_a_at_1556480_a_at	1556480_a_at	1556480_a_at	2.278562543	0.548699509
1556486_at_1556486_at	1556486_at	1556486_at	-2.780279455	0.468704925
1556491_at_1556491_at	1556491_at	1556491_at	-6.610741882	0.164046389
1556492_a_at_1556492_a_at	1556492_a_at	1556492_a_at	-1.980270947	0.702076338
1556494_at_1556494_at	1556494_at	1556494_at	0.820548923	0.825786626
1556496_a_at_1556496_a_at	1556496_a_at	1556496_a_at	2.717915209	0.084505777
1556497_a_at_1556497_a_at	1556497_a_at	1556497_a_at	-2.287554648	0.455785759
1556500_a_at_1556500_a_at	1556500_a_at	1556500_a_at	-2.486705848	0.721995601
1556504_at_1556504_at	1556504_at	1556504_at	-10.13789736	0.179014762
1556507_at_1556507_at	1556507_at	1556507_at	1.079347892	0.658471108
1556508_s_at_1556508_s_at	1556508_s_at	1556508_s_at	3.301022593	0.487203858
1556510_at_1556510_at	1556510_at	1556510_at	-0.183814214	0.931739792
1556511_a_at_1556511_a_at	1556511_a_at	1556511_a_at	-3.177777794	0.498710245
1556520_at_1556520_at	1556520_at	1556520_at	6.905187628	0.124991159
1556521_a_at_1556521_a_at	1556521_a_at	1556521_a_at	2.931763694	0.64803969
1556527_a_at_1556527_a_at	1556527_a_at	1556527_a_at	0.209703329	0.866517954
1556531_at_1556531_at	1556531_at	1556531_at	-6.371739977	0.177861235
1556540_a_at_1556540_a_at	1556540_a_at	1556540_a_at	-2.869384853	0.34746436
1556541_s_at_1556541_s_at	1556541_s_at	1556541_s_at	-5.366372222	0.144821984
1556542_a_at_1556542_a_at	1556542_a_at	1556542_a_at	0.342322885	0.87112628
1556543_at_1556543_at	1556543_at	1556543_at	0.509857305	0.599277618
1556545_at_1556545_at	1556545_at	1556545_at	1.373048722	0.27395753
1556553_at_1556553_at	1556553_at	1556553_at	4.743696465	0.019703108
1556568_a_at_1556568_a_at	1556568_a_at	1556568_a_at	1.375744616	0.141259546
1556579_s_at_1556579_s_at	1556579_s_at	1556579_s_at	0.224999009	0.871562448
1556580_a_at_1556580_a_at	1556580_a_at	1556580_a_at	-5.617769951	0.388652117
1556584_at_1556584_at	1556584_at	1556584_at	6.724664491	0.022758861
